BRAND,Retail,tanggal,Production
AION,157,2025-01-01,
AION,127,2025-02-01,
AION,712,2025-03-01,
AION,507,2025-04-01,
AION,466,2025-05-01,
AION,747,2025-06-01,
AION,771,2025-07-01,
AION,-,2025-08-01,
AION,-,2025-09-01,
AION,-,2025-10-01,
AION,-,2025-11-01,
AION,-,2025-12-01,
AUDI,1,2025-01-01,
AUDI,2,2025-02-01,
AUDI,2,2025-03-01,
AUDI,2,2025-04-01,
AUDI,1,2025-05-01,
AUDI,1,2025-06-01,
AUDI,-,2025-07-01,
AUDI,-,2025-08-01,
AUDI,-,2025-09-01,
AUDI,-,2025-10-01,
AUDI,-,2025-11-01,
AUDI,-,2025-12-01,
B M W,235,2025-01-01,229
B M W,310,2025-02-01,256
B M W,290,2025-03-01,139
B M W,88,2025-04-01,169
B M W,101,2025-05-01,150
B M W,104,2025-06-01,117
B M W,135,2025-07-01,152
B M W,-,2025-08-01,-
B M W,-,2025-09-01,-
B M W,-,2025-10-01,-
B M W,-,2025-11-01,-
B M W,-,2025-12-01,-
BAIC,28,2025-01-01,
BAIC,43,2025-02-01,
BAIC,53,2025-03-01,
BAIC,29,2025-04-01,
BAIC,40,2025-05-01,
BAIC,48,2025-06-01,
BAIC,50,2025-07-01,
BAIC,-,2025-08-01,
BAIC,-,2025-09-01,
BAIC,-,2025-10-01,
BAIC,-,2025-11-01,
BAIC,-,2025-12-01,
BYD,1005,2025-01-01,
BYD,1488,2025-02-01,
BYD,2870,2025-03-01,
BYD,3531,2025-04-01,
BYD,2639,2025-05-01,
BYD,2172,2025-06-01,
BYD,2827,2025-07-01,
BYD,-,2025-08-01,
BYD,-,2025-09-01,
BYD,-,2025-10-01,
BYD,-,2025-11-01,
BYD,-,2025-12-01,
CHERY,1198,2025-01-01,1031
CHERY,1327,2025-02-01,1703
CHERY,1521,2025-03-01,1922
CHERY,1549,2025-04-01,1684
CHERY,2067,2025-05-01,2631
CHERY,2150,2025-06-01,2384
CHERY,1705,2025-07-01,2301
CHERY,-,2025-08-01,-
CHERY,-,2025-09-01,-
CHERY,-,2025-10-01,-
CHERY,-,2025-11-01,-
CHERY,-,2025-12-01,-
CITROEN,85,2025-01-01,
CITROEN,113,2025-02-01,
CITROEN,144,2025-03-01,
CITROEN,101,2025-04-01,
CITROEN,102,2025-05-01,
CITROEN,100,2025-06-01,
CITROEN,121,2025-07-01,
CITROEN,-,2025-08-01,
CITROEN,-,2025-09-01,
CITROEN,-,2025-10-01,
CITROEN,-,2025-11-01,
CITROEN,-,2025-12-01,
DAIHATSU,11305,2025-01-01,9983
DAIHATSU,12501,2025-02-01,11952
DAIHATSU,13111,2025-03-01,13048
DAIHATSU,9801,2025-04-01,8864
DAIHATSU,9997,2025-05-01,11146
DAIHATSU,10001,2025-06-01,9336
DAIHATSU,11220,2025-07-01,10433
