waktu,brand,tipe,sale
2021-01,HONDA,All New City IVTEC E AT,16
2021-02,HONDA,All New City IVTEC E AT,19
2021-03,HONDA,All New City IVTEC E AT,5
2021-04,HONDA,All New City IVTEC E AT,-
2021-05,HONDA,All New City IVTEC E AT,-
2021-06,HONDA,All New City IVTEC E AT,-
2021-07,HONDA,All New City IVTEC E AT,-
2021-08,HONDA,All New City IVTEC E AT,-
2021-09,HONDA,All New City IVTEC E AT,-
2021-010,HONDA,All New City IVTEC E AT,-
2021-011,HONDA,All New City IVTEC E AT,21
2021-012,HONDA,All New City IVTEC E AT,9
2021-01,HONDA,All New Civic,41
2021-02,HONDA,All New Civic,91
2021-03,HONDA,All New Civic,104
2021-04,HONDA,All New Civic,-
2021-05,HONDA,All New Civic,-
2021-06,HONDA,All New Civic,-
2021-07,HONDA,All New Civic,-
2021-08,HONDA,All New Civic,-
2021-09,HONDA,All New Civic,-
2021-010,HONDA,All New Civic,-
2021-011,HONDA,All New Civic,47
2021-012,HONDA,All New Civic,13
2021-01,HONDA,All New Civic Prestige,-
2021-02,HONDA,All New Civic Prestige,-
2021-03,HONDA,All New Civic Prestige,-
2021-04,HONDA,All New Civic Prestige,-
2021-05,HONDA,All New Civic Prestige,-
2021-06,HONDA,All New Civic Prestige,-
2021-07,HONDA,All New Civic Prestige,-
2021-08,HONDA,All New Civic Prestige,-
2021-09,HONDA,All New Civic Prestige,-
2021-010,HONDA,All New Civic Prestige,-
2021-011,HONDA,All New Civic Prestige,-
2021-012,HONDA,All New Civic Prestige,-
2021-01,HYUNDAI HMID,Ioniq EV Prime,2
2021-02,HYUNDAI HMID,Ioniq EV Prime,2
2021-03,HYUNDAI HMID,Ioniq EV Prime,-
2021-04,HYUNDAI HMID,Ioniq EV Prime,3
2021-05,HYUNDAI HMID,Ioniq EV Prime,1
2021-06,HYUNDAI HMID,Ioniq EV Prime,11
2021-07,HYUNDAI HMID,Ioniq EV Prime,4
2021-08,HYUNDAI HMID,Ioniq EV Prime,2
2021-09,HYUNDAI HMID,Ioniq EV Prime,1
2021-010,HYUNDAI HMID,Ioniq EV Prime,1
2021-011,HYUNDAI HMID,Ioniq EV Prime,-
2021-012,HYUNDAI HMID,Ioniq EV Prime,-
2021-01,HYUNDAI HMID,Ioniq EV Signature,25
2021-02,HYUNDAI HMID,Ioniq EV Signature,51
2021-03,HYUNDAI HMID,Ioniq EV Signature,33
2021-04,HYUNDAI HMID,Ioniq EV Signature,32
2021-05,HYUNDAI HMID,Ioniq EV Signature,26
2021-06,HYUNDAI HMID,Ioniq EV Signature,19
2021-07,HYUNDAI HMID,Ioniq EV Signature,11
2021-08,HYUNDAI HMID,Ioniq EV Signature,1
2021-09,HYUNDAI HMID,Ioniq EV Signature,3
2021-010,HYUNDAI HMID,Ioniq EV Signature,-
2021-011,HYUNDAI HMID,Ioniq EV Signature,-
2021-012,HYUNDAI HMID,Ioniq EV Signature,-
2021-01,HYUNDAI HIM,IONIQ EV,-
2021-02,HYUNDAI HIM,IONIQ EV,-
2021-03,HYUNDAI HIM,IONIQ EV,-
2021-04,HYUNDAI HIM,IONIQ EV,-
2021-05,HYUNDAI HIM,IONIQ EV,-
2021-06,HYUNDAI HIM,IONIQ EV,-
2021-07,HYUNDAI HIM,IONIQ EV,-
2021-08,HYUNDAI HIM,IONIQ EV,-
2021-09,HYUNDAI HIM,IONIQ EV,-
2021-010,HYUNDAI HIM,IONIQ EV,-
2021-011,HYUNDAI HIM,IONIQ EV,-
2021-012,HYUNDAI HIM,IONIQ EV,-
2021-01,MERCEDES BENZ PC,A 200 Sedan (V177),4
2021-02,MERCEDES BENZ PC,A 200 Sedan (V177),9
2021-03,MERCEDES BENZ PC,A 200 Sedan (V177),5
2021-04,MERCEDES BENZ PC,A 200 Sedan (V177),-
2021-05,MERCEDES BENZ PC,A 200 Sedan (V177),-
2021-06,MERCEDES BENZ PC,A 200 Sedan (V177),-
2021-07,MERCEDES BENZ PC,A 200 Sedan (V177),-
2021-08,MERCEDES BENZ PC,A 200 Sedan (V177),-
2021-09,MERCEDES BENZ PC,A 200 Sedan (V177),-
2021-010,MERCEDES BENZ PC,A 200 Sedan (V177),-
2021-011,MERCEDES BENZ PC,A 200 Sedan (V177),1
2021-012,MERCEDES BENZ PC,A 200 Sedan (V177),-
2021-01,MERCEDES BENZ PC,CLA 200 AMG Line (C118),1
2021-02,MERCEDES BENZ PC,CLA 200 AMG Line (C118),-
2021-03,MERCEDES BENZ PC,CLA 200 AMG Line (C118),2
2021-04,MERCEDES BENZ PC,CLA 200 AMG Line (C118),1
2021-05,MERCEDES BENZ PC,CLA 200 AMG Line (C118),12
2021-06,MERCEDES BENZ PC,CLA 200 AMG Line (C118),3
2021-07,MERCEDES BENZ PC,CLA 200 AMG Line (C118),-
2021-08,MERCEDES BENZ PC,CLA 200 AMG Line (C118),-
2021-09,MERCEDES BENZ PC,CLA 200 AMG Line (C118),-
2021-010,MERCEDES BENZ PC,CLA 200 AMG Line (C118),-
2021-011,MERCEDES BENZ PC,CLA 200 AMG Line (C118),-
2021-012,MERCEDES BENZ PC,CLA 200 AMG Line (C118),-
2021-01,MERCEDES BENZ PC,AMG CLA 45 S,-
2021-02,MERCEDES BENZ PC,AMG CLA 45 S,-
2021-03,MERCEDES BENZ PC,AMG CLA 45 S,-
2021-04,MERCEDES BENZ PC,AMG CLA 45 S,-
2021-05,MERCEDES BENZ PC,AMG CLA 45 S,1
2021-06,MERCEDES BENZ PC,AMG CLA 45 S,1
2021-07,MERCEDES BENZ PC,AMG CLA 45 S,-
2021-08,MERCEDES BENZ PC,AMG CLA 45 S,-
2021-09,MERCEDES BENZ PC,AMG CLA 45 S,-
2021-010,MERCEDES BENZ PC,AMG CLA 45 S,-
2021-011,MERCEDES BENZ PC,AMG CLA 45 S,-
2021-012,MERCEDES BENZ PC,AMG CLA 45 S,-
2021-01,TOYOTA,Prius,-
2021-02,TOYOTA,Prius,-
2021-03,TOYOTA,Prius,-
2021-04,TOYOTA,Prius,-
2021-05,TOYOTA,Prius,-
2021-06,TOYOTA,Prius,-
2021-07,TOYOTA,Prius,5
2021-08,TOYOTA,Prius,4
2021-09,TOYOTA,Prius,-
2021-010,TOYOTA,Prius,-
2021-011,TOYOTA,Prius,-
2021-012,TOYOTA,Prius,-
2021-01,TOYOTA,Vios E,30
2021-02,TOYOTA,Vios E,-
2021-03,TOYOTA,Vios E,-
2021-04,TOYOTA,Vios E,-
2021-05,TOYOTA,Vios E,-
2021-06,TOYOTA,Vios E,-
2021-07,TOYOTA,Vios E,4
2021-08,TOYOTA,Vios E,11
2021-09,TOYOTA,Vios E,-
2021-010,TOYOTA,Vios E,-
2021-011,TOYOTA,Vios E,-
2021-012,TOYOTA,Vios E,-
2021-01,TOYOTA,Vios E AT,-
2021-02,TOYOTA,Vios E AT,-
2021-03,TOYOTA,Vios E AT,-
2021-04,TOYOTA,Vios E AT,-
2021-05,TOYOTA,Vios E AT,-
2021-06,TOYOTA,Vios E AT,-
2021-07,TOYOTA,Vios E AT,-
2021-08,TOYOTA,Vios E AT,-
2021-09,TOYOTA,Vios E AT,-
2021-010,TOYOTA,Vios E AT,-
2021-011,TOYOTA,Vios E AT,-
2021-012,TOYOTA,Vios E AT,-
2021-01,TOYOTA,Vios G,-
2021-02,TOYOTA,Vios G,13
2021-03,TOYOTA,Vios G,13
2021-04,TOYOTA,Vios G,-
2021-05,TOYOTA,Vios G,3
2021-06,TOYOTA,Vios G,-
2021-07,TOYOTA,Vios G,1
2021-08,TOYOTA,Vios G,5
2021-09,TOYOTA,Vios G,3
2021-010,TOYOTA,Vios G,2
2021-011,TOYOTA,Vios G,3
2021-012,TOYOTA,Vios G,1
2021-01,TOYOTA,Vios G AT,18
2021-02,TOYOTA,Vios G AT,12
2021-03,TOYOTA,Vios G AT,28
2021-04,TOYOTA,Vios G AT,145
2021-05,TOYOTA,Vios G AT,109
2021-06,TOYOTA,Vios G AT,26
2021-07,TOYOTA,Vios G AT,64
2021-08,TOYOTA,Vios G AT,244
2021-09,TOYOTA,Vios G AT,107
2021-010,TOYOTA,Vios G AT,208
2021-011,TOYOTA,Vios G AT,184
2021-012,TOYOTA,Vios G AT,9
2021-01,AUDI,A4 2.0 quattro TFSI  A/T,-
2021-02,AUDI,A4 2.0 quattro TFSI  A/T,-
2021-03,AUDI,A4 2.0 quattro TFSI  A/T,-
2021-04,AUDI,A4 2.0 quattro TFSI  A/T,-
2021-05,AUDI,A4 2.0 quattro TFSI  A/T,-
2021-06,AUDI,A4 2.0 quattro TFSI  A/T,-
2021-07,AUDI,A4 2.0 quattro TFSI  A/T,-
2021-08,AUDI,A4 2.0 quattro TFSI  A/T,-
2021-09,AUDI,A4 2.0 quattro TFSI  A/T,-
2021-010,AUDI,A4 2.0 quattro TFSI  A/T,-
2021-011,AUDI,A4 2.0 quattro TFSI  A/T,-
2021-012,AUDI,A4 2.0 quattro TFSI  A/T,-
2021-01,AUDI,A5 2.0 TFSI,-
2021-02,AUDI,A5 2.0 TFSI,-
2021-03,AUDI,A5 2.0 TFSI,-
2021-04,AUDI,A5 2.0 TFSI,-
2021-05,AUDI,A5 2.0 TFSI,-
2021-06,AUDI,A5 2.0 TFSI,-
2021-07,AUDI,A5 2.0 TFSI,-
2021-08,AUDI,A5 2.0 TFSI,-
2021-09,AUDI,A5 2.0 TFSI,1
2021-010,AUDI,A5 2.0 TFSI,-
2021-011,AUDI,A5 2.0 TFSI,-
2021-012,AUDI,A5 2.0 TFSI,-
2021-01,AUDI,A5 2.0 TFSI A/T SB,-
2021-02,AUDI,A5 2.0 TFSI A/T SB,-
2021-03,AUDI,A5 2.0 TFSI A/T SB,-
2021-04,AUDI,A5 2.0 TFSI A/T SB,-
2021-05,AUDI,A5 2.0 TFSI A/T SB,-
2021-06,AUDI,A5 2.0 TFSI A/T SB,-
2021-07,AUDI,A5 2.0 TFSI A/T SB,-
