waktu,brand,tipe,sale
2019-010,FAW,Damp Truck (HD360DT),9
2019-011,FAW,Damp Truck (HD360DT),1
2019-012,FAW,Damp Truck (HD360DT),10
2019-01,FAW,Damp Truck (HD380DT),-
2019-02,FAW,Damp Truck (HD380DT),-
2019-03,FAW,Damp Truck (HD380DT),-
2019-04,FAW,Damp Truck (HD380DT),-
2019-05,FAW,Damp Truck (HD380DT),-
2019-06,FAW,Damp Truck (HD380DT),-
2019-07,FAW,Damp Truck (HD380DT),-
2019-08,FAW,Damp Truck (HD380DT),-
2019-09,FAW,Damp Truck (HD380DT),-
2019-010,FAW,Damp Truck (HD380DT),-
2019-011,FAW,Damp Truck (HD380DT),-
2019-012,FAW,Damp Truck (HD380DT),-
2019-01,FAW,Damp Truck (FD 280DT),10
2019-02,FAW,Damp Truck (FD 280DT),-
2019-03,FAW,Damp Truck (FD 280DT),-
2019-04,FAW,Damp Truck (FD 280DT),-
2019-05,FAW,Damp Truck (FD 280DT),1
2019-06,FAW,Damp Truck (FD 280DT),9
2019-07,FAW,Damp Truck (FD 280DT),1
2019-08,FAW,Damp Truck (FD 280DT),-
2019-09,FAW,Damp Truck (FD 280DT),2
2019-010,FAW,Damp Truck (FD 280DT),-
2019-011,FAW,Damp Truck (FD 280DT),1
2019-012,FAW,Damp Truck (FD 280DT),3
2019-01,FAW,Mixer Truck (FD280MT),1
2019-02,FAW,Mixer Truck (FD280MT),-
2019-03,FAW,Mixer Truck (FD280MT),-
2019-04,FAW,Mixer Truck (FD280MT),-
2019-05,FAW,Mixer Truck (FD280MT),-
2019-06,FAW,Mixer Truck (FD280MT),1
2019-07,FAW,Mixer Truck (FD280MT),-
2019-08,FAW,Mixer Truck (FD280MT),2
2019-09,FAW,Mixer Truck (FD280MT),1
2019-010,FAW,Mixer Truck (FD280MT),1
2019-011,FAW,Mixer Truck (FD280MT),1
2019-012,FAW,Mixer Truck (FD280MT),1
2019-01,FAW,Self Loader Truck (FD336SL),-
2019-02,FAW,Self Loader Truck (FD336SL),-
2019-03,FAW,Self Loader Truck (FD336SL),-
2019-04,FAW,Self Loader Truck (FD336SL),-
2019-05,FAW,Self Loader Truck (FD336SL),-
2019-06,FAW,Self Loader Truck (FD336SL),-
2019-07,FAW,Self Loader Truck (FD336SL),-
2019-08,FAW,Self Loader Truck (FD336SL),-
2019-09,FAW,Self Loader Truck (FD336SL),1
2019-010,FAW,Self Loader Truck (FD336SL),-
2019-011,FAW,Self Loader Truck (FD336SL),-
2019-012,FAW,Self Loader Truck (FD336SL),-
2019-01,FAW,Tractor Head (FD380TH) CNG,-
2019-02,FAW,Tractor Head (FD380TH) CNG,-
2019-03,FAW,Tractor Head (FD380TH) CNG,-
2019-04,FAW,Tractor Head (FD380TH) CNG,-
2019-05,FAW,Tractor Head (FD380TH) CNG,-
2019-06,FAW,Tractor Head (FD380TH) CNG,-
2019-07,FAW,Tractor Head (FD380TH) CNG,-
2019-08,FAW,Tractor Head (FD380TH) CNG,-
2019-09,FAW,Tractor Head (FD380TH) CNG,-
2019-010,FAW,Tractor Head (FD380TH) CNG,-
2019-011,FAW,Tractor Head (FD380TH) CNG,-
