BRAND,Retail,tanggal,Production
AUDI,25,2012-01-01,17
AUDI,36,2012-02-01,23
AUDI,22,2012-03-01,17
AUDI,44,2012-04-01,24
AUDI,27,2012-05-01,22
AUDI,31,2012-06-01,21
AUDI,50,2012-07-01,15
AUDI,31,2012-08-01,16
AUDI,36,2012-09-01,21
AUDI,38,2012-10-01,14
AUDI,39,2012-11-01,15
AUDI,53,2012-12-01,21
B M W,145,2012-01-01,99
B M W,150,2012-02-01,98
B M W,200,2012-03-01,100
B M W,185,2012-04-01,121
B M W,181,2012-05-01,139
B M W,200,2012-06-01,186
B M W,160,2012-07-01,203
B M W,155,2012-08-01,132
B M W,224,2012-09-01,83
B M W,188,2012-10-01,182
B M W,202,2012-11-01,198
B M W,198,2012-12-01,141
CHERY,-,2012-01-01,-
CHERY,-,2012-02-01,-
CHERY,-,2012-03-01,-
CHERY,-,2012-04-01,-
CHERY,51,2012-05-01,-
CHERY,46,2012-06-01,-
CHERY,35,2012-07-01,-
CHERY,25,2012-08-01,-
CHERY,19,2012-09-01,-
CHERY,11,2012-10-01,-
CHERY,7,2012-11-01,-
CHERY,15,2012-12-01,-
CHEVROLET,306,2012-01-01,
CHEVROLET,370,2012-02-01,
CHEVROLET,471,2012-03-01,
CHEVROLET,432,2012-04-01,
CHEVROLET,648,2012-05-01,
CHEVROLET,369,2012-06-01,
CHEVROLET,403,2012-07-01,
CHEVROLET,325,2012-08-01,
CHEVROLET,411,2012-09-01,
CHEVROLET,411,2012-10-01,
CHEVROLET,487,2012-11-01,
CHEVROLET,653,2012-12-01,
DAIHATSU,13038,2012-01-01,13120
DAIHATSU,12758,2012-02-01,13214
DAIHATSU,13303,2012-03-01,12665
DAIHATSU,13473,2012-04-01,13112
DAIHATSU,14151,2012-05-01,12878
DAIHATSU,14233,2012-06-01,13126
DAIHATSU,14353,2012-07-01,13239
DAIHATSU,11296,2012-08-01,10430
DAIHATSU,13608,2012-09-01,14523
DAIHATSU,14018,2012-10-01,14260
DAIHATSU,14248,2012-11-01,14217
DAIHATSU,14589,2012-12-01,12483
DODGE,6,2012-01-01,
DODGE,5,2012-02-01,
DODGE,8,2012-03-01,
DODGE,6,2012-04-01,
DODGE,7,2012-05-01,
DODGE,8,2012-06-01,
DODGE,10,2012-07-01,
DODGE,3,2012-08-01,
DODGE,6,2012-09-01,
DODGE,7,2012-10-01,
DODGE,3,2012-11-01,
DODGE,2,2012-12-01,
FAW,22,2012-01-01,
FAW,26,2012-02-01,
FAW,15,2012-03-01,
FAW,32,2012-04-01,
FAW,12,2012-05-01,
FAW,12,2012-06-01,
FAW,12,2012-07-01,
FAW,13,2012-08-01,
FAW,43,2012-09-01,
FAW,99,2012-10-01,
FAW,78,2012-11-01,
FAW,82,2012-12-01,
FORD,610,2012-01-01,
FORD,770,2012-02-01,
FORD,761,2012-03-01,
FORD,573,2012-04-01,
FORD,703,2012-05-01,
FORD,1061,2012-06-01,
FORD,1306,2012-07-01,
FORD,1025,2012-08-01,
FORD,1274,2012-09-01,
FORD,1346,2012-10-01,
FORD,990,2012-11-01,
FORD,957,2012-12-01,
FOTON,-,2012-01-01,
FOTON,7,2012-02-01,
FOTON,14,2012-03-01,
FOTON,23,2012-04-01,
FOTON,30,2012-05-01,
FOTON,4,2012-06-01,
FOTON,29,2012-07-01,
FOTON,9,2012-08-01,
FOTON,5,2012-09-01,
FOTON,13,2012-10-01,
FOTON,19,2012-11-01,
FOTON,25,2012-12-01,
GEELY,182,2012-01-01,44
GEELY,82,2012-02-01,40
GEELY,70,2012-03-01,69
GEELY,72,2012-04-01,65
GEELY,73,2012-05-01,26
GEELY,74,2012-06-01,60
GEELY,91,2012-07-01,60
GEELY,108,2012-08-01,67
GEELY,114,2012-09-01,77
GEELY,79,2012-10-01,87
GEELY,67,2012-11-01,81
GEELY,251,2012-12-01,51
HINO,2795,2012-01-01,3013
HINO,2834,2012-02-01,2645
HINO,3136,2012-03-01,2959
HINO,2905,2012-04-01,3030
HINO,2618,2012-05-01,2561
HINO,2523,2012-06-01,2957
HINO,2873,2012-07-01,3267
HINO,2303,2012-08-01,2593
HINO,3066,2012-09-01,3450
HINO,2773,2012-10-01,3832
HINO,3008,2012-11-01,3262
HINO,3171,2012-12-01,3125
HONDA,1901,2012-01-01,1583
HONDA,1808,2012-02-01,2312
HONDA,3934,2012-03-01,4348
HONDA,3496,2012-04-01,3641
HONDA,4955,2012-05-01,6611
HONDA,6570,2012-06-01,6566
