BRAND,Retail,tanggal,Production
AION,-,2024-01-01,
AION,-,2024-02-01,
AION,-,2024-03-01,
AION,-,2024-04-01,
AION,-,2024-05-01,
AION,-,2024-06-01,
AION,-,2024-07-01,
AION,-,2024-08-01,
AION,265,2024-09-01,
AION,190,2024-10-01,
AION,430,2024-11-01,
AION,75,2024-12-01,
AUDI,3,2024-01-01,
AUDI,3,2024-02-01,
AUDI,2,2024-03-01,
AUDI,1,2024-04-01,
AUDI,3,2024-05-01,
AUDI,2,2024-06-01,
AUDI,1,2024-07-01,
AUDI,4,2024-08-01,
AUDI,2,2024-09-01,
AUDI,1,2024-10-01,
AUDI,1,2024-11-01,
AUDI,1,2024-12-01,
B M W,221,2024-01-01,280
B M W,234,2024-02-01,257
B M W,320,2024-03-01,257
B M W,215,2024-04-01,167
B M W,309,2024-05-01,294
B M W,344,2024-06-01,315
B M W,407,2024-07-01,356
B M W,416,2024-08-01,374
B M W,435,2024-09-01,330
B M W,333,2024-10-01,300
B M W,242,2024-11-01,296
B M W,316,2024-12-01,296
BAIC,-,2024-01-01,
BAIC,-,2024-02-01,
BAIC,-,2024-03-01,
BAIC,-,2024-04-01,
BAIC,-,2024-05-01,
BAIC,-,2024-06-01,
BAIC,-,2024-07-01,
BAIC,21,2024-08-01,
BAIC,36,2024-09-01,
BAIC,64,2024-10-01,
BAIC,37,2024-11-01,
BAIC,40,2024-12-01,
BYD,-,2024-01-01,
BYD,-,2024-02-01,
BYD,-,2024-03-01,
BYD,-,2024-04-01,
BYD,-,2024-05-01,
BYD,-,2024-06-01,
BYD,2047,2024-07-01,
BYD,2389,2024-08-01,
BYD,1788,2024-09-01,
BYD,2597,2024-10-01,
BYD,2833,2024-11-01,
BYD,2310,2024-12-01,
CHERY,268,2024-01-01,210
CHERY,410,2024-02-01,323
CHERY,673,2024-03-01,740
CHERY,715,2024-04-01,468
CHERY,901,2024-05-01,845
CHERY,920,2024-06-01,926
CHERY,714,2024-07-01,1055
CHERY,762,2024-08-01,840
CHERY,606,2024-09-01,750
CHERY,731,2024-10-01,773
CHERY,806,2024-11-01,609
CHERY,1120,2024-12-01,892
CITROEN,10,2024-01-01,
CITROEN,25,2024-02-01,
CITROEN,37,2024-03-01,
CITROEN,15,2024-04-01,
CITROEN,72,2024-05-01,
CITROEN,107,2024-06-01,
CITROEN,94,2024-07-01,
CITROEN,107,2024-08-01,
CITROEN,118,2024-09-01,
CITROEN,115,2024-10-01,
CITROEN,125,2024-11-01,
CITROEN,111,2024-12-01,
DAIHATSU,16976,2024-01-01,14381
DAIHATSU,14819,2024-02-01,15100
DAIHATSU,17352,2024-03-01,16538
DAIHATSU,12419,2024-04-01,9469
DAIHATSU,14747,2024-05-01,14972
