BRAND,Retail,tanggal,Production
ALFA ROMEO,-,2015-01-01,
ALFA ROMEO,-,2015-02-01,
ALFA ROMEO,-,2015-03-01,
ALFA ROMEO,-,2015-04-01,
ALFA ROMEO,-,2015-05-01,
ALFA ROMEO,-,2015-06-01,
ALFA ROMEO,-,2015-07-01,
ALFA ROMEO,-,2015-08-01,
ALFA ROMEO,-,2015-09-01,
ALFA ROMEO,-,2015-10-01,
ALFA ROMEO,-,2015-11-01,
ALFA ROMEO,-,2015-12-01,
AUDI,19,2015-01-01,15
AUDI,18,2015-02-01,10
AUDI,17,2015-03-01,6
AUDI,17,2015-04-01,7
AUDI,16,2015-05-01,6
AUDI,10,2015-06-01,7
AUDI,8,2015-07-01,5
AUDI,22,2015-08-01,16
AUDI,24,2015-09-01,7
AUDI,23,2015-10-01,12
AUDI,10,2015-11-01,3
AUDI,20,2015-12-01,9
B M W,180,2015-01-01,239
B M W,226,2015-02-01,180
B M W,225,2015-03-01,233
B M W,130,2015-04-01,177
B M W,200,2015-05-01,172
B M W,250,2015-06-01,179
B M W,205,2015-07-01,111
B M W,240,2015-08-01,214
B M W,320,2015-09-01,94
B M W,200,2015-10-01,240
B M W,270,2015-11-01,176
B M W,254,2015-12-01,155
CHERY,-,2015-01-01,-
CHERY,-,2015-02-01,-
CHERY,-,2015-03-01,-
CHERY,-,2015-04-01,-
CHERY,-,2015-05-01,-
CHERY,-,2015-06-01,-
CHERY,-,2015-07-01,-
CHERY,-,2015-08-01,-
CHERY,-,2015-09-01,-
CHERY,-,2015-10-01,-
CHERY,-,2015-11-01,-
CHERY,-,2015-12-01,-
CHEVROLET,644,2015-01-01,559
CHEVROLET,542,2015-02-01,834
CHEVROLET,267,2015-03-01,971
CHEVROLET,352,2015-04-01,947
CHEVROLET,351,2015-05-01,793
CHEVROLET,432,2015-06-01,458
CHEVROLET,351,2015-07-01,-
CHEVROLET,386,2015-08-01,-
CHEVROLET,441,2015-09-01,-
CHEVROLET,398,2015-10-01,-
CHEVROLET,367,2015-11-01,-
CHEVROLET,350,2015-12-01,-
CHRYSLER,-,2015-01-01,
CHRYSLER,-,2015-02-01,
CHRYSLER,3,2015-03-01,
CHRYSLER,-,2015-04-01,
CHRYSLER,-,2015-05-01,
CHRYSLER,-,2015-06-01,
CHRYSLER,-,2015-07-01,
CHRYSLER,-,2015-08-01,
CHRYSLER,-,2015-09-01,
CHRYSLER,-,2015-10-01,
CHRYSLER,-,2015-11-01,
CHRYSLER,-,2015-12-01,
DAIHATSU,14701,2015-01-01,14342
DAIHATSU,12980,2015-02-01,14139
DAIHATSU,13783,2015-03-01,15913
DAIHATSU,14192,2015-04-01,14496
DAIHATSU,14513,2015-05-01,14195
DAIHATSU,15347,2015-06-01,13909
DAIHATSU,11748,2015-07-01,8323
DAIHATSU,12166,2015-08-01,14958
DAIHATSU,13579,2015-09-01,12788
DAIHATSU,14163,2015-10-01,13573
DAIHATSU,14345,2015-11-01,13808
DAIHATSU,15050,2015-12-01,12871
DATSUN,2015,2015-01-01,2700
DATSUN,2067,2015-02-01,2224
DATSUN,2276,2015-03-01,2570
DATSUN,2293,2015-04-01,1605
DATSUN,2057,2015-05-01,2880
DATSUN,2635,2015-06-01,2062
DATSUN,1958,2015-07-01,1812
DATSUN,3013,2015-08-01,2123
DATSUN,2892,2015-09-01,2861
