waktu,brand,tipe,sale
2025-01,HONDA,All New City,-
2025-02,HONDA,All New City,-
2025-03,HONDA,All New City,-
2025-04,HONDA,All New City,-
2025-05,HONDA,All New City,-
2025-06,HONDA,All New City,-
2025-07,HONDA,All New City,-
2025-01,HONDA,All New Civic,-
2025-02,HONDA,All New Civic,3
2025-03,HONDA,All New Civic,-
2025-04,HONDA,All New Civic,-
2025-05,HONDA,All New Civic,-
2025-06,HONDA,All New Civic,-
2025-07,HONDA,All New Civic,-
2025-01,HONDA,New Civic,-
2025-02,HONDA,New Civic,-
2025-03,HONDA,New Civic,-
2025-04,HONDA,New Civic,-
2025-05,HONDA,New Civic,30
2025-06,HONDA,New Civic,36
2025-07,HONDA,New Civic,42
2025-01,AION,AION ES,-
2025-02,AION,AION ES,-
2025-03,AION,AION ES,-
2025-04,AION,AION ES,-
2025-05,AION,AION ES,-
2025-06,AION,AION ES,-
2025-07,AION,AION ES,-
2025-01,BMW,i7 xDrive60 Limousine RHD AT,-
2025-02,BMW,i7 xDrive60 Limousine RHD AT,3
2025-03,BMW,i7 xDrive60 Limousine RHD AT,6
2025-04,BMW,i7 xDrive60 Limousine RHD AT,3
2025-05,BMW,i7 xDrive60 Limousine RHD AT,2
2025-06,BMW,i7 xDrive60 Limousine RHD AT,4
2025-07,BMW,i7 xDrive60 Limousine RHD AT,-
2025-01,BMW,CBU i4 eDrive35 Gran Coupe AT,-
2025-02,BMW,CBU i4 eDrive35 Gran Coupe AT,2
2025-03,BMW,CBU i4 eDrive35 Gran Coupe AT,1
2025-04,BMW,CBU i4 eDrive35 Gran Coupe AT,2
2025-05,BMW,CBU i4 eDrive35 Gran Coupe AT,-
2025-06,BMW,CBU i4 eDrive35 Gran Coupe AT,-
2025-07,BMW,CBU i4 eDrive35 Gran Coupe AT,2
2025-01,BMW,218 AT,-
2025-02,BMW,218 AT,-
2025-03,BMW,218 AT,-
2025-04,BMW,218 AT,-
2025-05,BMW,218 AT,-
2025-06,BMW,218 AT,13
2025-07,BMW,218 AT,4
2025-01,BYD,Seal Dynamic,-
2025-02,BYD,Seal Dynamic,-
2025-03,BYD,Seal Dynamic,-
2025-04,BYD,Seal Dynamic,-
2025-05,BYD,Seal Dynamic,-
2025-06,BYD,Seal Dynamic,-
2025-07,BYD,Seal Dynamic,-
2025-01,BYD,Seal Premium Extended Range,243
