waktu,brand,tipe,sale
2015-01,CHEVROLET,Lova 1.4 MT,-
2015-02,CHEVROLET,Lova 1.4 MT,-
2015-03,CHEVROLET,Lova 1.4 MT,-
2015-04,CHEVROLET,Lova 1.4 MT,-
2015-05,CHEVROLET,Lova 1.4 MT,-
2015-06,CHEVROLET,Lova 1.4 MT,-
2015-07,CHEVROLET,Lova 1.4 MT,-
2015-08,CHEVROLET,Lova 1.4 MT,-
2015-09,CHEVROLET,Lova 1.4 MT,-
2015-010,CHEVROLET,Lova 1.4 MT,-
2015-011,CHEVROLET,Lova 1.4 MT,-
2015-012,CHEVROLET,Lova 1.4 MT,-
2015-01,DAIHATSU,Copen,-
2015-02,DAIHATSU,Copen,-
2015-03,DAIHATSU,Copen,-
2015-04,DAIHATSU,Copen,-
2015-05,DAIHATSU,Copen,-
2015-06,DAIHATSU,Copen,-
2015-07,DAIHATSU,Copen,-
2015-08,DAIHATSU,Copen,-
2015-09,DAIHATSU,Copen,2
2015-010,DAIHATSU,Copen,1
2015-011,DAIHATSU,Copen,1
2015-012,DAIHATSU,Copen,-
2015-01,DAIHATSU,Copen,-
2015-02,DAIHATSU,Copen,-
2015-03,DAIHATSU,Copen,-
2015-04,DAIHATSU,Copen,-
2015-05,DAIHATSU,Copen,-
2015-06,DAIHATSU,Copen,-
2015-07,DAIHATSU,Copen,5
2015-08,DAIHATSU,Copen,-
2015-09,DAIHATSU,Copen,5
2015-010,DAIHATSU,Copen,-
2015-011,DAIHATSU,Copen,-
2015-012,DAIHATSU,Copen,-
2015-01,GEELY,MK GS,-
2015-02,GEELY,MK GS,1
2015-03,GEELY,MK GS,-
2015-04,GEELY,MK GS,1
2015-05,GEELY,MK GS,-
2015-06,GEELY,MK GS,-
2015-07,GEELY,MK GS,-
2015-08,GEELY,MK GS,-
2015-09,GEELY,MK GS,-
2015-010,GEELY,MK GS,-
2015-011,GEELY,MK GS,-
2015-012,GEELY,MK GS,-
2015-01,GEELY,MK GT,-
2015-02,GEELY,MK GT,-
2015-03,GEELY,MK GT,-
2015-04,GEELY,MK GT,-
2015-05,GEELY,MK GT,-
2015-06,GEELY,MK GT,-
2015-07,GEELY,MK GT,-
2015-08,GEELY,MK GT,-
2015-09,GEELY,MK GT,-
2015-010,GEELY,MK GT,-
2015-011,GEELY,MK GT,-
2015-012,GEELY,MK GT,-
2015-01,HONDA,All New City IVTEC S,-
2015-02,HONDA,All New City IVTEC S,-
2015-03,HONDA,All New City IVTEC S,-
2015-04,HONDA,All New City IVTEC S,-
2015-05,HONDA,All New City IVTEC S,-
2015-06,HONDA,All New City IVTEC S,-
2015-07,HONDA,All New City IVTEC S,30
2015-08,HONDA,All New City IVTEC S,-
2015-09,HONDA,All New City IVTEC S,-
2015-010,HONDA,All New City IVTEC S,-
2015-011,HONDA,All New City IVTEC S,-
2015-012,HONDA,All New City IVTEC S,-
2015-01,HONDA,All New City IVTEC S AT,-
2015-02,HONDA,All New City IVTEC S AT,13
2015-03,HONDA,All New City IVTEC S AT,15
2015-04,HONDA,All New City IVTEC S AT,1
2015-05,HONDA,All New City IVTEC S AT,1
2015-06,HONDA,All New City IVTEC S AT,-
2015-07,HONDA,All New City IVTEC S AT,-
2015-08,HONDA,All New City IVTEC S AT,-
2015-09,HONDA,All New City IVTEC S AT,-
2015-010,HONDA,All New City IVTEC S AT,-
2015-011,HONDA,All New City IVTEC S AT,-
2015-012,HONDA,All New City IVTEC S AT,-
2015-01,HONDA,All New City IVTEC E,26
2015-02,HONDA,All New City IVTEC E,29
2015-03,HONDA,All New City IVTEC E,36
2015-04,HONDA,All New City IVTEC E,42
2015-05,HONDA,All New City IVTEC E,19
2015-06,HONDA,All New City IVTEC E,16
2015-07,HONDA,All New City IVTEC E,9
2015-08,HONDA,All New City IVTEC E,2
2015-09,HONDA,All New City IVTEC E,1
2015-010,HONDA,All New City IVTEC E,-
2015-011,HONDA,All New City IVTEC E,-
2015-012,HONDA,All New City IVTEC E,-
2015-01,HONDA,All New City IVTEC E AT,138
2015-02,HONDA,All New City IVTEC E AT,202
2015-03,HONDA,All New City IVTEC E AT,134
2015-04,HONDA,All New City IVTEC E AT,126
2015-05,HONDA,All New City IVTEC E AT,152
2015-06,HONDA,All New City IVTEC E AT,142
2015-07,HONDA,All New City IVTEC E AT,104
2015-08,HONDA,All New City IVTEC E AT,80
2015-09,HONDA,All New City IVTEC E AT,89
2015-010,HONDA,All New City IVTEC E AT,3
2015-011,HONDA,All New City IVTEC E AT,-
2015-012,HONDA,All New City IVTEC E AT,-
2015-01,HONDA,All New City IVTEC ES AT,30
2015-02,HONDA,All New City IVTEC ES AT,19
2015-03,HONDA,All New City IVTEC ES AT,87
2015-04,HONDA,All New City IVTEC ES AT,42
2015-05,HONDA,All New City IVTEC ES AT,56
2015-06,HONDA,All New City IVTEC ES AT,60
2015-07,HONDA,All New City IVTEC ES AT,31
2015-08,HONDA,All New City IVTEC ES AT,7
2015-09,HONDA,All New City IVTEC ES AT,-
2015-010,HONDA,All New City IVTEC ES AT,1
2015-011,HONDA,All New City IVTEC ES AT,-
2015-012,HONDA,All New City IVTEC ES AT,75
2015-01,HYUNDAI,Excel III,-
2015-02,HYUNDAI,Excel III,-
2015-03,HYUNDAI,Excel III,-
2015-04,HYUNDAI,Excel III,15
2015-05,HYUNDAI,Excel III,12
2015-06,HYUNDAI,Excel III,1
2015-07,HYUNDAI,Excel III,-
2015-08,HYUNDAI,Excel III,-
2015-09,HYUNDAI,Excel III,-
2015-010,HYUNDAI,Excel III,-
2015-011,HYUNDAI,Excel III,-
2015-012,HYUNDAI,Excel III,-
2015-01,KIA,Rio Taxi,-
2015-02,KIA,Rio Taxi,-
2015-03,KIA,Rio Taxi,-
2015-04,KIA,Rio Taxi,-
2015-05,KIA,Rio Taxi,-
2015-06,KIA,Rio Taxi,-
2015-07,KIA,Rio Taxi,-
2015-08,KIA,Rio Taxi,100
2015-09,KIA,Rio Taxi,8
2015-010,KIA,Rio Taxi,73
2015-011,KIA,Rio Taxi,-
2015-012,KIA,Rio Taxi,-
2015-01,PROTON,Saga FL,25
2015-02,PROTON,Saga FL,-
2015-03,PROTON,Saga FL,-
2015-04,PROTON,Saga FL,-
2015-05,PROTON,Saga FL,-
2015-06,PROTON,Saga FL,-
2015-07,PROTON,Saga FL,1
2015-08,PROTON,Saga FL,1
2015-09,PROTON,Saga FL,-
2015-010,PROTON,Saga FL,1
2015-011,PROTON,Saga FL,3
2015-012,PROTON,Saga FL,36
2015-01,SUZUKI,Neo Baleno,-
2015-02,SUZUKI,Neo Baleno,-
2015-03,SUZUKI,Neo Baleno,-
2015-04,SUZUKI,Neo Baleno,-
2015-05,SUZUKI,Neo Baleno,-
2015-06,SUZUKI,Neo Baleno,-
2015-07,SUZUKI,Neo Baleno,-
2015-08,SUZUKI,Neo Baleno,-
2015-09,SUZUKI,Neo Baleno,-
2015-010,SUZUKI,Neo Baleno,-
2015-011,SUZUKI,Neo Baleno,-
2015-012,SUZUKI,Neo Baleno,-
2015-01,SUZUKI,Neo Baleno AT,-
2015-02,SUZUKI,Neo Baleno AT,-
2015-03,SUZUKI,Neo Baleno AT,-
2015-04,SUZUKI,Neo Baleno AT,-
2015-05,SUZUKI,Neo Baleno AT,-
2015-06,SUZUKI,Neo Baleno AT,-
2015-07,SUZUKI,Neo Baleno AT,-
2015-08,SUZUKI,Neo Baleno AT,-
2015-09,SUZUKI,Neo Baleno AT,-
2015-010,SUZUKI,Neo Baleno AT,-
2015-011,SUZUKI,Neo Baleno AT,-
2015-012,SUZUKI,Neo Baleno AT,-
2015-01,SUZUKI,Ciaz 1.4 MT,-
2015-02,SUZUKI,Ciaz 1.4 MT,-
2015-03,SUZUKI,Ciaz 1.4 MT,-
2015-04,SUZUKI,Ciaz 1.4 MT,-
2015-05,SUZUKI,Ciaz 1.4 MT,-
2015-06,SUZUKI,Ciaz 1.4 MT,-
2015-07,SUZUKI,Ciaz 1.4 MT,-
2015-08,SUZUKI,Ciaz 1.4 MT,-
2015-09,SUZUKI,Ciaz 1.4 MT,-
2015-010,SUZUKI,Ciaz 1.4 MT,-
2015-011,SUZUKI,Ciaz 1.4 MT,40
2015-012,SUZUKI,Ciaz 1.4 MT,20
2015-01,SUZUKI,Ciaz 1.4 AT,-
2015-02,SUZUKI,Ciaz 1.4 AT,-
2015-03,SUZUKI,Ciaz 1.4 AT,-
2015-04,SUZUKI,Ciaz 1.4 AT,-
2015-05,SUZUKI,Ciaz 1.4 AT,-
2015-06,SUZUKI,Ciaz 1.4 AT,-
2015-07,SUZUKI,Ciaz 1.4 AT,-
2015-08,SUZUKI,Ciaz 1.4 AT,-
2015-09,SUZUKI,Ciaz 1.4 AT,-
2015-010,SUZUKI,Ciaz 1.4 AT,-
2015-011,SUZUKI,Ciaz 1.4 AT,41
2015-012,SUZUKI,Ciaz 1.4 AT,20
2015-01,TATA,Manza,-
2015-02,TATA,Manza,-
2015-03,TATA,Manza,-
2015-04,TATA,Manza,-
2015-05,TATA,Manza,-
2015-06,TATA,Manza,2
2015-07,TATA,Manza,-
2015-08,TATA,Manza,-
2015-09,TATA,Manza,-
2015-010,TATA,Manza,-
2015-011,TATA,Manza,-
2015-012,TATA,Manza,-
2015-01,TOYOTA,Prius,-
2015-02,TOYOTA,Prius,-
2015-03,TOYOTA,Prius,-
2015-04,TOYOTA,Prius,-
2015-05,TOYOTA,Prius,-
2015-06,TOYOTA,Prius,-
2015-07,TOYOTA,Prius,-
2015-08,TOYOTA,Prius,-
2015-09,TOYOTA,Prius,-
2015-010,TOYOTA,Prius,-
