BRAND,Retail,tanggal,Production
AUDI,1,2023-01-01,
AUDI,6,2023-02-01,
AUDI,1,2023-03-01,
AUDI,6,2023-04-01,
AUDI,7,2023-05-01,
AUDI,7,2023-06-01,
AUDI,5,2023-07-01,
AUDI,9,2023-08-01,
AUDI,4,2023-09-01,
AUDI,5,2023-10-01,
AUDI,5,2023-11-01,
AUDI,1,2023-12-01,
B M W,200,2023-01-01,193
B M W,210,2023-02-01,235
B M W,285,2023-03-01,280
B M W,303,2023-04-01,146
B M W,350,2023-05-01,224
B M W,365,2023-06-01,184
B M W,362,2023-07-01,190
B M W,447,2023-08-01,295
B M W,468,2023-09-01,314
B M W,403,2023-10-01,266
B M W,381,2023-11-01,169
B M W,398,2023-12-01,307
CHERY,102,2023-01-01,162
CHERY,121,2023-02-01,225
CHERY,249,2023-03-01,239
CHERY,387,2023-04-01,531
CHERY,445,2023-05-01,809
CHERY,478,2023-06-01,907
CHERY,441,2023-07-01,915
CHERY,464,2023-08-01,656
CHERY,400,2023-09-01,327
CHERY,331,2023-10-01,325
CHERY,222,2023-11-01,307
CHERY,312,2023-12-01,302
CITROEN,-,2023-01-01,
CITROEN,-,2023-02-01,
CITROEN,-,2023-03-01,
CITROEN,-,2023-04-01,
CITROEN,-,2023-05-01,
CITROEN,-,2023-06-01,
CITROEN,-,2023-07-01,
CITROEN,-,2023-08-01,
CITROEN,-,2023-09-01,
CITROEN,-,2023-10-01,
CITROEN,-,2023-11-01,
CITROEN,-,2023-12-01,
DAIHATSU,22053,2023-01-01,17782
DAIHATSU,17013,2023-02-01,16187
DAIHATSU,18501,2023-03-01,19754
DAIHATSU,14001,2023-04-01,10690
DAIHATSU,15625,2023-05-01,15980
DAIHATSU,15322,2023-06-01,18101
DAIHATSU,15373,2023-07-01,15805
DAIHATSU,16335,2023-08-01,17450
DAIHATSU,15402,2023-09-01,15007
DAIHATSU,14646,2023-10-01,14092
DAIHATSU,14752,2023-11-01,13524
DAIHATSU,15085,2023-12-01,12805
DFSK,167,2023-01-01,210
DFSK,134,2023-02-01,250
DFSK,140,2023-03-01,285
DFSK,102,2023-04-01,168
DFSK,137,2023-05-01,150
DFSK,142,2023-06-01,90
DFSK,147,2023-07-01,-
DFSK,147,2023-08-01,-
DFSK,127,2023-09-01,50
DFSK,76,2023-10-01,51
DFSK,94,2023-11-01,40
DFSK,185,2023-12-01,90
FAW,3,2023-01-01,
FAW,23,2023-02-01,
FAW,162,2023-03-01,
FAW,18,2023-04-01,
FAW,27,2023-05-01,
FAW,30,2023-06-01,
FAW,30,2023-07-01,
FAW,33,2023-08-01,
FAW,178,2023-09-01,
FAW,36,2023-10-01,
FAW,44,2023-11-01,
FAW,33,2023-12-01,
HINO,2812,2023-01-01,2898
HINO,2687,2023-02-01,2433
HINO,2677,2023-03-01,2399
HINO,818,2023-04-01,1148
HINO,1835,2023-05-01,2338
HINO,1890,2023-06-01,2275
HINO,2525,2023-07-01,2548
HINO,2500,2023-08-01,3174
HINO,2193,2023-09-01,2326
HINO,2567,2023-10-01,2092
HINO,2638,2023-11-01,2131
HINO,2587,2023-12-01,1783
HONDA,11018,2023-01-01,15666
HONDA,12069,2023-02-01,13798
HONDA,14614,2023-03-01,15593
HONDA,8246,2023-04-01,6021
HONDA,11391,2023-05-01,10319
HONDA,10459,2023-06-01,11647
HONDA,9009,2023-07-01,11612
HONDA,10050,2023-08-01,12554
HONDA,10170,2023-09-01,10580
HONDA,9611,2023-10-01,10780
HONDA,10165,2023-11-01,9768
HONDA,11208,2023-12-01,5424
HYUNDAI - HIM,-,2023-01-01,
HYUNDAI - HIM,-,2023-02-01,
HYUNDAI - HIM,-,2023-03-01,
HYUNDAI - HIM,-,2023-04-01,
HYUNDAI - HIM,-,2023-05-01,
HYUNDAI - HIM,-,2023-06-01,
HYUNDAI - HIM,-,2023-07-01,
HYUNDAI - HIM,-,2023-08-01,
HYUNDAI - HIM,-,2023-09-01,
HYUNDAI - HIM,-,2023-10-01,
HYUNDAI - HIM,-,2023-11-01,
HYUNDAI - HIM,-,2023-12-01,
HYUNDAI - HMID,3549,2023-01-01,
HYUNDAI - HMID,2801,2023-02-01,
HYUNDAI - HMID,3306,2023-03-01,
HYUNDAI - HMID,2505,2023-04-01,
HYUNDAI - HMID,3125,2023-05-01,
HYUNDAI - HMID,2922,2023-06-01,
HYUNDAI - HMID,2296,2023-07-01,
HYUNDAI - HMID,3211,2023-08-01,
HYUNDAI - HMID,3103,2023-09-01,
HYUNDAI - HMID,2815,2023-10-01,
HYUNDAI - HMID,3051,2023-11-01,
HYUNDAI - HMID,3052,2023-12-01,
HYUNDAI - HMMI,,2023-01-01,6840
HYUNDAI - HMMI,,2023-02-01,6091
HYUNDAI - HMMI,,2023-03-01,6838
HYUNDAI - HMMI,,2023-04-01,4740
HYUNDAI - HMMI,,2023-05-01,6910
HYUNDAI - HMMI,,2023-06-01,7038
HYUNDAI - HMMI,,2023-07-01,7700
HYUNDAI - HMMI,,2023-08-01,7650
HYUNDAI - HMMI,,2023-09-01,6200
HYUNDAI - HMMI,,2023-10-01,7460
HYUNDAI - HMMI,,2023-11-01,7030
HYUNDAI - HMMI,,2023-12-01,5060
HYUNDAI HIM,,2023-01-01,3
HYUNDAI HIM,,2023-02-01,3
HYUNDAI HIM,,2023-03-01,117
HYUNDAI HIM,,2023-04-01,-
HYUNDAI HIM,,2023-05-01,108
HYUNDAI HIM,,2023-06-01,199
HYUNDAI HIM,,2023-07-01,144
HYUNDAI HIM,,2023-08-01,315
HYUNDAI HIM,,2023-09-01,378
HYUNDAI HIM,,2023-10-01,377
HYUNDAI HIM,,2023-11-01,360
HYUNDAI HIM,,2023-12-01,39
ISUZU,2642,2023-01-01,3755
ISUZU,2722,2023-02-01,3426
ISUZU,2947,2023-03-01,3198
ISUZU,1613,2023-04-01,2028
ISUZU,2653,2023-05-01,3138
ISUZU,2931,2023-06-01,3036
ISUZU,2555,2023-07-01,3060
ISUZU,2759,2023-08-01,3318
ISUZU,2657,2023-09-01,3328
ISUZU,2746,2023-10-01,3534
ISUZU,2572,2023-11-01,3528
ISUZU,2800,2023-12-01,3107
JEEP,22,2023-01-01,
JEEP,52,2023-02-01,
JEEP,37,2023-03-01,
JEEP,13,2023-04-01,
JEEP,40,2023-05-01,
JEEP,12,2023-06-01,
JEEP,35,2023-07-01,
JEEP,37,2023-08-01,
JEEP,14,2023-09-01,
JEEP,13,2023-10-01,
JEEP,16,2023-11-01,
JEEP,9,2023-12-01,
K I A,119,2023-01-01,
K I A,146,2023-02-01,
K I A,225,2023-03-01,
K I A,153,2023-04-01,
K I A,143,2023-05-01,
K I A,96,2023-06-01,
K I A,125,2023-07-01,
K I A,151,2023-08-01,
K I A,112,2023-09-01,
K I A,107,2023-10-01,
K I A,73,2023-11-01,
K I A,129,2023-12-01,
LEXUS,36,2023-01-01,
LEXUS,52,2023-02-01,
LEXUS,166,2023-03-01,
LEXUS,220,2023-04-01,
LEXUS,361,2023-05-01,
LEXUS,216,2023-06-01,
LEXUS,209,2023-07-01,
LEXUS,185,2023-08-01,
LEXUS,162,2023-09-01,
LEXUS,197,2023-10-01,
LEXUS,248,2023-11-01,
LEXUS,228,2023-12-01,
MAZDA,342,2023-01-01,
