waktu,brand,tipe,sale
2013-01,CHEVROLET,Kalos LS,108
2013-02,CHEVROLET,Kalos LS,77
2013-03,CHEVROLET,Kalos LS,8
2013-04,CHEVROLET,Kalos LS,87
2013-05,CHEVROLET,Kalos LS,90
2013-06,CHEVROLET,Kalos LS,4
2013-07,CHEVROLET,Kalos LS,2
2013-08,CHEVROLET,Kalos LS,-
2013-09,CHEVROLET,Kalos LS,-
2013-010,CHEVROLET,Kalos LS,-
2013-011,CHEVROLET,Kalos LS,-
2013-012,CHEVROLET,Kalos LS,-
2013-01,CHEVROLET,Kalos LT,-
2013-02,CHEVROLET,Kalos LT,-
2013-03,CHEVROLET,Kalos LT,-
2013-04,CHEVROLET,Kalos LT,-
2013-05,CHEVROLET,Kalos LT,-
2013-06,CHEVROLET,Kalos LT,-
2013-07,CHEVROLET,Kalos LT,-
2013-08,CHEVROLET,Kalos LT,-
2013-09,CHEVROLET,Kalos LT,-
2013-010,CHEVROLET,Kalos LT,-
2013-011,CHEVROLET,Kalos LT,-
2013-012,CHEVROLET,Kalos LT,-
2013-01,CHEVROLET,Kalos LT AT,-
2013-02,CHEVROLET,Kalos LT AT,-
2013-03,CHEVROLET,Kalos LT AT,-
2013-04,CHEVROLET,Kalos LT AT,-
2013-05,CHEVROLET,Kalos LT AT,-
2013-06,CHEVROLET,Kalos LT AT,-
2013-07,CHEVROLET,Kalos LT AT,-
2013-08,CHEVROLET,Kalos LT AT,-
2013-09,CHEVROLET,Kalos LT AT,-
2013-010,CHEVROLET,Kalos LT AT,-
2013-011,CHEVROLET,Kalos LT AT,-
2013-012,CHEVROLET,Kalos LT AT,-
2013-01,GEELY,MK GS,34
2013-02,GEELY,MK GS,28
2013-03,GEELY,MK GS,5
2013-04,GEELY,MK GS,-
2013-05,GEELY,MK GS,-
2013-06,GEELY,MK GS,-
2013-07,GEELY,MK GS,-
2013-08,GEELY,MK GS,-
2013-09,GEELY,MK GS,-
2013-010,GEELY,MK GS,-
2013-011,GEELY,MK GS,-
2013-012,GEELY,MK GS,-
2013-01,GEELY,MK GT,1
2013-02,GEELY,MK GT,-
2013-03,GEELY,MK GT,-
2013-04,GEELY,MK GT,-
2013-05,GEELY,MK GT,-
2013-06,GEELY,MK GT,2
2013-07,GEELY,MK GT,2
2013-08,GEELY,MK GT,-
2013-09,GEELY,MK GT,-
2013-010,GEELY,MK GT,-
2013-011,GEELY,MK GT,-
2013-012,GEELY,MK GT,-
2013-01,HONDA,All New City IVTEC S,9
2013-02,HONDA,All New City IVTEC S,27
2013-03,HONDA,All New City IVTEC S,24
2013-04,HONDA,All New City IVTEC S,-
2013-05,HONDA,All New City IVTEC S,15
2013-06,HONDA,All New City IVTEC S,8
2013-07,HONDA,All New City IVTEC S,12
2013-08,HONDA,All New City IVTEC S,14
2013-09,HONDA,All New City IVTEC S,7
2013-010,HONDA,All New City IVTEC S,2
2013-011,HONDA,All New City IVTEC S,2
2013-012,HONDA,All New City IVTEC S,-
2013-01,HONDA,All New City IVTEC S AT,3
2013-02,HONDA,All New City IVTEC S AT,63
2013-03,HONDA,All New City IVTEC S AT,113
2013-04,HONDA,All New City IVTEC S AT,2
2013-05,HONDA,All New City IVTEC S AT,30
2013-06,HONDA,All New City IVTEC S AT,53
2013-07,HONDA,All New City IVTEC S AT,46
2013-08,HONDA,All New City IVTEC S AT,21
2013-09,HONDA,All New City IVTEC S AT,14
2013-010,HONDA,All New City IVTEC S AT,13
2013-011,HONDA,All New City IVTEC S AT,3
2013-012,HONDA,All New City IVTEC S AT,30
2013-01,HONDA,All New City IVTEC E,27
2013-02,HONDA,All New City IVTEC E,131
2013-03,HONDA,All New City IVTEC E,139
2013-04,HONDA,All New City IVTEC E,83
2013-05,HONDA,All New City IVTEC E,37
2013-06,HONDA,All New City IVTEC E,32
2013-07,HONDA,All New City IVTEC E,44
2013-08,HONDA,All New City IVTEC E,43
2013-09,HONDA,All New City IVTEC E,4
2013-010,HONDA,All New City IVTEC E,26
2013-011,HONDA,All New City IVTEC E,8
2013-012,HONDA,All New City IVTEC E,56
2013-01,HONDA,All New City IVTEC E AT,57
2013-02,HONDA,All New City IVTEC E AT,352
2013-03,HONDA,All New City IVTEC E AT,223
2013-04,HONDA,All New City IVTEC E AT,367
2013-05,HONDA,All New City IVTEC E AT,117
2013-06,HONDA,All New City IVTEC E AT,194
2013-07,HONDA,All New City IVTEC E AT,103
2013-08,HONDA,All New City IVTEC E AT,112
2013-09,HONDA,All New City IVTEC E AT,5
2013-010,HONDA,All New City IVTEC E AT,84
2013-011,HONDA,All New City IVTEC E AT,138
2013-012,HONDA,All New City IVTEC E AT,81
2013-01,HYUNDAI,Excel III,100
2013-02,HYUNDAI,Excel III,1
2013-03,HYUNDAI,Excel III,-
2013-04,HYUNDAI,Excel III,50
2013-05,HYUNDAI,Excel III,-
2013-06,HYUNDAI,Excel III,100
2013-07,HYUNDAI,Excel III,11
2013-08,HYUNDAI,Excel III,-
2013-09,HYUNDAI,Excel III,-
2013-010,HYUNDAI,Excel III,-
2013-011,HYUNDAI,Excel III,69
2013-012,HYUNDAI,Excel III,2
2013-01,MAZDA,RX-8,-
2013-02,MAZDA,RX-8,-
2013-03,MAZDA,RX-8,-
2013-04,MAZDA,RX-8,-
2013-05,MAZDA,RX-8,-
2013-06,MAZDA,RX-8,-
2013-07,MAZDA,RX-8,-
2013-08,MAZDA,RX-8,-
2013-09,MAZDA,RX-8,-
2013-010,MAZDA,RX-8,-
2013-011,MAZDA,RX-8,-
2013-012,MAZDA,RX-8,-
2013-01,MAZDA,Mazda2 F/L 1.5 V,2
2013-02,MAZDA,Mazda2 F/L 1.5 V,1
2013-03,MAZDA,Mazda2 F/L 1.5 V,1
2013-04,MAZDA,Mazda2 F/L 1.5 V,17
2013-05,MAZDA,Mazda2 F/L 1.5 V,-
2013-06,MAZDA,Mazda2 F/L 1.5 V,-
2013-07,MAZDA,Mazda2 F/L 1.5 V,-
2013-08,MAZDA,Mazda2 F/L 1.5 V,-
2013-09,MAZDA,Mazda2 F/L 1.5 V,-
2013-010,MAZDA,Mazda2 F/L 1.5 V,-
2013-011,MAZDA,Mazda2 F/L 1.5 V,-
2013-012,MAZDA,Mazda2 F/L 1.5 V,-
2013-01,MAZDA,Mazda2 F/L 1.5 V,1
2013-02,MAZDA,Mazda2 F/L 1.5 V,2
2013-03,MAZDA,Mazda2 F/L 1.5 V,1
2013-04,MAZDA,Mazda2 F/L 1.5 V,7
2013-05,MAZDA,Mazda2 F/L 1.5 V,15
2013-06,MAZDA,Mazda2 F/L 1.5 V,-
2013-07,MAZDA,Mazda2 F/L 1.5 V,-
2013-08,MAZDA,Mazda2 F/L 1.5 V,2
2013-09,MAZDA,Mazda2 F/L 1.5 V,-
2013-010,MAZDA,Mazda2 F/L 1.5 V,-
2013-011,MAZDA,Mazda2 F/L 1.5 V,-
2013-012,MAZDA,Mazda2 F/L 1.5 V,-
2013-01,MAZDA,Mazda2 F/L 1.5 R,13
2013-02,MAZDA,Mazda2 F/L 1.5 R,1
2013-03,MAZDA,Mazda2 F/L 1.5 R,3
2013-04,MAZDA,Mazda2 F/L 1.5 R,-
2013-05,MAZDA,Mazda2 F/L 1.5 R,-
2013-06,MAZDA,Mazda2 F/L 1.5 R,-
2013-07,MAZDA,Mazda2 F/L 1.5 R,-
2013-08,MAZDA,Mazda2 F/L 1.5 R,-
2013-09,MAZDA,Mazda2 F/L 1.5 R,-
2013-010,MAZDA,Mazda2 F/L 1.5 R,-
2013-011,MAZDA,Mazda2 F/L 1.5 R,-
2013-012,MAZDA,Mazda2 F/L 1.5 R,-
2013-01,PROTON,WIRA Taxi,-
2013-02,PROTON,WIRA Taxi,-
2013-03,PROTON,WIRA Taxi,-
2013-04,PROTON,WIRA Taxi,-
2013-05,PROTON,WIRA Taxi,-
2013-06,PROTON,WIRA Taxi,-
2013-07,PROTON,WIRA Taxi,-
2013-08,PROTON,WIRA Taxi,-
2013-09,PROTON,WIRA Taxi,-
2013-010,PROTON,WIRA Taxi,-
2013-011,PROTON,WIRA Taxi,-
2013-012,PROTON,WIRA Taxi,-
2013-01,PROTON,S a g a FL,9
2013-02,PROTON,S a g a FL,3
2013-03,PROTON,S a g a FL,7
2013-04,PROTON,S a g a FL,88
2013-05,PROTON,S a g a FL,2
2013-06,PROTON,S a g a FL,59
2013-07,PROTON,S a g a FL,20
2013-08,PROTON,S a g a FL,40
2013-09,PROTON,S a g a FL,14
2013-010,PROTON,S a g a FL,-
2013-011,PROTON,S a g a FL,1
2013-012,PROTON,S a g a FL,24
2013-01,PROTON,S a g a FL AT,-
2013-02,PROTON,S a g a FL AT,-
2013-03,PROTON,S a g a FL AT,-
2013-04,PROTON,S a g a FL AT,-
2013-05,PROTON,S a g a FL AT,-
2013-06,PROTON,S a g a FL AT,-
2013-07,PROTON,S a g a FL AT,-
2013-08,PROTON,S a g a FL AT,-
2013-09,PROTON,S a g a FL AT,-
2013-010,PROTON,S a g a FL AT,-
2013-011,PROTON,S a g a FL AT,-
2013-012,PROTON,S a g a FL AT,-
2013-01,TOYOTA,Prius,-
2013-02,TOYOTA,Prius,-
2013-03,TOYOTA,Prius,-
2013-04,TOYOTA,Prius,1
2013-05,TOYOTA,Prius,-
2013-06,TOYOTA,Prius,-
2013-07,TOYOTA,Prius,-
2013-08,TOYOTA,Prius,-
2013-09,TOYOTA,Prius,-
2013-010,TOYOTA,Prius,-
2013-011,TOYOTA,Prius,-
2013-012,TOYOTA,Prius,-
2013-01,TOYOTA,Limo Taxi,478
2013-02,TOYOTA,Limo Taxi,428
2013-03,TOYOTA,Limo Taxi,634
2013-04,TOYOTA,Limo Taxi,286
2013-05,TOYOTA,Limo Taxi,535
2013-06,TOYOTA,Limo Taxi,1293
2013-07,TOYOTA,Limo Taxi,2060
2013-08,TOYOTA,Limo Taxi,2272
2013-09,TOYOTA,Limo Taxi,989
2013-010,TOYOTA,Limo Taxi,358
2013-011,TOYOTA,Limo Taxi,98
2013-012,TOYOTA,Limo Taxi,151
2013-01,TOYOTA,Etios 1.2 Taxi,-
2013-02,TOYOTA,Etios 1.2 Taxi,-
2013-03,TOYOTA,Etios 1.2 Taxi,-
2013-04,TOYOTA,Etios 1.2 Taxi,-
2013-05,TOYOTA,Etios 1.2 Taxi,-
2013-06,TOYOTA,Etios 1.2 Taxi,-
2013-07,TOYOTA,Etios 1.2 Taxi,-
2013-08,TOYOTA,Etios 1.2 Taxi,-
2013-09,TOYOTA,Etios 1.2 Taxi,-
2013-010,TOYOTA,Etios 1.2 Taxi,1430
2013-011,TOYOTA,Etios 1.2 Taxi,764
2013-012,TOYOTA,Etios 1.2 Taxi,2
2013-01,TOYOTA,Vios E,14
2013-02,TOYOTA,Vios E,3
2013-03,TOYOTA,Vios E,-
2013-04,TOYOTA,Vios E,-
2013-05,TOYOTA,Vios E,16
2013-06,TOYOTA,Vios E,8
2013-07,TOYOTA,Vios E,56
2013-08,TOYOTA,Vios E,46
2013-09,TOYOTA,Vios E,50
2013-010,TOYOTA,Vios E,13
