BRAND,Retail,tanggal,Production
AUDI,1,2022-01-01,
AUDI,-,2022-02-01,
AUDI,1,2022-03-01,
AUDI,7,2022-04-01,
AUDI,1,2022-05-01,
AUDI,10,2022-06-01,
AUDI,6,2022-07-01,
AUDI,5,2022-08-01,
AUDI,6,2022-09-01,
AUDI,3,2022-10-01,
AUDI,2,2022-11-01,
AUDI,11,2022-12-01,
B M W,190,2022-01-01,189
B M W,194,2022-02-01,236
B M W,243,2022-03-01,182
B M W,258,2022-04-01,172
B M W,198,2022-05-01,180
B M W,255,2022-06-01,257
B M W,258,2022-07-01,228
B M W,282,2022-08-01,289
B M W,317,2022-09-01,184
B M W,282,2022-10-01,172
B M W,243,2022-11-01,176
B M W,303,2022-12-01,197
CHERY,-,2022-01-01,
CHERY,-,2022-02-01,
CHERY,-,2022-03-01,
CHERY,-,2022-04-01,
CHERY,-,2022-05-01,
CHERY,-,2022-06-01,
CHERY,-,2022-07-01,
CHERY,-,2022-08-01,
CHERY,-,2022-09-01,
CHERY,-,2022-10-01,
CHERY,-,2022-11-01,
CHERY,-,2022-12-01,
DAIHATSU,17506,2022-01-01,18095
DAIHATSU,13122,2022-02-01,15037
DAIHATSU,16318,2022-03-01,17464
DAIHATSU,15401,2022-04-01,15539
DAIHATSU,11364,2022-05-01,6978
DAIHATSU,17054,2022-06-01,16827
DAIHATSU,16268,2022-07-01,15875
DAIHATSU,16551,2022-08-01,15211
DAIHATSU,17310,2022-09-01,18602
DAIHATSU,16433,2022-10-01,17290
DAIHATSU,15122,2022-11-01,20915
DAIHATSU,16211,2022-12-01,24125
DATSUN,-,2022-01-01,
DATSUN,-,2022-02-01,
DATSUN,-,2022-03-01,
DATSUN,-,2022-04-01,
DATSUN,-,2022-05-01,
DATSUN,-,2022-06-01,
DATSUN,-,2022-07-01,
DATSUN,-,2022-08-01,
DATSUN,-,2022-09-01,
DATSUN,-,2022-10-01,
DATSUN,-,2022-11-01,
DATSUN,-,2022-12-01,
DFSK,219,2022-01-01,270
DFSK,209,2022-02-01,350
DFSK,216,2022-03-01,397
DFSK,200,2022-04-01,60
DFSK,178,2022-05-01,200
DFSK,186,2022-06-01,250
DFSK,231,2022-07-01,265
DFSK,204,2022-08-01,300
DFSK,207,2022-09-01,150
DFSK,124,2022-10-01,200
DFSK,176,2022-11-01,150
DFSK,254,2022-12-01,307
FAW,24,2022-01-01,
FAW,40,2022-02-01,
FAW,19,2022-03-01,
FAW,5,2022-04-01,
FAW,8,2022-05-01,
FAW,14,2022-06-01,
FAW,13,2022-07-01,
FAW,13,2022-08-01,
FAW,19,2022-09-01,
FAW,15,2022-10-01,
FAW,9,2022-11-01,
FAW,12,2022-12-01,
HINO,2151,2022-01-01,2201
HINO,1742,2022-02-01,1800
HINO,2469,2022-03-01,2224
HINO,1327,2022-04-01,2461
HINO,2348,2022-05-01,2127
HINO,2548,2022-06-01,3083
HINO,2487,2022-07-01,3039
HINO,2771,2022-08-01,3073
HINO,2685,2022-09-01,3259
HINO,2771,2022-10-01,3278
HINO,3272,2022-11-01,3354
HINO,3309,2022-12-01,2671
HONDA,7727,2022-01-01,10318
HONDA,8478,2022-02-01,12066
HONDA,9554,2022-03-01,12441
HONDA,10289,2022-04-01,9863
HONDA,7758,2022-05-01,8145
HONDA,10104,2022-06-01,9013
HONDA,10523,2022-07-01,9233
HONDA,10983,2022-08-01,10579
HONDA,12977,2022-09-01,13300
HONDA,11590,2022-10-01,10185
HONDA,12137,2022-11-01,12629
HONDA,13291,2022-12-01,13326
HONGYAN,-,2022-01-01,
HONGYAN,-,2022-02-01,
HONGYAN,-,2022-03-01,
HONGYAN,-,2022-04-01,
HONGYAN,-,2022-05-01,
HONGYAN,-,2022-06-01,
HONGYAN,-,2022-07-01,
HONGYAN,-,2022-08-01,
HONGYAN,-,2022-09-01,
HONGYAN,-,2022-10-01,
HONGYAN,-,2022-11-01,
HONGYAN,-,2022-12-01,
HYUNDAI - HIM,1,2022-01-01,
HYUNDAI - HIM,-,2022-02-01,
HYUNDAI - HIM,4,2022-03-01,
HYUNDAI - HIM,-,2022-04-01,
HYUNDAI - HIM,-,2022-05-01,
HYUNDAI - HIM,-,2022-06-01,
HYUNDAI - HIM,-,2022-07-01,
HYUNDAI - HIM,-,2022-08-01,
HYUNDAI - HIM,-,2022-09-01,
HYUNDAI - HIM,-,2022-10-01,
HYUNDAI - HIM,-,2022-11-01,
HYUNDAI - HIM,-,2022-12-01,
HYUNDAI - HMID,711,2022-01-01,
HYUNDAI - HMID,1709,2022-02-01,
HYUNDAI - HMID,1627,2022-03-01,
HYUNDAI - HMID,2202,2022-04-01,
HYUNDAI - HMID,1517,2022-05-01,
HYUNDAI - HMID,1663,2022-06-01,
HYUNDAI - HMID,2086,2022-07-01,
HYUNDAI - HMID,4102,2022-08-01,
HYUNDAI - HMID,4823,2022-09-01,
HYUNDAI - HMID,3826,2022-10-01,
HYUNDAI - HMID,2415,2022-11-01,
HYUNDAI - HMID,3512,2022-12-01,
HYUNDAI - HMMI,,2022-01-01,1900
HYUNDAI - HMMI,,2022-02-01,4403
HYUNDAI - HMMI,,2022-03-01,4700
HYUNDAI - HMMI,,2022-04-01,4400
HYUNDAI - HMMI,,2022-05-01,4479
HYUNDAI - HMMI,,2022-06-01,6036
HYUNDAI - HMMI,,2022-07-01,6015
HYUNDAI - HMMI,,2022-08-01,12010
HYUNDAI - HMMI,,2022-09-01,12230
HYUNDAI - HMMI,,2022-10-01,10063
HYUNDAI - HMMI,,2022-11-01,9840
HYUNDAI - HMMI,,2022-12-01,6340
HYUNDAI HIM,,2022-01-01,-
HYUNDAI HIM,,2022-02-01,-
HYUNDAI HIM,,2022-03-01,83
HYUNDAI HIM,,2022-04-01,126
HYUNDAI HIM,,2022-05-01,83
HYUNDAI HIM,,2022-06-01,108
HYUNDAI HIM,,2022-07-01,80
HYUNDAI HIM,,2022-08-01,20
HYUNDAI HIM,,2022-09-01,20
HYUNDAI HIM,,2022-10-01,68
HYUNDAI HIM,,2022-11-01,11
HYUNDAI HIM,,2022-12-01,117
INFINITI,-,2022-01-01,
INFINITI,-,2022-02-01,
INFINITI,-,2022-03-01,
INFINITI,-,2022-04-01,
INFINITI,-,2022-05-01,
INFINITI,-,2022-06-01,
INFINITI,-,2022-07-01,
INFINITI,-,2022-08-01,
INFINITI,-,2022-09-01,
INFINITI,-,2022-10-01,
INFINITI,-,2022-11-01,
INFINITI,-,2022-12-01,
ISUZU,2287,2022-01-01,4350
ISUZU,2072,2022-02-01,4200
ISUZU,2767,2022-03-01,4004
ISUZU,2343,2022-04-01,2582
ISUZU,2369,2022-05-01,2161
ISUZU,3117,2022-06-01,3600
ISUZU,2854,2022-07-01,3749
ISUZU,2912,2022-08-01,4009
ISUZU,3227,2022-09-01,4158
ISUZU,3186,2022-10-01,4002
ISUZU,2929,2022-11-01,4062
ISUZU,3652,2022-12-01,3817
K I A,137,2022-01-01,
K I A,82,2022-02-01,
K I A,163,2022-03-01,
K I A,163,2022-04-01,
K I A,132,2022-05-01,
K I A,93,2022-06-01,
K I A,111,2022-07-01,
K I A,188,2022-08-01,
K I A,167,2022-09-01,
K I A,180,2022-10-01,
K I A,122,2022-11-01,
K I A,152,2022-12-01,
LEXUS,2,2022-01-01,
LEXUS,57,2022-02-01,
LEXUS,180,2022-03-01,
LEXUS,108,2022-04-01,
LEXUS,106,2022-05-01,
LEXUS,92,2022-06-01,
LEXUS,103,2022-07-01,
LEXUS,70,2022-08-01,
LEXUS,81,2022-09-01,
LEXUS,80,2022-10-01,
LEXUS,37,2022-11-01,
LEXUS,84,2022-12-01,
MAZDA,214,2022-01-01,
MAZDA,85,2022-02-01,
MAZDA,78,2022-03-01,
MAZDA,449,2022-04-01,
MAZDA,350,2022-05-01,
MAZDA,345,2022-06-01,
MAZDA,286,2022-07-01,
MAZDA,346,2022-08-01,
MAZDA,342,2022-09-01,
MAZDA,418,2022-10-01,
MAZDA,397,2022-11-01,
MAZDA,391,2022-12-01,
MERCEDES-BENZ CV,126,2022-01-01,128
MERCEDES-BENZ CV,168,2022-02-01,101
MERCEDES-BENZ CV,241,2022-03-01,93
MERCEDES-BENZ CV,290,2022-04-01,68
MERCEDES-BENZ CV,203,2022-05-01,69
MERCEDES-BENZ CV,186,2022-06-01,39
MERCEDES-BENZ CV,245,2022-07-01,42
MERCEDES-BENZ CV,219,2022-08-01,75
MERCEDES-BENZ CV,247,2022-09-01,99
MERCEDES-BENZ CV,240,2022-10-01,186
MERCEDES-BENZ CV,175,2022-11-01,168
MERCEDES-BENZ CV,378,2022-12-01,119
MERCEDES-BENZ PC,118,2022-01-01,145
MERCEDES-BENZ PC,137,2022-02-01,138
MERCEDES-BENZ PC,275,2022-03-01,180
MERCEDES-BENZ PC,200,2022-04-01,180
MERCEDES-BENZ PC,204,2022-05-01,140
MERCEDES-BENZ PC,255,2022-06-01,294
MERCEDES-BENZ PC,314,2022-07-01,301
MERCEDES-BENZ PC,371,2022-08-01,300
MERCEDES-BENZ PC,361,2022-09-01,296
MERCEDES-BENZ PC,287,2022-10-01,213
MERCEDES-BENZ PC,293,2022-11-01,273
MERCEDES-BENZ PC,369,2022-12-01,284
MINI,41,2022-01-01,44
MINI,45,2022-02-01,40
MINI,50,2022-03-01,24
MINI,68,2022-04-01,28
MINI,61,2022-05-01,20
MINI,69,2022-06-01,28
MINI,63,2022-07-01,22
MINI,67,2022-08-01,41
MINI,87,2022-09-01,6
MINI,50,2022-10-01,48
MINI,75,2022-11-01,24
MINI,43,2022-12-01,23
MITSUBISHI FUSO,2841,2022-01-01,4520
MITSUBISHI FUSO,2711,2022-02-01,2935
MITSUBISHI FUSO,3092,2022-03-01,4289
MITSUBISHI FUSO,3189,2022-04-01,942
MITSUBISHI FUSO,2408,2022-05-01,2014
MITSUBISHI FUSO,3190,2022-06-01,2494
MITSUBISHI FUSO,3125,2022-07-01,3180
MITSUBISHI FUSO,3426,2022-08-01,4056
MITSUBISHI FUSO,3325,2022-09-01,3876
MITSUBISHI FUSO,3441,2022-10-01,3372
MITSUBISHI FUSO,3671,2022-11-01,3312
MITSUBISHI FUSO,3978,2022-12-01,3324
MITSUBISHI MOTORS,10676,2022-01-01,14006
MITSUBISHI MOTORS,9974,2022-02-01,13801
MITSUBISHI MOTORS,10592,2022-03-01,14652
MITSUBISHI MOTORS,10003,2022-04-01,4610
MITSUBISHI MOTORS,6707,2022-05-01,6960
MITSUBISHI MOTORS,7735,2022-06-01,12342
MITSUBISHI MOTORS,6030,2022-07-01,15908
MITSUBISHI MOTORS,7669,2022-08-01,16422
MITSUBISHI MOTORS,7011,2022-09-01,14967
MITSUBISHI MOTORS,6109,2022-10-01,12383
MITSUBISHI MOTORS,7361,2022-11-01,15484
MITSUBISHI MOTORS,8069,2022-12-01,11567
MORRIS GARAGE,223,2022-01-01,
MORRIS GARAGE,76,2022-02-01,
MORRIS GARAGE,31,2022-03-01,
MORRIS GARAGE,23,2022-04-01,
MORRIS GARAGE,21,2022-05-01,
MORRIS GARAGE,51,2022-06-01,
MORRIS GARAGE,101,2022-07-01,
MORRIS GARAGE,125,2022-08-01,
MORRIS GARAGE,100,2022-09-01,
MORRIS GARAGE,39,2022-10-01,
MORRIS GARAGE,66,2022-11-01,
MORRIS GARAGE,103,2022-12-01,
NISSAN,335,2022-01-01,
NISSAN,369,2022-02-01,
NISSAN,439,2022-03-01,
NISSAN,435,2022-04-01,
