BRAND,Retail,tanggal,Production
AUDI,9,2011-01-01,
AUDI,33,2011-02-01,
AUDI,32,2011-03-01,
AUDI,24,2011-04-01,
AUDI,25,2011-05-01,
AUDI,16,2011-06-01,
AUDI,37,2011-07-01,
AUDI,35,2011-08-01,
AUDI,26,2011-09-01,
AUDI,24,2011-10-01,
AUDI,45,2011-11-01,
AUDI,28,2011-12-01,
B M W,91,2011-01-01,89
B M W,100,2011-02-01,96
B M W,130,2011-03-01,54
B M W,140,2011-04-01,34
B M W,135,2011-05-01,-
B M W,121,2011-06-01,37
B M W,110,2011-07-01,74
B M W,150,2011-08-01,75
B M W,140,2011-09-01,56
B M W,132,2011-10-01,117
B M W,150,2011-11-01,109
B M W,152,2011-12-01,103
CHERY,34,2011-01-01,35
CHERY,33,2011-02-01,41
CHERY,40,2011-03-01,36
CHERY,35,2011-04-01,24
CHERY,33,2011-05-01,19
CHERY,24,2011-06-01,5
CHERY,22,2011-07-01,3
CHERY,8,2011-08-01,-
CHERY,2,2011-09-01,2
CHERY,-,2011-10-01,-
CHERY,-,2011-11-01,-
CHERY,-,2011-12-01,-
CHEVROLET,356,2011-01-01,
CHEVROLET,476,2011-02-01,
CHEVROLET,347,2011-03-01,
CHEVROLET,274,2011-04-01,
CHEVROLET,505,2011-05-01,
CHEVROLET,305,2011-06-01,
CHEVROLET,438,2011-07-01,
CHEVROLET,369,2011-08-01,
CHEVROLET,371,2011-09-01,
CHEVROLET,319,2011-10-01,
CHEVROLET,308,2011-11-01,
CHEVROLET,476,2011-12-01,
CHRYSLER,3,2011-01-01,
CHRYSLER,4,2011-02-01,
CHRYSLER,7,2011-03-01,
CHRYSLER,7,2011-04-01,
CHRYSLER,-,2011-05-01,
CHRYSLER,-,2011-06-01,
CHRYSLER,-,2011-07-01,
CHRYSLER,-,2011-08-01,
CHRYSLER,-,2011-09-01,
CHRYSLER,-,2011-10-01,
CHRYSLER,-,2011-11-01,
CHRYSLER,-,2011-12-01,
DAIHATSU,11008,2011-01-01,12590
DAIHATSU,10018,2011-02-01,9959
DAIHATSU,11168,2011-03-01,10086
DAIHATSU,10857,2011-04-01,8160
DAIHATSU,10803,2011-05-01,10433
DAIHATSU,11097,2011-06-01,11020
DAIHATSU,13138,2011-07-01,13661
DAIHATSU,11569,2011-08-01,10711
DAIHATSU,11268,2011-09-01,12485
DAIHATSU,13289,2011-10-01,12425
DAIHATSU,11638,2011-11-01,10039
DAIHATSU,11313,2011-12-01,15134
DODGE,-,2011-01-01,
DODGE,7,2011-02-01,
DODGE,-,2011-03-01,
DODGE,7,2011-04-01,
DODGE,-,2011-05-01,
DODGE,-,2011-06-01,
DODGE,2,2011-07-01,
DODGE,-,2011-08-01,
DODGE,41,2011-09-01,
DODGE,-,2011-10-01,
DODGE,41,2011-11-01,
DODGE,9,2011-12-01,
FORD,882,2011-01-01,
FORD,922,2011-02-01,
FORD,1333,2011-03-01,
FORD,1415,2011-04-01,
FORD,1536,2011-05-01,
FORD,1554,2011-06-01,
FORD,1717,2011-07-01,
FORD,1502,2011-08-01,
FORD,1471,2011-09-01,
FORD,1487,2011-10-01,
FORD,1169,2011-11-01,
FORD,1000,2011-12-01,
FOTON,8,2011-01-01,
FOTON,12,2011-02-01,
FOTON,18,2011-03-01,
FOTON,3,2011-04-01,
FOTON,-,2011-05-01,
FOTON,29,2011-06-01,
FOTON,21,2011-07-01,
FOTON,7,2011-08-01,
FOTON,7,2011-09-01,
FOTON,20,2011-10-01,
FOTON,15,2011-11-01,
FOTON,36,2011-12-01,
GEELY,98,2011-01-01,44
GEELY,71,2011-02-01,40
GEELY,65,2011-03-01,69
GEELY,78,2011-04-01,65
GEELY,73,2011-05-01,26
GEELY,54,2011-06-01,60
GEELY,117,2011-07-01,60
GEELY,103,2011-08-01,-
GEELY,112,2011-09-01,-
GEELY,87,2011-10-01,-
GEELY,81,2011-11-01,-
GEELY,83,2011-12-01,-
HINO,2292,2011-01-01,1488
HINO,1848,2011-02-01,1552
HINO,2389,2011-03-01,1835
HINO,1722,2011-04-01,1687
HINO,1080,2011-05-01,980
HINO,1135,2011-06-01,1265
HINO,2595,2011-07-01,2715
HINO,2390,2011-08-01,2566
HINO,2565,2011-09-01,2704
HINO,2391,2011-10-01,2295
HINO,2083,2011-11-01,2056
HINO,2968,2011-12-01,3018
HONDA,4027,2011-01-01,4843
HONDA,4044,2011-02-01,3771
HONDA,4505,2011-03-01,3773
HONDA,3519,2011-04-01,1960
HONDA,3914,2011-05-01,2185
HONDA,3938,2011-06-01,2237
HONDA,4705,2011-07-01,4995
HONDA,4854,2011-08-01,4375
HONDA,4376,2011-09-01,4457
HONDA,4133,2011-10-01,3611
HONDA,3587,2011-11-01,2716
HONDA,3772,2011-12-01,1921
HYUNDAI,262,2011-01-01,
HYUNDAI,282,2011-02-01,
HYUNDAI,344,2011-03-01,
HYUNDAI,329,2011-04-01,
HYUNDAI,410,2011-05-01,
HYUNDAI,349,2011-06-01,
HYUNDAI,333,2011-07-01,
HYUNDAI,451,2011-08-01,
HYUNDAI,432,2011-09-01,
HYUNDAI,476,2011-10-01,
HYUNDAI,491,2011-11-01,
HYUNDAI,451,2011-12-01,
HYUNDAI (PC),,2011-01-01,241
HYUNDAI (PC),,2011-02-01,457
HYUNDAI (PC),,2011-03-01,485
HYUNDAI (PC),,2011-04-01,373
HYUNDAI (PC),,2011-05-01,403
HYUNDAI (PC),,2011-06-01,347
HYUNDAI (PC),,2011-07-01,426
HYUNDAI (PC),,2011-08-01,499
HYUNDAI (PC),,2011-09-01,620
HYUNDAI (PC),,2011-10-01,574
HYUNDAI (PC),,2011-11-01,394
HYUNDAI (PC),,2011-12-01,547
HYUNDAI TRUCK,72,2011-01-01,
HYUNDAI TRUCK,172,2011-02-01,
HYUNDAI TRUCK,117,2011-03-01,
HYUNDAI TRUCK,61,2011-04-01,
HYUNDAI TRUCK,20,2011-05-01,
HYUNDAI TRUCK,26,2011-06-01,
HYUNDAI TRUCK,59,2011-07-01,
HYUNDAI TRUCK,55,2011-08-01,
HYUNDAI TRUCK,30,2011-09-01,
HYUNDAI TRUCK,37,2011-10-01,
HYUNDAI TRUCK,70,2011-11-01,
HYUNDAI TRUCK,66,2011-12-01,
INFINITI,-,2011-01-01,
INFINITI,-,2011-02-01,
INFINITI,6,2011-03-01,
INFINITI,8,2011-04-01,
INFINITI,10,2011-05-01,
INFINITI,3,2011-06-01,
INFINITI,3,2011-07-01,
INFINITI,5,2011-08-01,
INFINITI,7,2011-09-01,
INFINITI,6,2011-10-01,
INFINITI,3,2011-11-01,
INFINITI,2,2011-12-01,
ISUZU,1937,2011-01-01,2034
ISUZU,1951,2011-02-01,2190
ISUZU,2743,2011-03-01,2581
ISUZU,2268,2011-04-01,1530
ISUZU,2068,2011-05-01,1443
ISUZU,2293,2011-06-01,2327
ISUZU,2620,2011-07-01,3014
ISUZU,2278,2011-08-01,2652
ISUZU,2459,2011-09-01,2752
ISUZU,2693,2011-10-01,2597
ISUZU,2762,2011-11-01,2669
ISUZU,2673,2011-12-01,2258
JAGUAR,2,2011-01-01,
JAGUAR,5,2011-02-01,
JAGUAR,5,2011-03-01,
JAGUAR,5,2011-04-01,
JAGUAR,4,2011-05-01,
JAGUAR,8,2011-06-01,
JAGUAR,6,2011-07-01,
JAGUAR,3,2011-08-01,
JAGUAR,3,2011-09-01,
JAGUAR,3,2011-10-01,
JAGUAR,2,2011-11-01,
JAGUAR,5,2011-12-01,
JEEP,27,2011-01-01,
JEEP,5,2011-02-01,
JEEP,5,2011-03-01,
JEEP,51,2011-04-01,
JEEP,58,2011-05-01,
JEEP,62,2011-06-01,
JEEP,88,2011-07-01,
JEEP,142,2011-08-01,
JEEP,39,2011-09-01,
JEEP,172,2011-10-01,
JEEP,39,2011-11-01,
JEEP,66,2011-12-01,
K I A,164,2011-01-01,
K I A,302,2011-02-01,
K I A,554,2011-03-01,
K I A,438,2011-04-01,
K I A,523,2011-05-01,
K I A,388,2011-06-01,
K I A,434,2011-07-01,
K I A,657,2011-08-01,
K I A,860,2011-09-01,
K I A,757,2011-10-01,
K I A,701,2011-11-01,
K I A,1333,2011-12-01,
LAND ROVER,7,2011-01-01,
LAND ROVER,4,2011-02-01,
LAND ROVER,5,2011-03-01,
LAND ROVER,5,2011-04-01,
LAND ROVER,4,2011-05-01,
LAND ROVER,4,2011-06-01,
LAND ROVER,4,2011-07-01,
LAND ROVER,4,2011-08-01,
LAND ROVER,4,2011-09-01,
LAND ROVER,4,2011-10-01,
LAND ROVER,4,2011-11-01,
LAND ROVER,4,2011-12-01,
LEXUS,1,2011-01-01,
LEXUS,31,2011-02-01,
LEXUS,36,2011-03-01,
LEXUS,18,2011-04-01,
LEXUS,10,2011-05-01,
LEXUS,16,2011-06-01,
LEXUS,39,2011-07-01,
LEXUS,60,2011-08-01,
LEXUS,73,2011-09-01,
LEXUS,82,2011-10-01,
LEXUS,70,2011-11-01,
LEXUS,26,2011-12-01,
MAN TRUCK,26,2011-01-01,
MAN TRUCK,23,2011-02-01,
MAN TRUCK,27,2011-03-01,
MAN TRUCK,7,2011-04-01,
MAN TRUCK,84,2011-05-01,
MAN TRUCK,18,2011-06-01,
MAN TRUCK,15,2011-07-01,
MAN TRUCK,24,2011-08-01,
MAN TRUCK,38,2011-09-01,
MAN TRUCK,40,2011-10-01,
MAN TRUCK,50,2011-11-01,
MAN TRUCK,26,2011-12-01,
