waktu,brand,tipe,sale
2023-01,HONDA,All  New City,13
2023-02,HONDA,All  New City,49
2023-03,HONDA,All  New City,42
2023-04,HONDA,All  New City,51
2023-05,HONDA,All  New City,25
2023-06,HONDA,All  New City,-
2023-07,HONDA,All  New City,-
2023-08,HONDA,All  New City,-
2023-09,HONDA,All  New City,-
2023-010,HONDA,All  New City,82
2023-011,HONDA,All  New City,34
2023-012,HONDA,All  New City,4
2023-01,HONDA,All  New Civic,17
2023-02,HONDA,All  New Civic,172
2023-03,HONDA,All  New Civic,104
2023-04,HONDA,All  New Civic,62
2023-05,HONDA,All  New Civic,117
2023-06,HONDA,All  New Civic,92
2023-07,HONDA,All  New Civic,94
2023-08,HONDA,All  New Civic,98
2023-09,HONDA,All  New Civic,75
2023-010,HONDA,All  New Civic,87
2023-011,HONDA,All  New Civic,172
2023-012,HONDA,All  New Civic,109
2023-01,BMW,CBU i4 eDrive35 Gran Coupe AT,-
2023-02,BMW,CBU i4 eDrive35 Gran Coupe AT,-
2023-03,BMW,CBU i4 eDrive35 Gran Coupe AT,-
2023-04,BMW,CBU i4 eDrive35 Gran Coupe AT,-
2023-05,BMW,CBU i4 eDrive35 Gran Coupe AT,-
2023-06,BMW,CBU i4 eDrive35 Gran Coupe AT,-
2023-07,BMW,CBU i4 eDrive35 Gran Coupe AT,-
2023-08,BMW,CBU i4 eDrive35 Gran Coupe AT,-
2023-09,BMW,CBU i4 eDrive35 Gran Coupe AT,-
2023-010,BMW,CBU i4 eDrive35 Gran Coupe AT,-
2023-011,BMW,CBU i4 eDrive35 Gran Coupe AT,-
2023-012,BMW,CBU i4 eDrive35 Gran Coupe AT,-
2023-01,HYUNDAI HMID,Ioniq EV Prime,-
2023-02,HYUNDAI HMID,Ioniq EV Prime,-
2023-03,HYUNDAI HMID,Ioniq EV Prime,-
2023-04,HYUNDAI HMID,Ioniq EV Prime,-
2023-05,HYUNDAI HMID,Ioniq EV Prime,-
2023-06,HYUNDAI HMID,Ioniq EV Prime,-
2023-07,HYUNDAI HMID,Ioniq EV Prime,-
2023-08,HYUNDAI HMID,Ioniq EV Prime,-
2023-09,HYUNDAI HMID,Ioniq EV Prime,-
2023-010,HYUNDAI HMID,Ioniq EV Prime,4
2023-011,HYUNDAI HMID,Ioniq EV Prime,3
2023-012,HYUNDAI HMID,Ioniq EV Prime,-
2023-01,HYUNDAI HMID,Ioniq EV Signature,-
2023-02,HYUNDAI HMID,Ioniq EV Signature,-
2023-03,HYUNDAI HMID,Ioniq EV Signature,-
2023-04,HYUNDAI HMID,Ioniq EV Signature,-
2023-05,HYUNDAI HMID,Ioniq EV Signature,-
2023-06,HYUNDAI HMID,Ioniq EV Signature,-
2023-07,HYUNDAI HMID,Ioniq EV Signature,-
2023-08,HYUNDAI HMID,Ioniq EV Signature,-
2023-09,HYUNDAI HMID,Ioniq EV Signature,-
2023-010,HYUNDAI HMID,Ioniq EV Signature,3
2023-011,HYUNDAI HMID,Ioniq EV Signature,-
2023-012,HYUNDAI HMID,Ioniq EV Signature,-
2023-01,HYUNDAI HMID,Ioniq 6,-
2023-02,HYUNDAI HMID,Ioniq 6,-
2023-03,HYUNDAI HMID,Ioniq 6,-
2023-04,HYUNDAI HMID,Ioniq 6,-
2023-05,HYUNDAI HMID,Ioniq 6,-
2023-06,HYUNDAI HMID,Ioniq 6,-
2023-07,HYUNDAI HMID,Ioniq 6,93
2023-08,HYUNDAI HMID,Ioniq 6,61
2023-09,HYUNDAI HMID,Ioniq 6,10
2023-010,HYUNDAI HMID,Ioniq 6,74
2023-011,HYUNDAI HMID,Ioniq 6,22
