waktu,brand,tipe,sale
2011-01,CHEVROLET,Kalos LS,46
2011-02,CHEVROLET,Kalos LS,242
2011-03,CHEVROLET,Kalos LS,60
2011-04,CHEVROLET,Kalos LS,26
2011-05,CHEVROLET,Kalos LS,197
2011-06,CHEVROLET,Kalos LS,194
2011-07,CHEVROLET,Kalos LS,1
2011-08,CHEVROLET,Kalos LS,7
2011-09,CHEVROLET,Kalos LS,127
2011-010,CHEVROLET,Kalos LS,54
2011-011,CHEVROLET,Kalos LS,208
2011-012,CHEVROLET,Kalos LS,241
2011-01,CHEVROLET,Kalos LT,-
2011-02,CHEVROLET,Kalos LT,-
2011-03,CHEVROLET,Kalos LT,-
2011-04,CHEVROLET,Kalos LT,-
2011-05,CHEVROLET,Kalos LT,-
2011-06,CHEVROLET,Kalos LT,-
2011-07,CHEVROLET,Kalos LT,-
2011-08,CHEVROLET,Kalos LT,-
2011-09,CHEVROLET,Kalos LT,-
2011-010,CHEVROLET,Kalos LT,-
2011-011,CHEVROLET,Kalos LT,-
2011-012,CHEVROLET,Kalos LT,-
2011-01,CHEVROLET,Kalos LT AT,-
2011-02,CHEVROLET,Kalos LT AT,-
2011-03,CHEVROLET,Kalos LT AT,-
2011-04,CHEVROLET,Kalos LT AT,-
2011-05,CHEVROLET,Kalos LT AT,-
2011-06,CHEVROLET,Kalos LT AT,-
2011-07,CHEVROLET,Kalos LT AT,-
2011-08,CHEVROLET,Kalos LT AT,-
2011-09,CHEVROLET,Kalos LT AT,-
2011-010,CHEVROLET,Kalos LT AT,-
2011-011,CHEVROLET,Kalos LT AT,-
2011-012,CHEVROLET,Kalos LT AT,-
2011-01,GEELY,MK GS,-
2011-02,GEELY,MK GS,14
2011-03,GEELY,MK GS,6
2011-04,GEELY,MK GS,25
2011-05,GEELY,MK GS,15
2011-06,GEELY,MK GS,12
2011-07,GEELY,MK GS,32
2011-08,GEELY,MK GS,9
2011-09,GEELY,MK GS,51
2011-010,GEELY,MK GS,41
2011-011,GEELY,MK GS,41
2011-012,GEELY,MK GS,21
2011-01,GEELY,MK GT,-
2011-02,GEELY,MK GT,-
2011-03,GEELY,MK GT,2
2011-04,GEELY,MK GT,-
2011-05,GEELY,MK GT,11
2011-06,GEELY,MK GT,6
2011-07,GEELY,MK GT,3
