waktu,brand,tipe,sale
2024-01,HONDA,All  New City,13
2024-02,HONDA,All  New City,3
2024-03,HONDA,All  New City,14
2024-04,HONDA,All  New City,-
2024-05,HONDA,All  New City,-
2024-06,HONDA,All  New City,-
2024-07,HONDA,All  New City,-
2024-08,HONDA,All  New City,-
2024-09,HONDA,All  New City,1
2024-010,HONDA,All  New City,-
2024-011,HONDA,All  New City,-
2024-012,HONDA,All  New City,-
2024-01,HONDA,All  New Civic,59
2024-02,HONDA,All  New Civic,90
2024-03,HONDA,All  New Civic,108
2024-04,HONDA,All  New Civic,54
2024-05,HONDA,All  New Civic,55
2024-06,HONDA,All  New Civic,56
2024-07,HONDA,All  New Civic,49
2024-08,HONDA,All  New Civic,60
2024-09,HONDA,All  New Civic,51
2024-010,HONDA,All  New Civic,9
2024-011,HONDA,All  New Civic,-
2024-012,HONDA,All  New Civic,38
2024-01,BMW,i7 xDrive60 Limousine RHD AT,5
2024-02,BMW,i7 xDrive60 Limousine RHD AT,3
2024-03,BMW,i7 xDrive60 Limousine RHD AT,24
2024-04,BMW,i7 xDrive60 Limousine RHD AT,17
2024-05,BMW,i7 xDrive60 Limousine RHD AT,24
2024-06,BMW,i7 xDrive60 Limousine RHD AT,11
2024-07,BMW,i7 xDrive60 Limousine RHD AT,7
2024-08,BMW,i7 xDrive60 Limousine RHD AT,4
2024-09,BMW,i7 xDrive60 Limousine RHD AT,3
2024-010,BMW,i7 xDrive60 Limousine RHD AT,3
2024-011,BMW,i7 xDrive60 Limousine RHD AT,16
2024-012,BMW,i7 xDrive60 Limousine RHD AT,10
2024-01,BMW,CBU i4 eDrive35 Gran Coupe AT,-
2024-02,BMW,CBU i4 eDrive35 Gran Coupe AT,-
2024-03,BMW,CBU i4 eDrive35 Gran Coupe AT,4
2024-04,BMW,CBU i4 eDrive35 Gran Coupe AT,1
2024-05,BMW,CBU i4 eDrive35 Gran Coupe AT,3
2024-06,BMW,CBU i4 eDrive35 Gran Coupe AT,-
2024-07,BMW,CBU i4 eDrive35 Gran Coupe AT,1
2024-08,BMW,CBU i4 eDrive35 Gran Coupe AT,-
2024-09,BMW,CBU i4 eDrive35 Gran Coupe AT,4
2024-010,BMW,CBU i4 eDrive35 Gran Coupe AT,6
2024-011,BMW,CBU i4 eDrive35 Gran Coupe AT,-
2024-012,BMW,CBU i4 eDrive35 Gran Coupe AT,-
2024-01,BYD,Seal  Premium  Extended Range,-
2024-02,BYD,Seal  Premium  Extended Range,-
2024-03,BYD,Seal  Premium  Extended Range,-
2024-04,BYD,Seal  Premium  Extended Range,-
2024-05,BYD,Seal  Premium  Extended Range,-
2024-06,BYD,Seal  Premium  Extended Range,233
2024-07,BYD,Seal  Premium  Extended Range,745
2024-08,BYD,Seal  Premium  Extended Range,847
2024-09,BYD,Seal  Premium  Extended Range,339
2024-010,BYD,Seal  Premium  Extended Range,297
2024-011,BYD,Seal  Premium  Extended Range,555
2024-012,BYD,Seal  Premium  Extended Range,109
2024-01,BYD,Seal  Performance,-
2024-02,BYD,Seal  Performance,-
2024-03,BYD,Seal  Performance,-
2024-04,BYD,Seal  Performance,-
2024-05,BYD,Seal  Performance,-
2024-06,BYD,Seal  Performance,466
2024-07,BYD,Seal  Performance,545
2024-08,BYD,Seal  Performance,404
2024-09,BYD,Seal  Performance,152
2024-010,BYD,Seal  Performance,36
2024-011,BYD,Seal  Performance,82
2024-012,BYD,Seal  Performance,18
2024-01,HYUNDAI HMID,Genesis G80,1
2024-02,HYUNDAI HMID,Genesis G80,-
2024-03,HYUNDAI HMID,Genesis G80,-
2024-04,HYUNDAI HMID,Genesis G80,1
2024-05,HYUNDAI HMID,Genesis G80,-
2024-06,HYUNDAI HMID,Genesis G80,-
2024-07,HYUNDAI HMID,Genesis G80,-
2024-08,HYUNDAI HMID,Genesis G80,-
2024-09,HYUNDAI HMID,Genesis G80,-
2024-010,HYUNDAI HMID,Genesis G80,-
2024-011,HYUNDAI HMID,Genesis G80,-
2024-012,HYUNDAI HMID,Genesis G80,1
2024-01,MERCEDES BENZ PC,CLA 200 AMG Line (C118),8
2024-02,MERCEDES BENZ PC,CLA 200 AMG Line (C118),1
2024-03,MERCEDES BENZ PC,CLA 200 AMG Line (C118),-
2024-04,MERCEDES BENZ PC,CLA 200 AMG Line (C118),-
2024-05,MERCEDES BENZ PC,CLA 200 AMG Line (C118),5
2024-06,MERCEDES BENZ PC,CLA 200 AMG Line (C118),10
2024-07,MERCEDES BENZ PC,CLA 200 AMG Line (C118),10
2024-08,MERCEDES BENZ PC,CLA 200 AMG Line (C118),1
2024-09,MERCEDES BENZ PC,CLA 200 AMG Line (C118),4
2024-010,MERCEDES BENZ PC,CLA 200 AMG Line (C118),9
2024-011,MERCEDES BENZ PC,CLA 200 AMG Line (C118),1
2024-012,MERCEDES BENZ PC,CLA 200 AMG Line (C118),4
2024-01,MERCEDES BENZ PC,AMG CLA 45 S (C118),-
2024-02,MERCEDES BENZ PC,AMG CLA 45 S (C118),-
2024-03,MERCEDES BENZ PC,AMG CLA 45 S (C118),-
2024-04,MERCEDES BENZ PC,AMG CLA 45 S (C118),-
2024-05,MERCEDES BENZ PC,AMG CLA 45 S (C118),-
2024-06,MERCEDES BENZ PC,AMG CLA 45 S (C118),-
2024-07,MERCEDES BENZ PC,AMG CLA 45 S (C118),-
2024-08,MERCEDES BENZ PC,AMG CLA 45 S (C118),-
2024-09,MERCEDES BENZ PC,AMG CLA 45 S (C118),1
2024-010,MERCEDES BENZ PC,AMG CLA 45 S (C118),1
2024-011,MERCEDES BENZ PC,AMG CLA 45 S (C118),-
2024-012,MERCEDES BENZ PC,AMG CLA 45 S (C118),-
2024-01,MERCEDES BENZ PC,C 200 AVA Line (W206),2
2024-02,MERCEDES BENZ PC,C 200 AVA Line (W206),10
2024-03,MERCEDES BENZ PC,C 200 AVA Line (W206),12
2024-04,MERCEDES BENZ PC,C 200 AVA Line (W206),9
2024-05,MERCEDES BENZ PC,C 200 AVA Line (W206),14
2024-06,MERCEDES BENZ PC,C 200 AVA Line (W206),4
2024-07,MERCEDES BENZ PC,C 200 AVA Line (W206),7
2024-08,MERCEDES BENZ PC,C 200 AVA Line (W206),34
2024-09,MERCEDES BENZ PC,C 200 AVA Line (W206),7
2024-010,MERCEDES BENZ PC,C 200 AVA Line (W206),5
2024-011,MERCEDES BENZ PC,C 200 AVA Line (W206),6
2024-012,MERCEDES BENZ PC,C 200 AVA Line (W206),7
2024-01,MORRIS GARAGE,5 GT  Activate 1.5L,3
2024-02,MORRIS GARAGE,5 GT  Activate 1.5L,-
2024-03,MORRIS GARAGE,5 GT  Activate 1.5L,-
2024-04,MORRIS GARAGE,5 GT  Activate 1.5L,-
2024-05,MORRIS GARAGE,5 GT  Activate 1.5L,-
