BRAND,Retail,tanggal,Production
AUDI,26,2014-01-01,18
AUDI,16,2014-02-01,10
AUDI,25,2014-03-01,12
AUDI,30,2014-04-01,23
AUDI,25,2014-05-01,20
AUDI,25,2014-06-01,15
AUDI,25,2014-07-01,24
AUDI,30,2014-08-01,24
AUDI,33,2014-09-01,24
AUDI,44,2014-10-01,29
AUDI,41,2014-11-01,32
AUDI,26,2014-12-01,14
B M W,203,2014-01-01,148
B M W,188,2014-02-01,144
B M W,272,2014-03-01,145
B M W,230,2014-04-01,144
B M W,253,2014-05-01,121
B M W,249,2014-06-01,188
B M W,150,2014-07-01,145
B M W,148,2014-08-01,61
B M W,188,2014-09-01,236
B M W,200,2014-10-01,251
B M W,211,2014-11-01,260
B M W,255,2014-12-01,202
BENTLY,-,2014-01-01,
BENTLY,-,2014-02-01,
BENTLY,-,2014-03-01,
BENTLY,-,2014-04-01,
BENTLY,-,2014-05-01,
BENTLY,-,2014-06-01,
BENTLY,-,2014-07-01,
BENTLY,-,2014-08-01,
BENTLY,-,2014-09-01,
BENTLY,-,2014-10-01,
BENTLY,-,2014-11-01,
BENTLY,-,2014-12-01,
CHERY,-,2014-01-01,-
CHERY,-,2014-02-01,-
CHERY,-,2014-03-01,-
CHERY,-,2014-04-01,-
CHERY,-,2014-05-01,-
CHERY,-,2014-06-01,-
CHERY,-,2014-07-01,-
CHERY,-,2014-08-01,-
CHERY,-,2014-09-01,-
CHERY,-,2014-10-01,-
CHERY,-,2014-11-01,-
CHERY,-,2014-12-01,-
CHEVROLET,1439,2014-01-01,1584
CHEVROLET,1184,2014-02-01,1213
CHEVROLET,1044,2014-03-01,1255
CHEVROLET,687,2014-04-01,1480
CHEVROLET,776,2014-05-01,766
CHEVROLET,729,2014-06-01,508
CHEVROLET,720,2014-07-01,327
CHEVROLET,666,2014-08-01,340
CHEVROLET,780,2014-09-01,382
CHEVROLET,897,2014-10-01,365
CHEVROLET,818,2014-11-01,207
CHEVROLET,966,2014-12-01,120
CHRYSLER,-,2014-01-01,
CHRYSLER,16,2014-02-01,
CHRYSLER,-,2014-03-01,
CHRYSLER,6,2014-04-01,
CHRYSLER,1,2014-05-01,
CHRYSLER,-,2014-06-01,
CHRYSLER,-,2014-07-01,
CHRYSLER,-,2014-08-01,
CHRYSLER,-,2014-09-01,
CHRYSLER,-,2014-10-01,
CHRYSLER,-,2014-11-01,
CHRYSLER,1,2014-12-01,
DAIHATSU,16838,2014-01-01,15787
DAIHATSU,15461,2014-02-01,18232
DAIHATSU,15024,2014-03-01,15726
DAIHATSU,14592,2014-04-01,15317
DAIHATSU,14766,2014-05-01,12093
DAIHATSU,16001,2014-06-01,15725
DAIHATSU,15386,2014-07-01,15891
DAIHATSU,14594,2014-08-01,14602
DAIHATSU,15050,2014-09-01,15625
