waktu,brand,tipe,sale
2016-01,DAIHATSU,Copen,-
2016-02,DAIHATSU,Copen,2
2016-03,DAIHATSU,Copen,-
2016-04,DAIHATSU,Copen,-
2016-05,DAIHATSU,Copen,-
2016-06,DAIHATSU,Copen,-
2016-07,DAIHATSU,Copen,-
2016-08,DAIHATSU,Copen,-
2016-09,DAIHATSU,Copen,-
2016-010,DAIHATSU,Copen,-
2016-011,DAIHATSU,Copen,-
2016-012,DAIHATSU,Copen,-
2016-01,HONDA,All New City  IVTEC  E,16
2016-02,HONDA,All New City  IVTEC  E,12
2016-03,HONDA,All New City  IVTEC  E,2
2016-04,HONDA,All New City  IVTEC  E,-
2016-05,HONDA,All New City  IVTEC  E,28
2016-06,HONDA,All New City  IVTEC  E,25
2016-07,HONDA,All New City  IVTEC  E,9
2016-08,HONDA,All New City  IVTEC  E,27
2016-09,HONDA,All New City  IVTEC  E,-
2016-010,HONDA,All New City  IVTEC  E,9
2016-011,HONDA,All New City  IVTEC  E,17
2016-012,HONDA,All New City  IVTEC  E,5
2016-01,HONDA,All New City  IVTEC  E AT,28
2016-02,HONDA,All New City  IVTEC  E AT,73
2016-03,HONDA,All New City  IVTEC  E AT,102
2016-04,HONDA,All New City  IVTEC  E AT,7
2016-05,HONDA,All New City  IVTEC  E AT,97
2016-06,HONDA,All New City  IVTEC  E AT,53
2016-07,HONDA,All New City  IVTEC  E AT,106
2016-08,HONDA,All New City  IVTEC  E AT,110
2016-09,HONDA,All New City  IVTEC  E AT,127
2016-010,HONDA,All New City  IVTEC  E AT,54
2016-011,HONDA,All New City  IVTEC  E AT,42
2016-012,HONDA,All New City  IVTEC  E AT,41
2016-01,HONDA,All New City  IVTEC  ES AT,2
2016-02,HONDA,All New City  IVTEC  ES AT,28
2016-03,HONDA,All New City  IVTEC  ES AT,28
2016-04,HONDA,All New City  IVTEC  ES AT,-
2016-05,HONDA,All New City  IVTEC  ES AT,26
2016-06,HONDA,All New City  IVTEC  ES AT,24
2016-07,HONDA,All New City  IVTEC  ES AT,14
2016-08,HONDA,All New City  IVTEC  ES AT,31
2016-09,HONDA,All New City  IVTEC  ES AT,29
2016-010,HONDA,All New City  IVTEC  ES AT,20
2016-011,HONDA,All New City  IVTEC  ES AT,18
2016-012,HONDA,All New City  IVTEC  ES AT,3
2016-01,HONDA,All New Civ ic,-
2016-02,HONDA,All New Civ ic,-
2016-03,HONDA,All New Civ ic,-
2016-04,HONDA,All New Civ ic,-
2016-05,HONDA,All New Civ ic,248
2016-06,HONDA,All New Civ ic,107
2016-07,HONDA,All New Civ ic,146
2016-08,HONDA,All New Civ ic,188
2016-09,HONDA,All New Civ ic,210
2016-010,HONDA,All New Civ ic,227
2016-011,HONDA,All New Civ ic,73
2016-012,HONDA,All New Civ ic,180
2016-01,HONDA,All New Civ ic  Prestige,-
2016-02,HONDA,All New Civ ic  Prestige,-
2016-03,HONDA,All New Civ ic  Prestige,-
2016-04,HONDA,All New Civ ic  Prestige,-
2016-05,HONDA,All New Civ ic  Prestige,-
2016-06,HONDA,All New Civ ic  Prestige,1
2016-07,HONDA,All New Civ ic  Prestige,-
2016-08,HONDA,All New Civ ic  Prestige,151
2016-09,HONDA,All New Civ ic  Prestige,149
2016-010,HONDA,All New Civ ic  Prestige,-
2016-011,HONDA,All New Civ ic  Prestige,-
2016-012,HONDA,All New Civ ic  Prestige,-
2016-01,HYUNDAI,Excel III,-
2016-02,HYUNDAI,Excel III,-
2016-03,HYUNDAI,Excel III,3
2016-04,HYUNDAI,Excel III,-
2016-05,HYUNDAI,Excel III,17
2016-06,HYUNDAI,Excel III,11
2016-07,HYUNDAI,Excel III,3
2016-08,HYUNDAI,Excel III,2
2016-09,HYUNDAI,Excel III,-
2016-010,HYUNDAI,Excel III,-
2016-011,HYUNDAI,Excel III,5
2016-012,HYUNDAI,Excel III,17
2016-01,KIA,Rio Taxi,-
2016-02,KIA,Rio Taxi,-
2016-03,KIA,Rio Taxi,-
2016-04,KIA,Rio Taxi,-
2016-05,KIA,Rio Taxi,-
2016-06,KIA,Rio Taxi,-
2016-07,KIA,Rio Taxi,-
2016-08,KIA,Rio Taxi,-
2016-09,KIA,Rio Taxi,-
2016-010,KIA,Rio Taxi,-
2016-011,KIA,Rio Taxi,-
2016-012,KIA,Rio Taxi,-
2016-01,PROTON,Saga FL,32
2016-02,PROTON,Saga FL,17
2016-03,PROTON,Saga FL,19
2016-04,PROTON,Saga FL,11
2016-05,PROTON,Saga FL,2
2016-06,PROTON,Saga FL,153
2016-07,PROTON,Saga FL,-
2016-08,PROTON,Saga FL,-
2016-09,PROTON,Saga FL,-
2016-010,PROTON,Saga FL,-
2016-011,PROTON,Saga FL,-
2016-012,PROTON,Saga FL,-
2016-01,SUZUKI,Ciaz 1.4 MT,-
2016-02,SUZUKI,Ciaz 1.4 MT,-
2016-03,SUZUKI,Ciaz 1.4 MT,6
2016-04,SUZUKI,Ciaz 1.4 MT,3
2016-05,SUZUKI,Ciaz 1.4 MT,3
2016-06,SUZUKI,Ciaz 1.4 MT,-
2016-07,SUZUKI,Ciaz 1.4 MT,-
2016-08,SUZUKI,Ciaz 1.4 MT,-
2016-09,SUZUKI,Ciaz 1.4 MT,-
2016-010,SUZUKI,Ciaz 1.4 MT,1
2016-011,SUZUKI,Ciaz 1.4 MT,-
2016-012,SUZUKI,Ciaz 1.4 MT,-
2016-01,SUZUKI,Ciaz 1.4 AT,1
2016-02,SUZUKI,Ciaz 1.4 AT,-
2016-03,SUZUKI,Ciaz 1.4 AT,3
2016-04,SUZUKI,Ciaz 1.4 AT,5
2016-05,SUZUKI,Ciaz 1.4 AT,1
2016-06,SUZUKI,Ciaz 1.4 AT,4
2016-07,SUZUKI,Ciaz 1.4 AT,1
2016-08,SUZUKI,Ciaz 1.4 AT,4
2016-09,SUZUKI,Ciaz 1.4 AT,1
2016-010,SUZUKI,Ciaz 1.4 AT,-
2016-011,SUZUKI,Ciaz 1.4 AT,2
2016-012,SUZUKI,Ciaz 1.4 AT,-
2016-01,TOYOTA,Limo Taxi,-
2016-02,TOYOTA,Limo Taxi,97
2016-03,TOYOTA,Limo Taxi,355
2016-04,TOYOTA,Limo Taxi,1026
2016-05,TOYOTA,Limo Taxi,358
2016-06,TOYOTA,Limo Taxi,1
2016-07,TOYOTA,Limo Taxi,249
2016-08,TOYOTA,Limo Taxi,256
2016-09,TOYOTA,Limo Taxi,5
2016-010,TOYOTA,Limo Taxi,-
2016-011,TOYOTA,Limo Taxi,-
2016-012,TOYOTA,Limo Taxi,3
2016-01,TOYOTA,Vios  E,5
2016-02,TOYOTA,Vios  E,2
2016-03,TOYOTA,Vios  E,11
2016-04,TOYOTA,Vios  E,21
2016-05,TOYOTA,Vios  E,8
2016-06,TOYOTA,Vios  E,80
2016-07,TOYOTA,Vios  E,4
2016-08,TOYOTA,Vios  E,12
2016-09,TOYOTA,Vios  E,3
2016-010,TOYOTA,Vios  E,2
2016-011,TOYOTA,Vios  E,3
2016-012,TOYOTA,Vios  E,1
2016-01,TOYOTA,Vios  E AT,1
2016-02,TOYOTA,Vios  E AT,-
2016-03,TOYOTA,Vios  E AT,7
2016-04,TOYOTA,Vios  E AT,-
2016-05,TOYOTA,Vios  E AT,3
2016-06,TOYOTA,Vios  E AT,-
2016-07,TOYOTA,Vios  E AT,2
2016-08,TOYOTA,Vios  E AT,3
2016-09,TOYOTA,Vios  E AT,3
2016-010,TOYOTA,Vios  E AT,2
2016-011,TOYOTA,Vios  E AT,2
2016-012,TOYOTA,Vios  E AT,24
2016-01,TOYOTA,Vios  G,45
2016-02,TOYOTA,Vios  G,85
2016-03,TOYOTA,Vios  G,45
2016-04,TOYOTA,Vios  G,41
2016-05,TOYOTA,Vios  G,18
2016-06,TOYOTA,Vios  G,10
2016-07,TOYOTA,Vios  G,41
2016-08,TOYOTA,Vios  G,26
2016-09,TOYOTA,Vios  G,30
2016-010,TOYOTA,Vios  G,4
2016-011,TOYOTA,Vios  G,5
2016-012,TOYOTA,Vios  G,33
2016-01,TOYOTA,Vios  G AT,72
2016-02,TOYOTA,Vios  G AT,36
2016-03,TOYOTA,Vios  G AT,21
2016-04,TOYOTA,Vios  G AT,51
2016-05,TOYOTA,Vios  G AT,50
2016-06,TOYOTA,Vios  G AT,14
2016-07,TOYOTA,Vios  G AT,46
2016-08,TOYOTA,Vios  G AT,26
2016-09,TOYOTA,Vios  G AT,32
2016-010,TOYOTA,Vios  G AT,12
2016-011,TOYOTA,Vios  G AT,9
2016-012,TOYOTA,Vios  G AT,39
2016-01,TOYOTA,Vios  G TRD,2
2016-02,TOYOTA,Vios  G TRD,5
2016-03,TOYOTA,Vios  G TRD,6
2016-04,TOYOTA,Vios  G TRD,1
2016-05,TOYOTA,Vios  G TRD,3
2016-06,TOYOTA,Vios  G TRD,1
2016-07,TOYOTA,Vios  G TRD,1
2016-08,TOYOTA,Vios  G TRD,-
2016-09,TOYOTA,Vios  G TRD,2
2016-010,TOYOTA,Vios  G TRD,2
2016-011,TOYOTA,Vios  G TRD,1
2016-012,TOYOTA,Vios  G TRD,4
2016-01,TOYOTA,Vios  G TRD  AT,7
2016-02,TOYOTA,Vios  G TRD  AT,6
2016-03,TOYOTA,Vios  G TRD  AT,11
2016-04,TOYOTA,Vios  G TRD  AT,3
2016-05,TOYOTA,Vios  G TRD  AT,9
2016-06,TOYOTA,Vios  G TRD  AT,4
2016-07,TOYOTA,Vios  G TRD  AT,7
2016-08,TOYOTA,Vios  G TRD  AT,4
2016-09,TOYOTA,Vios  G TRD  AT,5
2016-010,TOYOTA,Vios  G TRD  AT,3
2016-011,TOYOTA,Vios  G TRD  AT,-
2016-012,TOYOTA,Vios  G TRD  AT,-
2016-01,ALFA ROMEO,4C,-
2016-02,ALFA ROMEO,4C,-
2016-03,ALFA ROMEO,4C,-
2016-04,ALFA ROMEO,4C,-
2016-05,ALFA ROMEO,4C,-
2016-06,ALFA ROMEO,4C,-
2016-07,ALFA ROMEO,4C,-
2016-08,ALFA ROMEO,4C,-
2016-09,ALFA ROMEO,4C,-
2016-010,ALFA ROMEO,4C,-
2016-011,ALFA ROMEO,4C,-
2016-012,ALFA ROMEO,4C,-
2016-01,AUDI,A4 1.8 AT,3
2016-02,AUDI,A4 1.8 AT,-
2016-03,AUDI,A4 1.8 AT,-
2016-04,AUDI,A4 1.8 AT,-
2016-05,AUDI,A4 1.8 AT,-
2016-06,AUDI,A4 1.8 AT,-
2016-07,AUDI,A4 1.8 AT,-
2016-08,AUDI,A4 1.8 AT,-
2016-09,AUDI,A4 1.8 AT,-
2016-010,AUDI,A4 1.8 AT,-
2016-011,AUDI,A4 1.8 AT,-
2016-012,AUDI,A4 1.8 AT,-
2016-01,AUDI,A4 2.0 quattro TFSI   A/T,-
2016-02,AUDI,A4 2.0 quattro TFSI   A/T,-
2016-03,AUDI,A4 2.0 quattro TFSI   A/T,-
2016-04,AUDI,A4 2.0 quattro TFSI   A/T,-
2016-05,AUDI,A4 2.0 quattro TFSI   A/T,2
2016-06,AUDI,A4 2.0 quattro TFSI   A/T,-
2016-07,AUDI,A4 2.0 quattro TFSI   A/T,-
2016-08,AUDI,A4 2.0 quattro TFSI   A/T,-
2016-09,AUDI,A4 2.0 quattro TFSI   A/T,1
2016-010,AUDI,A4 2.0 quattro TFSI   A/T,-
2016-011,AUDI,A4 2.0 quattro TFSI   A/T,1
2016-012,AUDI,A4 2.0 quattro TFSI   A/T,-
2016-01,AUDI,A5 2.0 TFSI,-
2016-02,AUDI,A5 2.0 TFSI,-
2016-03,AUDI,A5 2.0 TFSI,-
2016-04,AUDI,A5 2.0 TFSI,-
2016-05,AUDI,A5 2.0 TFSI,-
2016-06,AUDI,A5 2.0 TFSI,-
2016-07,AUDI,A5 2.0 TFSI,-
2016-08,AUDI,A5 2.0 TFSI,-
2016-09,AUDI,A5 2.0 TFSI,-
2016-010,AUDI,A5 2.0 TFSI,-
2016-011,AUDI,A5 2.0 TFSI,-
2016-012,AUDI,A5 2.0 TFSI,-
2016-01,AUDI,A6 1.8 TFSI  A/T,1
2016-02,AUDI,A6 1.8 TFSI  A/T,-
2016-03,AUDI,A6 1.8 TFSI  A/T,-
2016-04,AUDI,A6 1.8 TFSI  A/T,1
2016-05,AUDI,A6 1.8 TFSI  A/T,1
2016-06,AUDI,A6 1.8 TFSI  A/T,-
2016-07,AUDI,A6 1.8 TFSI  A/T,-
2016-08,AUDI,A6 1.8 TFSI  A/T,1
2016-09,AUDI,A6 1.8 TFSI  A/T,-
2016-010,AUDI,A6 1.8 TFSI  A/T,-
2016-011,AUDI,A6 1.8 TFSI  A/T,-
2016-012,AUDI,A6 1.8 TFSI  A/T,-
2016-01,AUDI,A6 2.0TFSI  AT,-
2016-02,AUDI,A6 2.0TFSI  AT,-
2016-03,AUDI,A6 2.0TFSI  AT,-
2016-04,AUDI,A6 2.0TFSI  AT,-
