waktu,brand,tipe,sale
2017-01,DAIHATSU,Copen,-
2017-02,DAIHATSU,Copen,-
2017-03,DAIHATSU,Copen,1
2017-04,DAIHATSU,Copen,-
2017-05,DAIHATSU,Copen,1
2017-06,DAIHATSU,Copen,-
2017-07,DAIHATSU,Copen,-
2017-08,DAIHATSU,Copen,-
2017-09,DAIHATSU,Copen,-
2017-010,DAIHATSU,Copen,-
2017-011,DAIHATSU,Copen,-
2017-012,DAIHATSU,Copen,-
2017-01,HONDA,All New City IVTEC E,-
2017-02,HONDA,All New City IVTEC E,-
2017-03,HONDA,All New City IVTEC E,-
2017-04,HONDA,All New City IVTEC E,-
2017-05,HONDA,All New City IVTEC E,39
2017-06,HONDA,All New City IVTEC E,16
2017-07,HONDA,All New City IVTEC E,21
2017-08,HONDA,All New City IVTEC E,14
2017-09,HONDA,All New City IVTEC E,19
2017-010,HONDA,All New City IVTEC E,9
2017-011,HONDA,All New City IVTEC E,22
2017-012,HONDA,All New City IVTEC E,10
2017-01,HONDA,All New City IVTEC E AT,-
2017-02,HONDA,All New City IVTEC E AT,-
2017-03,HONDA,All New City IVTEC E AT,-
2017-04,HONDA,All New City IVTEC E AT,25
2017-05,HONDA,All New City IVTEC E AT,152
2017-06,HONDA,All New City IVTEC E AT,58
2017-07,HONDA,All New City IVTEC E AT,128
2017-08,HONDA,All New City IVTEC E AT,142
2017-09,HONDA,All New City IVTEC E AT,115
2017-010,HONDA,All New City IVTEC E AT,86
2017-011,HONDA,All New City IVTEC E AT,134
2017-012,HONDA,All New City IVTEC E AT,30
2017-01,HONDA,All New City IVTEC ES AT,-
2017-02,HONDA,All New City IVTEC ES AT,3
2017-03,HONDA,All New City IVTEC ES AT,1
2017-04,HONDA,All New City IVTEC ES AT,-
2017-05,HONDA,All New City IVTEC ES AT,-
2017-06,HONDA,All New City IVTEC ES AT,-
2017-07,HONDA,All New City IVTEC ES AT,-
2017-08,HONDA,All New City IVTEC ES AT,-
2017-09,HONDA,All New City IVTEC ES AT,-
2017-010,HONDA,All New City IVTEC ES AT,-
2017-011,HONDA,All New City IVTEC ES AT,-
2017-012,HONDA,All New City IVTEC ES AT,-
2017-01,HONDA,All New Civic,123
2017-02,HONDA,All New Civic,143
2017-03,HONDA,All New Civic,386
2017-04,HONDA,All New Civic,32
2017-05,HONDA,All New Civic,37
2017-06,HONDA,All New Civic,56
2017-07,HONDA,All New Civic,33
2017-08,HONDA,All New Civic,56
2017-09,HONDA,All New Civic,33
2017-010,HONDA,All New Civic,3
2017-011,HONDA,All New Civic,-
2017-012,HONDA,All New Civic,-
2017-01,HONDA,All New Civic Prestige,114
2017-02,HONDA,All New Civic Prestige,35
2017-03,HONDA,All New Civic Prestige,23
2017-04,HONDA,All New Civic Prestige,5
2017-05,HONDA,All New Civic Prestige,45
2017-06,HONDA,All New Civic Prestige,17
2017-07,HONDA,All New Civic Prestige,21
2017-08,HONDA,All New Civic Prestige,8
2017-09,HONDA,All New Civic Prestige,29
2017-010,HONDA,All New Civic Prestige,56
2017-011,HONDA,All New Civic Prestige,62
2017-012,HONDA,All New Civic Prestige,4
2017-01,HYUNDAI,Excel III,14
2017-02,HYUNDAI,Excel III,1
2017-03,HYUNDAI,Excel III,-
2017-04,HYUNDAI,Excel III,5
2017-05,HYUNDAI,Excel III,-
2017-06,HYUNDAI,Excel III,-
2017-07,HYUNDAI,Excel III,-
2017-08,HYUNDAI,Excel III,1
2017-09,HYUNDAI,Excel III,-
2017-010,HYUNDAI,Excel III,-
2017-011,HYUNDAI,Excel III,-
2017-012,HYUNDAI,Excel III,-
2017-01,SUZUKI,Ciaz 1.4 MT,-
2017-02,SUZUKI,Ciaz 1.4 MT,-
2017-03,SUZUKI,Ciaz 1.4 MT,-
2017-04,SUZUKI,Ciaz 1.4 MT,-
2017-05,SUZUKI,Ciaz 1.4 MT,1
2017-06,SUZUKI,Ciaz 1.4 MT,5
2017-07,SUZUKI,Ciaz 1.4 MT,-
2017-08,SUZUKI,Ciaz 1.4 MT,1
2017-09,SUZUKI,Ciaz 1.4 MT,-
2017-010,SUZUKI,Ciaz 1.4 MT,1
2017-011,SUZUKI,Ciaz 1.4 MT,-
2017-012,SUZUKI,Ciaz 1.4 MT,-
2017-01,SUZUKI,Ciaz 1.4 AT,-
2017-02,SUZUKI,Ciaz 1.4 AT,2
2017-03,SUZUKI,Ciaz 1.4 AT,3
2017-04,SUZUKI,Ciaz 1.4 AT,2
2017-05,SUZUKI,Ciaz 1.4 AT,2
2017-06,SUZUKI,Ciaz 1.4 AT,2
2017-07,SUZUKI,Ciaz 1.4 AT,-
2017-08,SUZUKI,Ciaz 1.4 AT,3
2017-09,SUZUKI,Ciaz 1.4 AT,2
2017-010,SUZUKI,Ciaz 1.4 AT,4
2017-011,SUZUKI,Ciaz 1.4 AT,2
2017-012,SUZUKI,Ciaz 1.4 AT,-
2017-01,TOYOTA,Vios E,83
2017-02,TOYOTA,Vios E,5
2017-03,TOYOTA,Vios E,3
2017-04,TOYOTA,Vios E,3
2017-05,TOYOTA,Vios E,4
2017-06,TOYOTA,Vios E,13
2017-07,TOYOTA,Vios E,2
2017-08,TOYOTA,Vios E,1
2017-09,TOYOTA,Vios E,-
2017-010,TOYOTA,Vios E,1
2017-011,TOYOTA,Vios E,-
2017-012,TOYOTA,Vios E,-
2017-01,TOYOTA,Vios E AT,-
2017-02,TOYOTA,Vios E AT,2
2017-03,TOYOTA,Vios E AT,2
2017-04,TOYOTA,Vios E AT,4
2017-05,TOYOTA,Vios E AT,-
2017-06,TOYOTA,Vios E AT,-
2017-07,TOYOTA,Vios E AT,-
2017-08,TOYOTA,Vios E AT,1
2017-09,TOYOTA,Vios E AT,-
2017-010,TOYOTA,Vios E AT,-
2017-011,TOYOTA,Vios E AT,-
2017-012,TOYOTA,Vios E AT,-
2017-01,TOYOTA,Vios G,16
2017-02,TOYOTA,Vios G,14
2017-03,TOYOTA,Vios G,21
2017-04,TOYOTA,Vios G,30
2017-05,TOYOTA,Vios G,1
2017-06,TOYOTA,Vios G,32
2017-07,TOYOTA,Vios G,2
2017-08,TOYOTA,Vios G,16
2017-09,TOYOTA,Vios G,22
2017-010,TOYOTA,Vios G,25
2017-011,TOYOTA,Vios G,-
2017-012,TOYOTA,Vios G,-
2017-01,TOYOTA,Vios G AT,72
2017-02,TOYOTA,Vios G AT,90
2017-03,TOYOTA,Vios G AT,82
2017-04,TOYOTA,Vios G AT,58
2017-05,TOYOTA,Vios G AT,11
2017-06,TOYOTA,Vios G AT,11
2017-07,TOYOTA,Vios G AT,6
2017-08,TOYOTA,Vios G AT,21
2017-09,TOYOTA,Vios G AT,29
2017-010,TOYOTA,Vios G AT,47
2017-011,TOYOTA,Vios G AT,2
2017-012,TOYOTA,Vios G AT,-
2017-01,TOYOTA,Vios G TRD,4
2017-02,TOYOTA,Vios G TRD,2
2017-03,TOYOTA,Vios G TRD,-
2017-04,TOYOTA,Vios G TRD,4
2017-05,TOYOTA,Vios G TRD,1
2017-06,TOYOTA,Vios G TRD,1
2017-07,TOYOTA,Vios G TRD,-
2017-08,TOYOTA,Vios G TRD,2
2017-09,TOYOTA,Vios G TRD,-
2017-010,TOYOTA,Vios G TRD,-
2017-011,TOYOTA,Vios G TRD,-
2017-012,TOYOTA,Vios G TRD,-
2017-01,TOYOTA,Vios G TRD AT,-
2017-02,TOYOTA,Vios G TRD AT,-
2017-03,TOYOTA,Vios G TRD AT,-
2017-04,TOYOTA,Vios G TRD AT,-
2017-05,TOYOTA,Vios G TRD AT,-
2017-06,TOYOTA,Vios G TRD AT,-
2017-07,TOYOTA,Vios G TRD AT,-
2017-08,TOYOTA,Vios G TRD AT,-
2017-09,TOYOTA,Vios G TRD AT,-
2017-010,TOYOTA,Vios G TRD AT,-
2017-011,TOYOTA,Vios G TRD AT,-
2017-012,TOYOTA,Vios G TRD AT,-
2017-01,AUDI,A4 2.0 quattro TFSI A/T,1
2017-02,AUDI,A4 2.0 quattro TFSI A/T,1
2017-03,AUDI,A4 2.0 quattro TFSI A/T,-
2017-04,AUDI,A4 2.0 quattro TFSI A/T,-
2017-05,AUDI,A4 2.0 quattro TFSI A/T,3
2017-06,AUDI,A4 2.0 quattro TFSI A/T,-
2017-07,AUDI,A4 2.0 quattro TFSI A/T,-
2017-08,AUDI,A4 2.0 quattro TFSI A/T,3
2017-09,AUDI,A4 2.0 quattro TFSI A/T,2
2017-010,AUDI,A4 2.0 quattro TFSI A/T,-
2017-011,AUDI,A4 2.0 quattro TFSI A/T,-
2017-012,AUDI,A4 2.0 quattro TFSI A/T,1
2017-01,AUDI,A5 2.0 TFSI,-
2017-02,AUDI,A5 2.0 TFSI,-
2017-03,AUDI,A5 2.0 TFSI,-
2017-04,AUDI,A5 2.0 TFSI,-
2017-05,AUDI,A5 2.0 TFSI,-
2017-06,AUDI,A5 2.0 TFSI,1
2017-07,AUDI,A5 2.0 TFSI,1
2017-08,AUDI,A5 2.0 TFSI,-
2017-09,AUDI,A5 2.0 TFSI,1
2017-010,AUDI,A5 2.0 TFSI,1
2017-011,AUDI,A5 2.0 TFSI,-
2017-012,AUDI,A5 2.0 TFSI,-
2017-01,AUDI,A6 1.8 TFSI A/T,-
2017-02,AUDI,A6 1.8 TFSI A/T,1
2017-03,AUDI,A6 1.8 TFSI A/T,-
2017-04,AUDI,A6 1.8 TFSI A/T,-
2017-05,AUDI,A6 1.8 TFSI A/T,1
2017-06,AUDI,A6 1.8 TFSI A/T,3
