waktu,brand,tipe,sale
2014-01,CHEVROLET,Kalos LS,-
2014-02,CHEVROLET,Kalos LS,-
2014-03,CHEVROLET,Kalos LS,-
2014-04,CHEVROLET,Kalos LS,-
2014-05,CHEVROLET,Kalos LS,-
2014-06,CHEVROLET,Kalos LS,-
2014-07,CHEVROLET,Kalos LS,-
2014-08,CHEVROLET,Kalos LS,-
2014-09,CHEVROLET,Kalos LS,-
2014-010,CHEVROLET,Kalos LS,-
2014-011,CHEVROLET,Kalos LS,-
2014-012,CHEVROLET,Kalos LS,-
2014-01,GEELY,MK GS,-
2014-02,GEELY,MK GS,1
2014-03,GEELY,MK GS,-
2014-04,GEELY,MK GS,5
2014-05,GEELY,MK GS,2
2014-06,GEELY,MK GS,3
2014-07,GEELY,MK GS,5
2014-08,GEELY,MK GS,11
2014-09,GEELY,MK GS,4
2014-010,GEELY,MK GS,5
2014-011,GEELY,MK GS,-
2014-012,GEELY,MK GS,-
2014-01,GEELY,MK GT,-
2014-02,GEELY,MK GT,-
2014-03,GEELY,MK GT,-
2014-04,GEELY,MK GT,-
2014-05,GEELY,MK GT,-
2014-06,GEELY,MK GT,1
2014-07,GEELY,MK GT,1
2014-08,GEELY,MK GT,2
2014-09,GEELY,MK GT,1
2014-010,GEELY,MK GT,-
2014-011,GEELY,MK GT,-
2014-012,GEELY,MK GT,-
2014-01,HONDA,All New City IVTEC S,-
2014-02,HONDA,All New City IVTEC S,-
2014-03,HONDA,All New City IVTEC S,-
2014-04,HONDA,All New City IVTEC S,9
2014-05,HONDA,All New City IVTEC S,17
2014-06,HONDA,All New City IVTEC S,2
2014-07,HONDA,All New City IVTEC S,12
2014-08,HONDA,All New City IVTEC S,11
2014-09,HONDA,All New City IVTEC S,3
2014-010,HONDA,All New City IVTEC S,3
2014-011,HONDA,All New City IVTEC S,4
2014-012,HONDA,All New City IVTEC S,-
2014-01,HONDA,All New City IVTEC S AT,-
2014-02,HONDA,All New City IVTEC S AT,-
2014-03,HONDA,All New City IVTEC S AT,-
2014-04,HONDA,All New City IVTEC S AT,16
2014-05,HONDA,All New City IVTEC S AT,54
2014-06,HONDA,All New City IVTEC S AT,8
2014-07,HONDA,All New City IVTEC S AT,7
2014-08,HONDA,All New City IVTEC S AT,3
2014-09,HONDA,All New City IVTEC S AT,2
2014-010,HONDA,All New City IVTEC S AT,-
2014-011,HONDA,All New City IVTEC S AT,-
2014-012,HONDA,All New City IVTEC S AT,1
2014-01,HONDA,All New City IVTEC E,-
2014-02,HONDA,All New City IVTEC E,-
2014-03,HONDA,All New City IVTEC E,-
2014-04,HONDA,All New City IVTEC E,105
2014-05,HONDA,All New City IVTEC E,24
2014-06,HONDA,All New City IVTEC E,38
2014-07,HONDA,All New City IVTEC E,22
2014-08,HONDA,All New City IVTEC E,19
2014-09,HONDA,All New City IVTEC E,32
2014-010,HONDA,All New City IVTEC E,32
2014-011,HONDA,All New City IVTEC E,29
2014-012,HONDA,All New City IVTEC E,-
2014-01,HONDA,All New City IVTEC E AT,-
2014-02,HONDA,All New City IVTEC E AT,-
2014-03,HONDA,All New City IVTEC E AT,-
2014-04,HONDA,All New City IVTEC E AT,320
2014-05,HONDA,All New City IVTEC E AT,142
2014-06,HONDA,All New City IVTEC E AT,78
2014-07,HONDA,All New City IVTEC E AT,83
2014-08,HONDA,All New City IVTEC E AT,66
2014-09,HONDA,All New City IVTEC E AT,91
2014-010,HONDA,All New City IVTEC E AT,171
2014-011,HONDA,All New City IVTEC E AT,134
2014-012,HONDA,All New City IVTEC E AT,57
2014-01,HONDA,All New City IVTEC ES AT,-
2014-02,HONDA,All New City IVTEC ES AT,-
2014-03,HONDA,All New City IVTEC ES AT,-
2014-04,HONDA,All New City IVTEC ES AT,30
2014-05,HONDA,All New City IVTEC ES AT,-
2014-06,HONDA,All New City IVTEC ES AT,30
2014-07,HONDA,All New City IVTEC ES AT,60
2014-08,HONDA,All New City IVTEC ES AT,87
2014-09,HONDA,All New City IVTEC ES AT,64
2014-010,HONDA,All New City IVTEC ES AT,87
2014-011,HONDA,All New City IVTEC ES AT,27
2014-012,HONDA,All New City IVTEC ES AT,3
2014-01,HYUNDAI,Excel III,-
2014-02,HYUNDAI,Excel III,-
2014-03,HYUNDAI,Excel III,15
2014-04,HYUNDAI,Excel III,-
2014-05,HYUNDAI,Excel III,-
2014-06,HYUNDAI,Excel III,40
2014-07,HYUNDAI,Excel III,9
2014-08,HYUNDAI,Excel III,-
2014-09,HYUNDAI,Excel III,28
2014-010,HYUNDAI,Excel III,-
2014-011,HYUNDAI,Excel III,22
2014-012,HYUNDAI,Excel III,20
2014-01,PROTON,S a g a FL,-
2014-02,PROTON,S a g a FL,1
2014-03,PROTON,S a g a FL,20
2014-04,PROTON,S a g a FL,10
2014-05,PROTON,S a g a FL,9
2014-06,PROTON,S a g a FL,-
2014-07,PROTON,S a g a FL,-
2014-08,PROTON,S a g a FL,1
2014-09,PROTON,S a g a FL,-
2014-010,PROTON,S a g a FL,1
2014-011,PROTON,S a g a FL,-
2014-012,PROTON,S a g a FL,1
2014-01,TOYOTA,Prius,-
2014-02,TOYOTA,Prius,2
2014-03,TOYOTA,Prius,-
2014-04,TOYOTA,Prius,-
2014-05,TOYOTA,Prius,-
2014-06,TOYOTA,Prius,-
2014-07,TOYOTA,Prius,-
2014-08,TOYOTA,Prius,-
2014-09,TOYOTA,Prius,-
2014-010,TOYOTA,Prius,-
2014-011,TOYOTA,Prius,-
2014-012,TOYOTA,Prius,1
2014-01,TOYOTA,Limo Taxi,768
2014-02,TOYOTA,Limo Taxi,800
2014-03,TOYOTA,Limo Taxi,990
2014-04,TOYOTA,Limo Taxi,560
2014-05,TOYOTA,Limo Taxi,500
2014-06,TOYOTA,Limo Taxi,499
2014-07,TOYOTA,Limo Taxi,500
2014-08,TOYOTA,Limo Taxi,519
2014-09,TOYOTA,Limo Taxi,761
2014-010,TOYOTA,Limo Taxi,751
2014-011,TOYOTA,Limo Taxi,49
2014-012,TOYOTA,Limo Taxi,-
2014-01,TOYOTA,Etios 1.2 Taxi,2
2014-02,TOYOTA,Etios 1.2 Taxi,-
2014-03,TOYOTA,Etios 1.2 Taxi,-
2014-04,TOYOTA,Etios 1.2 Taxi,-
2014-05,TOYOTA,Etios 1.2 Taxi,-
2014-06,TOYOTA,Etios 1.2 Taxi,-
2014-07,TOYOTA,Etios 1.2 Taxi,-
2014-08,TOYOTA,Etios 1.2 Taxi,-
2014-09,TOYOTA,Etios 1.2 Taxi,-
2014-010,TOYOTA,Etios 1.2 Taxi,-
2014-011,TOYOTA,Etios 1.2 Taxi,-
2014-012,TOYOTA,Etios 1.2 Taxi,7
2014-01,TOYOTA,Vios E,17
2014-02,TOYOTA,Vios E,42
2014-03,TOYOTA,Vios E,43
2014-04,TOYOTA,Vios E,54
2014-05,TOYOTA,Vios E,-
2014-06,TOYOTA,Vios E,1
2014-07,TOYOTA,Vios E,1
2014-08,TOYOTA,Vios E,1
2014-09,TOYOTA,Vios E,-
2014-010,TOYOTA,Vios E,8
2014-011,TOYOTA,Vios E,6
2014-012,TOYOTA,Vios E,9
2014-01,TOYOTA,Vios E AT,-
2014-02,TOYOTA,Vios E AT,1
2014-03,TOYOTA,Vios E AT,2
2014-04,TOYOTA,Vios E AT,-
2014-05,TOYOTA,Vios E AT,-
2014-06,TOYOTA,Vios E AT,1
2014-07,TOYOTA,Vios E AT,30
2014-08,TOYOTA,Vios E AT,21
2014-09,TOYOTA,Vios E AT,4
2014-010,TOYOTA,Vios E AT,-
2014-011,TOYOTA,Vios E AT,6
2014-012,TOYOTA,Vios E AT,27
2014-01,TOYOTA,Vios G,79
2014-02,TOYOTA,Vios G,67
2014-03,TOYOTA,Vios G,36
2014-04,TOYOTA,Vios G,51
2014-05,TOYOTA,Vios G,93
2014-06,TOYOTA,Vios G,85
2014-07,TOYOTA,Vios G,18
2014-08,TOYOTA,Vios G,7
2014-09,TOYOTA,Vios G,7
2014-010,TOYOTA,Vios G,66
2014-011,TOYOTA,Vios G,110
2014-012,TOYOTA,Vios G,53
2014-01,TOYOTA,Vios G,174
2014-02,TOYOTA,Vios G,225
2014-03,TOYOTA,Vios G,134
2014-04,TOYOTA,Vios G,95
2014-05,TOYOTA,Vios G,55
2014-06,TOYOTA,Vios G,113
2014-07,TOYOTA,Vios G,80
2014-08,TOYOTA,Vios G,65
2014-09,TOYOTA,Vios G,67
2014-010,TOYOTA,Vios G,83
2014-011,TOYOTA,Vios G,53
2014-012,TOYOTA,Vios G,126
2014-01,AUDI,A4 1.8 AT,12
2014-02,AUDI,A4 1.8 AT,5
2014-03,AUDI,A4 1.8 AT,8
2014-04,AUDI,A4 1.8 AT,11
2014-05,AUDI,A4 1.8 AT,9
2014-06,AUDI,A4 1.8 AT,10
2014-07,AUDI,A4 1.8 AT,16
2014-08,AUDI,A4 1.8 AT,12
2014-09,AUDI,A4 1.8 AT,17
2014-010,AUDI,A4 1.8 AT,24
2014-011,AUDI,A4 1.8 AT,25
2014-012,AUDI,A4 1.8 AT,10
2014-01,AUDI,A5 2.0 TFSI,1
2014-02,AUDI,A5 2.0 TFSI,-
2014-03,AUDI,A5 2.0 TFSI,4
2014-04,AUDI,A5 2.0 TFSI,-
2014-05,AUDI,A5 2.0 TFSI,1
2014-06,AUDI,A5 2.0 TFSI,-
2014-07,AUDI,A5 2.0 TFSI,-
2014-08,AUDI,A5 2.0 TFSI,-
2014-09,AUDI,A5 2.0 TFSI,-
2014-010,AUDI,A5 2.0 TFSI,-
2014-011,AUDI,A5 2.0 TFSI,1
2014-012,AUDI,A5 2.0 TFSI,1
2014-01,AUDI,A6 2.0TFSI AT,6
2014-02,AUDI,A6 2.0TFSI AT,3
2014-03,AUDI,A6 2.0TFSI AT,3
2014-04,AUDI,A6 2.0TFSI AT,6
2014-05,AUDI,A6 2.0TFSI AT,9
2014-06,AUDI,A6 2.0TFSI AT,5
2014-07,AUDI,A6 2.0TFSI AT,5
2014-08,AUDI,A6 2.0TFSI AT,10
2014-09,AUDI,A6 2.0TFSI AT,7
2014-010,AUDI,A6 2.0TFSI AT,5
2014-011,AUDI,A6 2.0TFSI AT,7
2014-012,AUDI,A6 2.0TFSI AT,3
2014-01,AUDI,A4 2.0 TFSI,1
2014-02,AUDI,A4 2.0 TFSI,1
2014-03,AUDI,A4 2.0 TFSI,-
2014-04,AUDI,A4 2.0 TFSI,-
2014-05,AUDI,A4 2.0 TFSI,-
2014-06,AUDI,A4 2.0 TFSI,-
2014-07,AUDI,A4 2.0 TFSI,-
2014-08,AUDI,A4 2.0 TFSI,-
2014-09,AUDI,A4 2.0 TFSI,-
2014-010,AUDI,A4 2.0 TFSI,-
2014-011,AUDI,A4 2.0 TFSI,-
2014-012,AUDI,A4 2.0 TFSI,-
2014-01,AUDI,A6 2.8 FSI AT,-
2014-02,AUDI,A6 2.8 FSI AT,2
2014-03,AUDI,A6 2.8 FSI AT,1
2014-04,AUDI,A6 2.8 FSI AT,6
2014-05,AUDI,A6 2.8 FSI AT,2
2014-06,AUDI,A6 2.8 FSI AT,-
2014-07,AUDI,A6 2.8 FSI AT,3
2014-08,AUDI,A6 2.8 FSI AT,2
2014-09,AUDI,A6 2.8 FSI AT,-
2014-010,AUDI,A6 2.8 FSI AT,-
2014-011,AUDI,A6 2.8 FSI AT,-
2014-012,AUDI,A6 2.8 FSI AT,1
2014-01,AUDI,A6 3.0 Quattro AT,-
2014-02,AUDI,A6 3.0 Quattro AT,1
2014-03,AUDI,A6 3.0 Quattro AT,2
2014-04,AUDI,A6 3.0 Quattro AT,-
2014-05,AUDI,A6 3.0 Quattro AT,-
2014-06,AUDI,A6 3.0 Quattro AT,-
2014-07,AUDI,A6 3.0 Quattro AT,-
2014-08,AUDI,A6 3.0 Quattro AT,-
2014-09,AUDI,A6 3.0 Quattro AT,-
2014-010,AUDI,A6 3.0 Quattro AT,1
2014-011,AUDI,A6 3.0 Quattro AT,-
2014-012,AUDI,A6 3.0 Quattro AT,-
2014-01,AUDI,A7 3.0 AT,1
2014-02,AUDI,A7 3.0 AT,-
2014-03,AUDI,A7 3.0 AT,-
2014-04,AUDI,A7 3.0 AT,-
