BRAND,Retail,tanggal,Production
ALFA ROMEO,-,2016-01-01,
ALFA ROMEO,-,2016-02-01,
ALFA ROMEO,-,2016-03-01,
ALFA ROMEO,-,2016-04-01,
ALFA ROMEO,-,2016-05-01,
ALFA ROMEO,-,2016-06-01,
ALFA ROMEO,-,2016-07-01,
ALFA ROMEO,-,2016-08-01,
ALFA ROMEO,-,2016-09-01,
ALFA ROMEO,-,2016-10-01,
ALFA ROMEO,-,2016-11-01,
ALFA ROMEO,-,2016-12-01,
AUDI,9,2016-01-01,3
AUDI,5,2016-02-01,-
AUDI,7,2016-03-01,-
AUDI,4,2016-04-01,-
AUDI,10,2016-05-01,-
AUDI,7,2016-06-01,-
AUDI,3,2016-07-01,-
AUDI,10,2016-08-01,-
AUDI,15,2016-09-01,-
AUDI,5,2016-10-01,-
AUDI,8,2016-11-01,-
AUDI,5,2016-12-01,-
B M W,150,2016-01-01,150
B M W,226,2016-02-01,200
B M W,200,2016-03-01,41
B M W,200,2016-04-01,254
B M W,215,2016-05-01,179
B M W,138,2016-06-01,243
B M W,101,2016-07-01,93
B M W,260,2016-08-01,230
B M W,255,2016-09-01,184
B M W,215,2016-10-01,175
B M W,265,2016-11-01,216
B M W,281,2016-12-01,137
BENTLEY,-,2016-01-01,
BENTLEY,-,2016-02-01,
BENTLEY,-,2016-03-01,
BENTLEY,-,2016-04-01,
BENTLEY,-,2016-05-01,
BENTLEY,-,2016-06-01,
BENTLEY,-,2016-07-01,
BENTLEY,-,2016-08-01,
BENTLEY,-,2016-09-01,
BENTLEY,-,2016-10-01,
BENTLEY,-,2016-11-01,
BENTLEY,-,2016-12-01,
CHERY,-,2016-01-01,
CHERY,-,2016-02-01,
CHERY,-,2016-03-01,
CHERY,-,2016-04-01,
CHERY,-,2016-05-01,
CHERY,-,2016-06-01,
CHERY,-,2016-07-01,
CHERY,-,2016-08-01,
CHERY,-,2016-09-01,
CHERY,-,2016-10-01,
CHERY,-,2016-11-01,
CHERY,-,2016-12-01,
CHEVROLET,298,2016-01-01,-
CHEVROLET,177,2016-02-01,-
CHEVROLET,232,2016-03-01,-
CHEVROLET,226,2016-04-01,-
CHEVROLET,222,2016-05-01,-
CHEVROLET,259,2016-06-01,-
CHEVROLET,128,2016-07-01,-
CHEVROLET,242,2016-08-01,-
CHEVROLET,229,2016-09-01,-
CHEVROLET,-,2016-10-01,-
CHEVROLET,-,2016-11-01,-
CHEVROLET,-,2016-12-01,-
CHRYSLER,-,2016-01-01,
CHRYSLER,-,2016-02-01,
CHRYSLER,-,2016-03-01,
CHRYSLER,-,2016-04-01,
CHRYSLER,-,2016-05-01,
CHRYSLER,-,2016-06-01,
CHRYSLER,-,2016-07-01,
CHRYSLER,-,2016-08-01,
CHRYSLER,-,2016-09-01,
CHRYSLER,-,2016-10-01,
CHRYSLER,-,2016-11-01,
CHRYSLER,-,2016-12-01,
DAIHATSU,14505,2016-01-01,13034
DAIHATSU,13567,2016-02-01,14451
DAIHATSU,14227,2016-03-01,14029
DAIHATSU,15097,2016-04-01,14055
DAIHATSU,15211,2016-05-01,15637
DAIHATSU,16503,2016-06-01,16245
DAIHATSU,12575,2016-07-01,10335
DAIHATSU,16153,2016-08-01,16314
DAIHATSU,17419,2016-09-01,16069
DAIHATSU,17183,2016-10-01,19169
DAIHATSU,17237,2016-11-01,19666
DAIHATSU,22733,2016-12-01,16327
DATSUN,2731,2016-01-01,2944
DATSUN,3311,2016-02-01,3063
DATSUN,3054,2016-03-01,2918
DATSUN,2703,2016-04-01,2961
DATSUN,2760,2016-05-01,3605
DATSUN,2920,2016-06-01,3360
DATSUN,2233,2016-07-01,1639
DATSUN,1717,2016-08-01,2313
DATSUN,1203,2016-09-01,881
DATSUN,1141,2016-10-01,1072
DATSUN,1012,2016-11-01,856
DATSUN,1090,2016-12-01,28
DODGE,18,2016-01-01,
DODGE,7,2016-02-01,
DODGE,2,2016-03-01,
DODGE,5,2016-04-01,
DODGE,5,2016-05-01,
DODGE,-,2016-06-01,
DODGE,-,2016-07-01,
DODGE,-,2016-08-01,
DODGE,-,2016-09-01,
DODGE,-,2016-10-01,
DODGE,-,2016-11-01,
DODGE,-,2016-12-01,
FAW,11,2016-01-01,
FAW,10,2016-02-01,
FAW,16,2016-03-01,
FAW,-,2016-04-01,
FAW,4,2016-05-01,
FAW,7,2016-06-01,
FAW,2,2016-07-01,
FAW,4,2016-08-01,
FAW,4,2016-09-01,
FAW,10,2016-10-01,
FAW,14,2016-11-01,
FAW,5,2016-12-01,
FIAT,4,2016-01-01,
FIAT,4,2016-02-01,
FIAT,-,2016-03-01,
FIAT,-,2016-04-01,
FIAT,-,2016-05-01,
FIAT,-,2016-06-01,
FIAT,-,2016-07-01,
FIAT,-,2016-08-01,
FIAT,-,2016-09-01,
FIAT,-,2016-10-01,
FIAT,-,2016-11-01,
FIAT,-,2016-12-01,
FORD,86,2016-01-01,
FORD,35,2016-02-01,
FORD,80,2016-03-01,
FORD,39,2016-04-01,
FORD,53,2016-05-01,
FORD,147,2016-06-01,
FORD,61,2016-07-01,
FORD,119,2016-08-01,
FORD,98,2016-09-01,
FORD,123,2016-10-01,
FORD,128,2016-11-01,
FORD,-,2016-12-01,
GEELY,-,2016-01-01,
GEELY,-,2016-02-01,
GEELY,-,2016-03-01,
GEELY,-,2016-04-01,
GEELY,-,2016-05-01,
GEELY,-,2016-06-01,
GEELY,-,2016-07-01,
GEELY,-,2016-08-01,
GEELY,-,2016-09-01,
GEELY,-,2016-10-01,
GEELY,-,2016-11-01,
GEELY,-,2016-12-01,
HINO,1574,2016-01-01,1902
HINO,1517,2016-02-01,2003
HINO,1721,2016-03-01,1769
HINO,1728,2016-04-01,2166
HINO,1828,2016-05-01,2148
HINO,1919,2016-06-01,2143
HINO,1626,2016-07-01,1467
HINO,1867,2016-08-01,2287
HINO,1864,2016-09-01,2244
HINO,2040,2016-10-01,2338
HINO,2424,2016-11-01,2342
HINO,2224,2016-12-01,1613
HONDA,13288,2016-01-01,18152
HONDA,17659,2016-02-01,18517
HONDA,19152,2016-03-01,19398
HONDA,11559,2016-04-01,17526
HONDA,13846,2016-05-01,17407
HONDA,16876,2016-06-01,19053
HONDA,10500,2016-07-01,8019
HONDA,19019,2016-08-01,16316
HONDA,15006,2016-09-01,14667
HONDA,17495,2016-10-01,15657
HONDA,16376,2016-11-01,15743
HONDA,19453,2016-12-01,14819
HYUNDAI,122,2016-01-01,
HYUNDAI,97,2016-02-01,
HYUNDAI,102,2016-03-01,
HYUNDAI,120,2016-04-01,
HYUNDAI,121,2016-05-01,
HYUNDAI,144,2016-06-01,
HYUNDAI,85,2016-07-01,
HYUNDAI,88,2016-08-01,
HYUNDAI,161,2016-09-01,
HYUNDAI,131,2016-10-01,
