brand,retail,waktu,production
ISUZU,2247,2018-10-01,2641
ISUZU,2209,2018-11-01,2713
ISUZU,3030,2018-12-01,2508
LEXUS,32,2018-01-01,
LEXUS,138,2018-02-01,
LEXUS,151,2018-03-01,
LEXUS,154,2018-04-01,
LEXUS,122,2018-05-01,
LEXUS,67,2018-06-01,
LEXUS,104,2018-07-01,
LEXUS,146,2018-08-01,
LEXUS,139,2018-09-01,
LEXUS,138,2018-10-01,
LEXUS,93,2018-11-01,
LEXUS,43,2018-12-01,
MAN TRUCK,15,2018-01-01,
MAN TRUCK,10,2018-02-01,
MAN TRUCK,7,2018-03-01,
MAN TRUCK,10,2018-04-01,
MAN TRUCK,5,2018-05-01,
MAN TRUCK,2,2018-06-01,
MAN TRUCK,7,2018-07-01,
MAN TRUCK,6,2018-08-01,
MAN TRUCK,4,2018-09-01,
MAN TRUCK,4,2018-10-01,
MAN TRUCK,3,2018-11-01,
MAN TRUCK,6,2018-12-01,
MAZDA,492,2018-01-01,
MAZDA,460,2018-02-01,
MAZDA,485,2018-03-01,
MAZDA,535,2018-04-01,
MAZDA,619,2018-05-01,
MAZDA,389,2018-06-01,
MAZDA,501,2018-07-01,
MAZDA,660,2018-08-01,
MAZDA,500,2018-09-01,
MAZDA,435,2018-10-01,
MAZDA,457,2018-11-01,
MAZDA,424,2018-12-01,
MINI,18,2018-01-01,-
MINI,35,2018-02-01,-
MINI,28,2018-03-01,-
MINI,40,2018-04-01,54
MINI,45,2018-05-01,41
MINI,20,2018-06-01,2
MINI,39,2018-07-01,1
MINI,95,2018-08-01,-
MINI,55,2018-09-01,22
MINI,60,2018-10-01,2
MINI,50,2018-11-01,29
MINI,35,2018-12-01,19
MITSUBISHI FUSO,3656,2018-01-01,4803
MITSUBISHI FUSO,4011,2018-02-01,4527
MITSUBISHI FUSO,4664,2018-03-01,5180
MITSUBISHI FUSO,4390,2018-04-01,5304
MITSUBISHI FUSO,4221,2018-05-01,4848
MITSUBISHI FUSO,3461,2018-06-01,4152
MITSUBISHI FUSO,3842,2018-07-01,5136
MITSUBISHI FUSO,4096,2018-08-01,4944
MITSUBISHI FUSO,4466,2018-09-01,4020
MITSUBISHI FUSO,4347,2018-10-01,3492
MITSUBISHI FUSO,4803,2018-11-01,4062
MITSUBISHI FUSO,5175,2018-12-01,3212
MITSUBISHI MOTORS,12401,2018-01-01,15915
MITSUBISHI MOTORS,12011,2018-02-01,12355
MITSUBISHI MOTORS,16302,2018-03-01,12362
MITSUBISHI MOTORS,10466,2018-04-01,11092
MITSUBISHI MOTORS,12913,2018-05-01,12324
MITSUBISHI MOTORS,7766,2018-06-01,7558
MITSUBISHI MOTORS,14077,2018-07-01,16380
MITSUBISHI MOTORS,13076,2018-08-01,15099
MITSUBISHI MOTORS,12406,2018-09-01,15588
MITSUBISHI MOTORS,12547,2018-10-01,17269
MITSUBISHI MOTORS,12470,2018-11-01,16069
MITSUBISHI MOTORS,10370,2018-12-01,12096
NISSAN,914,2018-01-01,192
NISSAN,1014,2018-02-01,539
NISSAN,1595,2018-03-01,661
NISSAN,223,2018-04-01,688
NISSAN,379,2018-05-01,416
NISSAN,204,2018-06-01,84
NISSAN,288,2018-07-01,48
NISSAN,358,2018-08-01,204
NISSAN,351,2018-09-01,192
NISSAN,388,2018-10-01,216
NISSAN,619,2018-11-01,96
NISSAN,666,2018-12-01,132
PEUGEOT,1,2018-01-01,
PEUGEOT,10,2018-02-01,
PEUGEOT,8,2018-03-01,
PEUGEOT,15,2018-04-01,
PEUGEOT,14,2018-05-01,
PEUGEOT,5,2018-06-01,
PEUGEOT,20,2018-07-01,
PEUGEOT,10,2018-08-01,
PEUGEOT,6,2018-09-01,
PEUGEOT,12,2018-10-01,
PEUGEOT,34,2018-11-01,
PEUGEOT,6,2018-12-01,
PROTON,10,2018-01-01,
PROTON,5,2018-02-01,
PROTON,13,2018-03-01,
PROTON,10,2018-04-01,
PROTON,10,2018-05-01,
PROTON,3,2018-06-01,
PROTON,12,2018-07-01,
PROTON,3,2018-08-01,
PROTON,1,2018-09-01,
PROTON,1,2018-10-01,
PROTON,4,2018-11-01,
PROTON,11,2018-12-01,
RENAULT,,2018-01-01,35
RENAULT,,2018-02-01,51
RENAULT,,2018-03-01,2
RENAULT,,2018-04-01,49
RENAULT,,2018-05-01,-
RENAULT,,2018-06-01,-
