BRAND,Retail,tanggal,Production
HYUNDAI HIM,,2021-12-01,-
INFINITI,-,2021-01-01,
INFINITI,-,2021-02-01,
INFINITI,-,2021-03-01,
INFINITI,-,2021-04-01,
INFINITI,-,2021-05-01,
INFINITI,-,2021-06-01,
INFINITI,-,2021-07-01,
INFINITI,-,2021-08-01,
INFINITI,-,2021-09-01,
INFINITI,-,2021-10-01,
INFINITI,-,2021-11-01,
INFINITI,-,2021-12-01,
ISUZU,1846,2021-01-01,1857
ISUZU,1814,2021-02-01,2048
ISUZU,2165,2021-03-01,2597
ISUZU,2234,2021-04-01,2941
ISUZU,1831,2021-05-01,2179
ISUZU,2078,2021-06-01,2463
ISUZU,1792,2021-07-01,2087
ISUZU,2168,2021-08-01,2567
ISUZU,2474,2021-09-01,3318
ISUZU,2458,2021-10-01,3800
ISUZU,2772,2021-11-01,3612
ISUZU,3646,2021-12-01,3350
K I A,68,2021-01-01,
K I A,160,2021-02-01,
K I A,372,2021-03-01,
K I A,401,2021-04-01,
K I A,256,2021-05-01,
K I A,302,2021-06-01,
K I A,261,2021-07-01,
K I A,211,2021-08-01,
K I A,201,2021-09-01,
K I A,252,2021-10-01,
K I A,227,2021-11-01,
K I A,127,2021-12-01,
LEXUS,28,2021-01-01,
LEXUS,81,2021-02-01,
LEXUS,101,2021-03-01,
LEXUS,104,2021-04-01,
LEXUS,86,2021-05-01,
LEXUS,109,2021-06-01,
LEXUS,68,2021-07-01,
LEXUS,72,2021-08-01,
LEXUS,78,2021-09-01,
LEXUS,65,2021-10-01,
LEXUS,117,2021-11-01,
LEXUS,91,2021-12-01,
MAZDA,329,2021-01-01,
MAZDA,258,2021-02-01,
MAZDA,287,2021-03-01,
MAZDA,591,2021-04-01,
MAZDA,236,2021-05-01,
MAZDA,260,2021-06-01,
MAZDA,123,2021-07-01,
MAZDA,361,2021-08-01,
MAZDA,385,2021-09-01,
MAZDA,235,2021-10-01,
MAZDA,201,2021-11-01,
MAZDA,248,2021-12-01,
MERCEDES-BENZ CV,130,2021-01-01,-
MERCEDES-BENZ CV,71,2021-02-01,36
MERCEDES-BENZ CV,75,2021-03-01,24
MERCEDES-BENZ CV,144,2021-04-01,6
MERCEDES-BENZ CV,103,2021-05-01,20
MERCEDES-BENZ CV,62,2021-06-01,10
MERCEDES-BENZ CV,99,2021-07-01,29
MERCEDES-BENZ CV,108,2021-08-01,42
MERCEDES-BENZ CV,159,2021-09-01,78
MERCEDES-BENZ CV,221,2021-10-01,156
MERCEDES-BENZ CV,347,2021-11-01,69
MERCEDES-BENZ CV,385,2021-12-01,177
MERCEDES-BENZ PC,192,2021-01-01,98
MERCEDES-BENZ PC,187,2021-02-01,93
MERCEDES-BENZ PC,224,2021-03-01,98
MERCEDES-BENZ PC,215,2021-04-01,94
MERCEDES-BENZ PC,207,2021-05-01,83
MERCEDES-BENZ PC,210,2021-06-01,78
MERCEDES-BENZ PC,103,2021-07-01,32
MERCEDES-BENZ PC,169,2021-08-01,202
MERCEDES-BENZ PC,210,2021-09-01,165
MERCEDES-BENZ PC,210,2021-10-01,153
MERCEDES-BENZ PC,266,2021-11-01,218
MERCEDES-BENZ PC,-,2021-12-01,-
MINI,40,2021-01-01,
MINI,42,2021-02-01,
MINI,41,2021-03-01,
MINI,65,2021-04-01,
MINI,66,2021-05-01,
MINI,73,2021-06-01,
MINI,51,2021-07-01,
MINI,62,2021-08-01,
MINI,71,2021-09-01,
MINI,60,2021-10-01,
MINI,69,2021-11-01,
MINI,29,2021-12-01,
MITSUBISHI FUSO,2163,2021-01-01,2392
MITSUBISHI FUSO,2340,2021-02-01,2664
MITSUBISHI FUSO,2744,2021-03-01,2976
MITSUBISHI FUSO,2492,2021-04-01,2664
MITSUBISHI FUSO,2082,2021-05-01,1560
MITSUBISHI FUSO,2277,2021-06-01,1620
MITSUBISHI FUSO,2201,2021-07-01,2556
MITSUBISHI FUSO,2679,2021-08-01,3288
MITSUBISHI FUSO,3390,2021-09-01,3778
MITSUBISHI FUSO,3522,2021-10-01,4318
MITSUBISHI FUSO,3653,2021-11-01,4680
MITSUBISHI FUSO,4832,2021-12-01,3617
MITSUBISHI MOTORS,6694,2021-01-01,10387
MITSUBISHI MOTORS,5842,2021-02-01,9240
MITSUBISHI MOTORS,8848,2021-03-01,16061
MITSUBISHI MOTORS,10177,2021-04-01,13554
MITSUBISHI MOTORS,7516,2021-05-01,9682
MITSUBISHI MOTORS,8704,2021-06-01,13272
MITSUBISHI MOTORS,9122,2021-07-01,9502
MITSUBISHI MOTORS,8521,2021-08-01,14882
MITSUBISHI MOTORS,8930,2021-09-01,12702
MITSUBISHI MOTORS,8652,2021-10-01,10821
MITSUBISHI MOTORS,8784,2021-11-01,12079
MITSUBISHI MOTORS,12617,2021-12-01,14412
MORRIS GARAGE,52,2021-01-01,
MORRIS GARAGE,50,2021-02-01,
MORRIS GARAGE,87,2021-03-01,
MORRIS GARAGE,121,2021-04-01,
MORRIS GARAGE,113,2021-05-01,
MORRIS GARAGE,124,2021-06-01,
MORRIS GARAGE,70,2021-07-01,
MORRIS GARAGE,73,2021-08-01,
MORRIS GARAGE,114,2021-09-01,
MORRIS GARAGE,103,2021-10-01,
MORRIS GARAGE,120,2021-11-01,
MORRIS GARAGE,74,2021-12-01,
NISSAN,1197,2021-01-01,
NISSAN,985,2021-02-01,
NISSAN,988,2021-03-01,
NISSAN,602,2021-04-01,
NISSAN,454,2021-05-01,
NISSAN,390,2021-06-01,
NISSAN,188,2021-07-01,
NISSAN,250,2021-08-01,
NISSAN,263,2021-09-01,
NISSAN,240,2021-10-01,
NISSAN,331,2021-11-01,
NISSAN,297,2021-12-01,
PEUGEOT,34,2021-01-01,
PEUGEOT,19,2021-02-01,
PEUGEOT,14,2021-03-01,
PEUGEOT,11,2021-04-01,
PEUGEOT,25,2021-05-01,
PEUGEOT,11,2021-06-01,
PEUGEOT,4,2021-07-01,
PEUGEOT,4,2021-08-01,
PEUGEOT,12,2021-09-01,
PEUGEOT,38,2021-10-01,
PEUGEOT,54,2021-11-01,
PEUGEOT,39,2021-12-01,
RENAULT,46,2021-01-01,
RENAULT,-,2021-02-01,
RENAULT,-,2021-03-01,
RENAULT,-,2021-04-01,
RENAULT,-,2021-05-01,
RENAULT,-,2021-06-01,
RENAULT,-,2021-07-01,
RENAULT,-,2021-08-01,
RENAULT,-,2021-09-01,
RENAULT,-,2021-10-01,
RENAULT,-,2021-11-01,
RENAULT,-,2021-12-01,
SCANIA,34,2021-01-01,
SCANIA,35,2021-02-01,
SCANIA,57,2021-03-01,
SCANIA,70,2021-04-01,
SCANIA,75,2021-05-01,
SCANIA,75,2021-06-01,
SCANIA,47,2021-07-01,
SCANIA,35,2021-08-01,
SCANIA,43,2021-09-01,
SCANIA,30,2021-10-01,
SCANIA,30,2021-11-01,
SCANIA,10,2021-12-01,
SUZUKI,6192,2021-01-01,10098
SUZUKI,5132,2021-02-01,8428
SUZUKI,8179,2021-03-01,12142
SUZUKI,7575,2021-04-01,10322
SUZUKI,6578,2021-05-01,6977
SUZUKI,7272,2021-06-01,11177
SUZUKI,6508,2021-07-01,8191
SUZUKI,9013,2021-08-01,11396
SUZUKI,7355,2021-09-01,12869
SUZUKI,6819,2021-10-01,10363
SUZUKI,8714,2021-11-01,12825
SUZUKI,10259,2021-12-01,12944
TATA,12,2021-01-01,
TATA,5,2021-02-01,
TATA,50,2021-03-01,
TATA,17,2021-04-01,
TATA,16,2021-05-01,
TATA,5,2021-06-01,
TATA,16,2021-07-01,
TATA,46,2021-08-01,
TATA,43,2021-09-01,
TATA,18,2021-10-01,
TATA,22,2021-11-01,
TATA,14,2021-12-01,
TOYOTA,15292,2021-01-01,32469
TOYOTA,12537,2021-02-01,34405
TOYOTA,26445,2021-03-01,38643
TOYOTA,25902,2021-04-01,35573
TOYOTA,21117,2021-05-01,25925
TOYOTA,19392,2021-06-01,40035
TOYOTA,21933,2021-07-01,30601
TOYOTA,28169,2021-08-01,43018
TOYOTA,26454,2021-09-01,45295
TOYOTA,28367,2021-10-01,40634
TOYOTA,30651,2021-11-01,48058
TOYOTA,34240,2021-12-01,50778
UD TRUCK,,2021-01-01,-
UD TRUCK,,2021-02-01,-
UD TRUCK,,2021-03-01,-
UD TRUCK,,2021-04-01,16
UD TRUCK,,2021-05-01,16
UD TRUCK,,2021-06-01,2
UD TRUCK,,2021-07-01,26
UD TRUCK,,2021-08-01,54
UD TRUCK,,2021-09-01,-
UD TRUCK,,2021-10-01,75
UD TRUCK,,2021-11-01,127
UD TRUCK,,2021-12-01,122
UD TRUCKS,130,2021-01-01,
UD TRUCKS,125,2021-02-01,
UD TRUCKS,174,2021-03-01,
UD TRUCKS,152,2021-04-01,
UD TRUCKS,143,2021-05-01,
UD TRUCKS,118,2021-06-01,
UD TRUCKS,65,2021-07-01,
UD TRUCKS,118,2021-08-01,
UD TRUCKS,83,2021-09-01,
UD TRUCKS,90,2021-10-01,
UD TRUCKS,108,2021-11-01,
UD TRUCKS,91,2021-12-01,
VOLKSWAGEN,36,2021-01-01,
VOLKSWAGEN,28,2021-02-01,
VOLKSWAGEN,58,2021-03-01,
VOLKSWAGEN,44,2021-04-01,
VOLKSWAGEN,16,2021-05-01,
VOLKSWAGEN,34,2021-06-01,
VOLKSWAGEN,15,2021-07-01,
VOLKSWAGEN,13,2021-08-01,
VOLKSWAGEN,22,2021-09-01,
VOLKSWAGEN,28,2021-10-01,
VOLKSWAGEN,52,2021-11-01,
VOLKSWAGEN,34,2021-12-01,
WULING,1010,2021-01-01,604
WULING,861,2021-02-01,1067
WULING,1778,2021-03-01,2360
WULING,2426,2021-04-01,2511
WULING,2239,2021-05-01,2508
WULING,1873,2021-06-01,2413
WULING,1006,2021-07-01,1905
WULING,1872,2021-08-01,2180
WULING,2318,2021-09-01,2388
WULING,2601,2021-10-01,2530
WULING,3075,2021-11-01,2369
WULING,2861,2021-12-01,3442
