BRAND,Retail,tanggal,Production
AUDI,3,2020-01-01,
AUDI,1,2020-02-01,
AUDI,1,2020-03-01,
AUDI,4,2020-04-01,
AUDI,5,2020-05-01,
AUDI,7,2020-06-01,
AUDI,2,2020-07-01,
AUDI,4,2020-08-01,
AUDI,5,2020-09-01,
AUDI,3,2020-10-01,
AUDI,4,2020-11-01,
AUDI,8,2020-12-01,
B M  W,175,2020-01-01,219
B M  W,200,2020-02-01,200
B M  W,191,2020-03-01,145
B M  W,55,2020-04-01,52
B M  W,85,2020-05-01,-
B M  W,125,2020-06-01,180
B M  W,203,2020-07-01,175
B M  W,210,2020-08-01,98
B M  W,203,2020-09-01,74
B M  W,186,2020-10-01,22
B M  W,210,2020-11-01,72
B M  W,239,2020-12-01,170
BYD,-,2020-01-01,
BYD,-,2020-02-01,
BYD,-,2020-03-01,
BYD,-,2020-04-01,
BYD,-,2020-05-01,
BYD,-,2020-06-01,
BYD,-,2020-07-01,
BYD,-,2020-08-01,
BYD,-,2020-09-01,
BYD,-,2020-10-01,
BYD,-,2020-11-01,
BYD,-,2020-12-01,
CHEVROLET,52,2020-01-01,
CHEVROLET,34,2020-02-01,
CHEVROLET,53,2020-03-01,
CHEVROLET,4,2020-04-01,
CHEVROLET,-,2020-05-01,
CHEVROLET,-,2020-06-01,
CHEVROLET,-,2020-07-01,
CHEVROLET,-,2020-08-01,
CHEVROLET,-,2020-09-01,
CHEVROLET,-,2020-10-01,
CHEVROLET,-,2020-11-01,
CHEVROLET,-,2020-12-01,
DAIHATSU,14582,2020-01-01,14162
DAIHATSU,13658,2020-02-01,15699
DAIHATSU,10946,2020-03-01,17972
DAIHATSU,5160,2020-04-01,1330
DAIHATSU,3673,2020-05-01,-
DAIHATSU,5558,2020-06-01,333
DAIHATSU,5890,2020-07-01,1553
DAIHATSU,6300,2020-08-01,6632
DAIHATSU,7721,2020-09-01,11182
DAIHATSU,8135,2020-10-01,8281
DAIHATSU,9200,2020-11-01,6716
DAIHATSU,9203,2020-12-01,6479
DATSUN,295,2020-01-01,271
DATSUN,238,2020-02-01,11
DATSUN,192,2020-03-01,-
DATSUN,26,2020-04-01,-
DATSUN,22,2020-05-01,-
DATSUN,24,2020-06-01,-
DATSUN,32,2020-07-01,-
DATSUN,182,2020-08-01,-
DATSUN,30,2020-09-01,-
DATSUN,10,2020-10-01,-
DATSUN,9,2020-11-01,-
DATSUN,9,2020-12-01,-
DFSK,355,2020-01-01,406
DFSK,346,2020-02-01,347
DFSK,255,2020-03-01,217
DFSK,101,2020-04-01,55
DFSK,41,2020-05-01,94
DFSK,102,2020-06-01,-
DFSK,133,2020-07-01,-
DFSK,254,2020-08-01,-
DFSK,191,2020-09-01,-
DFSK,211,2020-10-01,-
DFSK,201,2020-11-01,-
DFSK,234,2020-12-01,-
FAW,18,2020-01-01,
FAW,48,2020-02-01,
FAW,44,2020-03-01,
FAW,17,2020-04-01,
FAW,3,2020-05-01,
FAW,5,2020-06-01,
FAW,12,2020-07-01,
FAW,13,2020-08-01,
FAW,9,2020-09-01,
FAW,18,2020-10-01,
FAW,17,2020-11-01,
FAW,16,2020-12-01,
HINO,1617,2020-01-01,3104
HINO,2020,2020-02-01,2696
HINO,1245,2020-03-01,2587
HINO,481,2020-04-01,990
HINO,309,2020-05-01,254
HINO,708,2020-06-01,625
HINO,714,2020-07-01,180
HINO,807,2020-08-01,65
HINO,1032,2020-09-01,156
HINO,945,2020-10-01,180
HINO,1480,2020-11-01,645
HINO,1680,2020-12-01,1171
HONDA,12603,2020-01-01,12902
HONDA,11918,2020-02-01,12309
HONDA,10657,2020-03-01,12306
HONDA,1855,2020-04-01,3689
HONDA,1291,2020-05-01,52
HONDA,2488,2020-06-01,-
HONDA,4036,2020-07-01,126
HONDA,4865,2020-08-01,2282
HONDA,5835,2020-09-01,4846
HONDA,6561,2020-10-01,7868
HONDA,7455,2020-11-01,7956
HONDA,9887,2020-12-01,7116
HONGYAN,-,2020-01-01,
HONGYAN,-,2020-02-01,
HONGYAN,-,2020-03-01,
HONGYAN,-,2020-04-01,
HONGYAN,-,2020-05-01,
HONGYAN,-,2020-06-01,
HONGYAN,-,2020-07-01,
HONGYAN,-,2020-08-01,
HONGYAN,-,2020-09-01,
HONGYAN,-,2020-10-01,
HONGYAN,-,2020-11-01,
HONGYAN,-,2020-12-01,
HYUNDAI - HIM,114,2020-01-01,
HYUNDAI - HIM,103,2020-02-01,
HYUNDAI - HIM,45,2020-03-01,
HYUNDAI - HIM,33,2020-04-01,
HYUNDAI - HIM,14,2020-05-01,
HYUNDAI - HIM,43,2020-06-01,
HYUNDAI - HIM,51,2020-07-01,
HYUNDAI - HIM,34,2020-08-01,
HYUNDAI - HIM,52,2020-09-01,
HYUNDAI - HIM,21,2020-10-01,
HYUNDAI - HIM,29,2020-11-01,
HYUNDAI - HIM,42,2020-12-01,
HYUNDAI - HMID,-,2020-01-01,
HYUNDAI - HMID,-,2020-02-01,
HYUNDAI - HMID,-,2020-03-01,
HYUNDAI - HMID,-,2020-04-01,
HYUNDAI - HMID,-,2020-05-01,
HYUNDAI - HMID,-,2020-06-01,
HYUNDAI - HMID,-,2020-07-01,
HYUNDAI - HMID,-,2020-08-01,
HYUNDAI - HMID,14,2020-09-01,
HYUNDAI - HMID,40,2020-10-01,
HYUNDAI - HMID,61,2020-11-01,
HYUNDAI - HMID,66,2020-12-01,
HYUNDAI HIM,,2020-01-01,197
HYUNDAI HIM,,2020-02-01,163
HYUNDAI HIM,,2020-03-01,45
HYUNDAI HIM,,2020-04-01,77
HYUNDAI HIM,,2020-05-01,7
HYUNDAI HIM,,2020-06-01,62
HYUNDAI HIM,,2020-07-01,112
HYUNDAI HIM,,2020-08-01,38
HYUNDAI HIM,,2020-09-01,30
HYUNDAI HIM,,2020-10-01,17
HYUNDAI HIM,,2020-11-01,105
HYUNDAI HIM,,2020-12-01,124
INFINITI,-,2020-01-01,
INFINITI,-,2020-02-01,
INFINITI,-,2020-03-01,
INFINITI,-,2020-04-01,
INFINITI,-,2020-05-01,
INFINITI,-,2020-06-01,
INFINITI,-,2020-07-01,
INFINITI,-,2020-08-01,
INFINITI,-,2020-09-01,
INFINITI,-,2020-10-01,
INFINITI,-,2020-11-01,
INFINITI,-,2020-12-01,
ISUZU,1705,2020-01-01,2975
ISUZU,2022,2020-02-01,2944
ISUZU,1528,2020-03-01,2346
ISUZU,756,2020-04-01,438
ISUZU,781,2020-05-01,174
ISUZU,1026,2020-06-01,570
ISUZU,1393,2020-07-01,900
ISUZU,1277,2020-08-01,1104
ISUZU,1628,2020-09-01,1344
ISUZU,1805,2020-10-01,1752
ISUZU,1924,2020-11-01,2022
ISUZU,2010,2020-12-01,2014
K I A,5,2020-01-01,
K I A,76,2020-02-01,
K I A,62,2020-03-01,
K I A,61,2020-04-01,
