BRAND,Retail,tanggal,Production
AUDI,6,2017-01-01,-
AUDI,3,2017-02-01,-
AUDI,5,2017-03-01,-
AUDI,5,2017-04-01,-
AUDI,6,2017-05-01,-
AUDI,6,2017-06-01,-
AUDI,6,2017-07-01,-
AUDI,7,2017-08-01,-
AUDI,5,2017-09-01,-
AUDI,9,2017-10-01,-
AUDI,8,2017-11-01,-
AUDI,6,2017-12-01,-
B M W,110,2017-01-01,145
B M W,120,2017-02-01,113
B M W,150,2017-03-01,123
B M W,275,2017-04-01,183
B M W,290,2017-05-01,233
B M W,235,2017-06-01,123
B M W,149,2017-07-01,197
B M W,302,2017-08-01,121
B M W,310,2017-09-01,252
B M W,232,2017-10-01,305
B M W,280,2017-11-01,201
B M W,347,2017-12-01,306
CHEVROLET,234,2017-01-01,
CHEVROLET,244,2017-02-01,
CHEVROLET,316,2017-03-01,
CHEVROLET,300,2017-04-01,
CHEVROLET,354,2017-05-01,
CHEVROLET,298,2017-06-01,
CHEVROLET,220,2017-07-01,
CHEVROLET,401,2017-08-01,
CHEVROLET,356,2017-09-01,
CHEVROLET,243,2017-10-01,
CHEVROLET,329,2017-11-01,
CHEVROLET,384,2017-12-01,
CHRYSLER,-,2017-01-01,
CHRYSLER,-,2017-02-01,
CHRYSLER,-,2017-03-01,
CHRYSLER,-,2017-04-01,
CHRYSLER,-,2017-05-01,
CHRYSLER,-,2017-06-01,
CHRYSLER,-,2017-07-01,
CHRYSLER,-,2017-08-01,
CHRYSLER,-,2017-09-01,
CHRYSLER,-,2017-10-01,
CHRYSLER,-,2017-11-01,
CHRYSLER,-,2017-12-01,
DAIHATSU,14426,2017-01-01,16443
DAIHATSU,14293,2017-02-01,17563
DAIHATSU,15341,2017-03-01,15881
DAIHATSU,15015,2017-04-01,15138
DAIHATSU,16108,2017-05-01,15299
DAIHATSU,13903,2017-06-01,13262
DAIHATSU,14314,2017-07-01,14382
DAIHATSU,15890,2017-08-01,15597
DAIHATSU,14940,2017-09-01,15307
DAIHATSU,15622,2017-10-01,16552
DAIHATSU,16003,2017-11-01,16148
DAIHATSU,19385,2017-12-01,12934
DATSUN,805,2017-01-01,504
DATSUN,780,2017-02-01,436
DATSUN,1161,2017-03-01,58
DATSUN,1039,2017-04-01,232
DATSUN,1069,2017-05-01,968
DATSUN,1110,2017-06-01,530
DATSUN,1262,2017-07-01,1150
DATSUN,1358,2017-08-01,1264
DATSUN,912,2017-09-01,1310
DATSUN,808,2017-10-01,1202
DATSUN,929,2017-11-01,879
DATSUN,1296,2017-12-01,361
DODGE,-,2017-01-01,
DODGE,-,2017-02-01,
DODGE,-,2017-03-01,
DODGE,-,2017-04-01,
DODGE,-,2017-05-01,
DODGE,-,2017-06-01,
DODGE,-,2017-07-01,
DODGE,-,2017-08-01,
DODGE,-,2017-09-01,
DODGE,-,2017-10-01,
DODGE,-,2017-11-01,
DODGE,-,2017-12-01,
FAW,13,2017-01-01,
FAW,9,2017-02-01,
FAW,8,2017-03-01,
FAW,11,2017-04-01,
FAW,13,2017-05-01,
FAW,19,2017-06-01,
FAW,13,2017-07-01,
FAW,15,2017-08-01,
