BRAND,Retail,tanggal,Production
AUDI,3,2019-01-01,
AUDI,1,2019-02-01,
AUDI,4,2019-03-01,
AUDI,4,2019-04-01,
AUDI,2,2019-05-01,
AUDI,2,2019-06-01,
AUDI,1,2019-07-01,
AUDI,3,2019-08-01,
AUDI,6,2019-09-01,
AUDI,3,2019-10-01,
AUDI,3,2019-11-01,
AUDI,4,2019-12-01,
B M W,175,2019-01-01,156
B M W,175,2019-02-01,107
B M W,200,2019-03-01,128
B M W,148,2019-04-01,143
B M W,210,2019-05-01,178
B M W,131,2019-06-01,137
B M W,271,2019-07-01,196
B M W,301,2019-08-01,281
B M W,262,2019-09-01,242
B M W,260,2019-10-01,289
B M W,282,2019-11-01,258
B M W,85,2019-12-01,222
CHEVROLET,185,2019-01-01,
CHEVROLET,208,2019-02-01,
CHEVROLET,252,2019-03-01,
CHEVROLET,127,2019-04-01,
CHEVROLET,148,2019-05-01,
CHEVROLET,99,2019-06-01,
CHEVROLET,91,2019-07-01,
CHEVROLET,49,2019-08-01,
CHEVROLET,78,2019-09-01,
CHEVROLET,26,2019-10-01,
CHEVROLET,270,2019-11-01,
CHEVROLET,303,2019-12-01,
DAIHATSU,16274,2019-01-01,14670
DAIHATSU,15145,2019-02-01,16158
DAIHATSU,16071,2019-03-01,19451
DAIHATSU,13216,2019-04-01,15943
DAIHATSU,17486,2019-05-01,13967
DAIHATSU,9834,2019-06-01,5921
DAIHATSU,12805,2019-07-01,12773
DAIHATSU,13696,2019-08-01,15246
DAIHATSU,13112,2019-09-01,17377
DAIHATSU,15578,2019-10-01,17391
DAIHATSU,16214,2019-11-01,15737
DAIHATSU,18157,2019-12-01,10855
DATSUN,751,2019-01-01,298
DATSUN,615,2019-02-01,765
DATSUN,586,2019-03-01,645
DATSUN,838,2019-04-01,252
DATSUN,828,2019-05-01,360
DATSUN,616,2019-06-01,276
DATSUN,736,2019-07-01,120
DATSUN,676,2019-08-01,336
DATSUN,637,2019-09-01,426
DATSUN,553,2019-10-01,504
DATSUN,455,2019-11-01,419
DATSUN,458,2019-12-01,115
DFSK,109,2019-01-01,24
DFSK,133,2019-02-01,143
DFSK,90,2019-03-01,170
DFSK,145,2019-04-01,134
DFSK,193,2019-05-01,280
DFSK,258,2019-06-01,424
DFSK,365,2019-07-01,526
DFSK,424,2019-08-01,641
DFSK,370,2019-09-01,476
DFSK,402,2019-10-01,492
DFSK,362,2019-11-01,470
DFSK,409,2019-12-01,289
FAW,16,2019-01-01,-
FAW,10,2019-02-01,-
FAW,16,2019-03-01,-
FAW,30,2019-04-01,-
FAW,35,2019-05-01,-
FAW,11,2019-06-01,-
FAW,25,2019-07-01,-
FAW,26,2019-08-01,-
FAW,26,2019-09-01,-
FAW,46,2019-10-01,-
FAW,14,2019-11-01,-
FAW,36,2019-12-01,-
HINO,2752,2019-01-01,3656
HINO,2642,2019-02-01,3583
HINO,3038,2019-03-01,3117
HINO,2096,2019-04-01,2531
HINO,1918,2019-05-01,2353
HINO,1569,2019-06-01,1585
HINO,2438,2019-07-01,2719
HINO,2834,2019-08-01,2391
HINO,2974,2019-09-01,2278
HINO,3049,2019-10-01,2749
HINO,2839,2019-11-01,2635
HINO,3322,2019-12-01,2828
HONDA,12190,2019-01-01,10842
HONDA,12828,2019-02-01,9207
HONDA,15179,2019-03-01,10188
HONDA,10260,2019-04-01,9245
HONDA,12486,2019-05-01,10282
HONDA,8596,2019-06-01,7421
HONDA,12702,2019-07-01,12632
HONDA,13127,2019-08-01,11939
HONDA,12323,2019-09-01,12065
HONDA,12375,2019-10-01,14132
HONDA,13010,2019-11-01,12967
HONDA,14363,2019-12-01,12327
HYUNDAI,122,2019-01-01,
HYUNDAI,80,2019-02-01,
HYUNDAI,106,2019-03-01,
HYUNDAI,100,2019-04-01,
HYUNDAI,76,2019-05-01,
HYUNDAI,195,2019-06-01,
HYUNDAI,65,2019-07-01,
HYUNDAI,226,2019-08-01,
HYUNDAI,107,2019-09-01,
HYUNDAI,137,2019-10-01,
HYUNDAI,110,2019-11-01,
HYUNDAI,93,2019-12-01,
HYUNDAI (PC),,2019-01-01,380
HYUNDAI (PC),,2019-02-01,379
HYUNDAI (PC),,2019-03-01,367
HYUNDAI (PC),,2019-04-01,280
HYUNDAI (PC),,2019-05-01,78
HYUNDAI (PC),,2019-06-01,289
HYUNDAI (PC),,2019-07-01,453
HYUNDAI (PC),,2019-08-01,401
HYUNDAI (PC),,2019-09-01,330
HYUNDAI (PC),,2019-10-01,317
HYUNDAI (PC),,2019-11-01,293
HYUNDAI (PC),,2019-12-01,222
INFINITI,-,2019-01-01,
INFINITI,-,2019-02-01,
INFINITI,-,2019-03-01,
INFINITI,-,2019-04-01,
INFINITI,-,2019-05-01,
INFINITI,-,2019-06-01,
INFINITI,-,2019-07-01,
INFINITI,-,2019-08-01,
INFINITI,-,2019-09-01,
INFINITI,-,2019-10-01,
INFINITI,-,2019-11-01,
INFINITI,-,2019-12-01,
ISUZU,2048,2019-01-01,2201
ISUZU,1838,2019-02-01,2421
ISUZU,1964,2019-03-01,2494
ISUZU,1799,2019-04-01,1802
ISUZU,1767,2019-05-01,1664
ISUZU,1689,2019-06-01,1128
ISUZU,2003,2019-07-01,1682
ISUZU,2299,2019-08-01,1651
ISUZU,2281,2019-09-01,2029
ISUZU,2249,2019-10-01,2496
ISUZU,2684,2019-11-01,2727
ISUZU,2694,2019-12-01,2151
LEXUS,15,2019-01-01,
LEXUS,97,2019-02-01,
LEXUS,152,2019-03-01,
LEXUS,123,2019-04-01,
LEXUS,109,2019-05-01,
LEXUS,76,2019-06-01,
LEXUS,94,2019-07-01,
LEXUS,207,2019-08-01,
LEXUS,124,2019-09-01,
LEXUS,165,2019-10-01,
LEXUS,127,2019-11-01,
