BRAND,Retail,tanggal,Production
AUDI,42,2013-01-01,19
AUDI,28,2013-02-01,17
AUDI,29,2013-03-01,23
AUDI,47,2013-04-01,23
AUDI,32,2013-05-01,11
AUDI,34,2013-06-01,14
AUDI,24,2013-07-01,15
AUDI,26,2013-08-01,14
AUDI,40,2013-09-01,15
AUDI,41,2013-10-01,25
AUDI,25,2013-11-01,19
AUDI,42,2013-12-01,15
B M W,196,2013-01-01,213
B M W,220,2013-02-01,224
B M W,230,2013-03-01,173
B M W,230,2013-04-01,244
B M W,212,2013-05-01,224
B M W,226,2013-06-01,214
B M W,115,2013-07-01,237
B M W,84,2013-08-01,173
B M W,203,2013-09-01,204
B M W,245,2013-10-01,236
B M W,250,2013-11-01,213
B M W,249,2013-12-01,189
CHERY,2,2013-01-01,-
CHERY,1,2013-02-01,-
CHERY,-,2013-03-01,-
CHERY,-,2013-04-01,-
CHERY,-,2013-05-01,-
CHERY,-,2013-06-01,-
CHERY,-,2013-07-01,-
CHERY,-,2013-08-01,-
CHERY,-,2013-09-01,-
CHERY,-,2013-10-01,-
CHERY,-,2013-11-01,-
CHERY,-,2013-12-01,-
CHEVROLET,452,2013-01-01,28
CHEVROLET,468,2013-02-01,73
CHEVROLET,463,2013-03-01,57
CHEVROLET,454,2013-04-01,496
CHEVROLET,1130,2013-05-01,1459
CHEVROLET,1761,2013-06-01,1793
CHEVROLET,1864,2013-07-01,2578
CHEVROLET,1226,2013-08-01,1923
CHEVROLET,1801,2013-09-01,2838
CHEVROLET,2308,2013-10-01,2381
CHEVROLET,1656,2013-11-01,1293
CHEVROLET,1388,2013-12-01,801
CHRYSLER,-,2013-01-01,
CHRYSLER,-,2013-02-01,
CHRYSLER,-,2013-03-01,
CHRYSLER,1,2013-04-01,
CHRYSLER,-,2013-05-01,
CHRYSLER,1,2013-06-01,
CHRYSLER,-,2013-07-01,
CHRYSLER,-,2013-08-01,
CHRYSLER,-,2013-09-01,
CHRYSLER,-,2013-10-01,
CHRYSLER,-,2013-11-01,
CHRYSLER,-,2013-12-01,
DAIHATSU,14071,2013-01-01,12877
DAIHATSU,13041,2013-02-01,13123
DAIHATSU,14329,2013-03-01,15236
