waktu,brand,tipe,sale
2010-01,CHEVROLET,Kalos LS,25
2010-02,CHEVROLET,Kalos LS,50
2010-03,CHEVROLET,Kalos LS,250
2010-04,CHEVROLET,Kalos LS,260
2010-05,CHEVROLET,Kalos LS,125
2010-06,CHEVROLET,Kalos LS,67
2010-07,CHEVROLET,Kalos LS,84
2010-08,CHEVROLET,Kalos LS,82
2010-09,CHEVROLET,Kalos LS,100
2010-010,CHEVROLET,Kalos LS,191
2010-011,CHEVROLET,Kalos LS,94
2010-012,CHEVROLET,Kalos LS,75
2010-01,CHEVROLET,Kalos LT,-
2010-02,CHEVROLET,Kalos LT,-
2010-03,CHEVROLET,Kalos LT,-
2010-04,CHEVROLET,Kalos LT,-
2010-05,CHEVROLET,Kalos LT,-
2010-06,CHEVROLET,Kalos LT,-
2010-07,CHEVROLET,Kalos LT,-
2010-08,CHEVROLET,Kalos LT,-
2010-09,CHEVROLET,Kalos LT,-
2010-010,CHEVROLET,Kalos LT,-
2010-011,CHEVROLET,Kalos LT,-
2010-012,CHEVROLET,Kalos LT,-
2010-01,CHEVROLET,Kalos LT  AT,-
2010-02,CHEVROLET,Kalos LT  AT,-
2010-03,CHEVROLET,Kalos LT  AT,-
2010-04,CHEVROLET,Kalos LT  AT,-
2010-05,CHEVROLET,Kalos LT  AT,-
2010-06,CHEVROLET,Kalos LT  AT,-
2010-07,CHEVROLET,Kalos LT  AT,-
2010-08,CHEVROLET,Kalos LT  AT,-
2010-09,CHEVROLET,Kalos LT  AT,-
2010-010,CHEVROLET,Kalos LT  AT,-
2010-011,CHEVROLET,Kalos LT  AT,-
2010-012,CHEVROLET,Kalos LT  AT,-
2010-01,HONDA,Civic Hybrid,-
2010-02,HONDA,Civic Hybrid,-
2010-03,HONDA,Civic Hybrid,-
2010-04,HONDA,Civic Hybrid,-
2010-05,HONDA,Civic Hybrid,-
2010-06,HONDA,Civic Hybrid,-
2010-07,HONDA,Civic Hybrid,-
2010-08,HONDA,Civic Hybrid,-
2010-09,HONDA,Civic Hybrid,-
2010-010,HONDA,Civic Hybrid,-
2010-011,HONDA,Civic Hybrid,-
2010-012,HONDA,Civic Hybrid,-
2010-01,HONDA,All New City IVTEC S,35
2010-02,HONDA,All New City IVTEC S,40
2010-03,HONDA,All New City IVTEC S,44
2010-04,HONDA,All New City IVTEC S,25
2010-05,HONDA,All New City IVTEC S,36
2010-06,HONDA,All New City IVTEC S,24
2010-07,HONDA,All New City IVTEC S,63
2010-08,HONDA,All New City IVTEC S,62
2010-09,HONDA,All New City IVTEC S,1
2010-010,HONDA,All New City IVTEC S,-
2010-011,HONDA,All New City IVTEC S,25
2010-012,HONDA,All New City IVTEC S,5
2010-01,HONDA,All New City IVTEC S AT,40
2010-02,HONDA,All New City IVTEC S AT,37
2010-03,HONDA,All New City IVTEC S AT,55
2010-04,HONDA,All New City IVTEC S AT,29
2010-05,HONDA,All New City IVTEC S AT,48
2010-06,HONDA,All New City IVTEC S AT,80
2010-07,HONDA,All New City IVTEC S AT,69
2010-08,HONDA,All New City IVTEC S AT,87
2010-09,HONDA,All New City IVTEC S AT,4
2010-010,HONDA,All New City IVTEC S AT,28
2010-011,HONDA,All New City IVTEC S AT,29
2010-012,HONDA,All New City IVTEC S AT,4
2010-01,HONDA,All New City IVTEC E,45
2010-02,HONDA,All New City IVTEC E,93
2010-03,HONDA,All New City IVTEC E,43
2010-04,HONDA,All New City IVTEC E,62
2010-05,HONDA,All New City IVTEC E,83
2010-06,HONDA,All New City IVTEC E,122
2010-07,HONDA,All New City IVTEC E,138
2010-08,HONDA,All New City IVTEC E,71
2010-09,HONDA,All New City IVTEC E,79
2010-010,HONDA,All New City IVTEC E,65
2010-011,HONDA,All New City IVTEC E,60
2010-012,HONDA,All New City IVTEC E,34
2010-01,HONDA,All New City IVTEC E AT,98
2010-02,HONDA,All New City IVTEC E AT,131
2010-03,HONDA,All New City IVTEC E AT,109
2010-04,HONDA,All New City IVTEC E AT,139
2010-05,HONDA,All New City IVTEC E AT,94
2010-06,HONDA,All New City IVTEC E AT,226
2010-07,HONDA,All New City IVTEC E AT,179
2010-08,HONDA,All New City IVTEC E AT,188
2010-09,HONDA,All New City IVTEC E AT,154
2010-010,HONDA,All New City IVTEC E AT,249
2010-011,HONDA,All New City IVTEC E AT,169
2010-012,HONDA,All New City IVTEC E AT,80
2010-01,KIA,Rio Taxi,-
2010-02,KIA,Rio Taxi,-
2010-03,KIA,Rio Taxi,50
2010-04,KIA,Rio Taxi,40
2010-05,KIA,Rio Taxi,-
2010-06,KIA,Rio Taxi,36
2010-07,KIA,Rio Taxi,91
2010-08,KIA,Rio Taxi,94
2010-09,KIA,Rio Taxi,-
2010-010,KIA,Rio Taxi,54
2010-011,KIA,Rio Taxi,133
2010-012,KIA,Rio Taxi,184
2010-01,KIA,New Pride,-
2010-02,KIA,New Pride,-
2010-03,KIA,New Pride,-
2010-04,KIA,New Pride,-
2010-05,KIA,New Pride,-
2010-06,KIA,New Pride,-
2010-07,KIA,New Pride,15
2010-08,KIA,New Pride,-
2010-09,KIA,New Pride,-
2010-010,KIA,New Pride,-
2010-011,KIA,New Pride,-
2010-012,KIA,New Pride,-
2010-01,MAZDA,RX-8,2
2010-02,MAZDA,RX-8,2
2010-03,MAZDA,RX-8,5
2010-04,MAZDA,RX-8,5
2010-05,MAZDA,RX-8,3
2010-06,MAZDA,RX-8,5
2010-07,MAZDA,RX-8,3
2010-08,MAZDA,RX-8,5
2010-09,MAZDA,RX-8,4
2010-010,MAZDA,RX-8,3
2010-011,MAZDA,RX-8,5
2010-012,MAZDA,RX-8,1
2010-01,MAZDA,Mazda2 - S,-
2010-02,MAZDA,Mazda2 - S,-
2010-03,MAZDA,Mazda2 - S,-
2010-04,MAZDA,Mazda2 - S,3
2010-05,MAZDA,Mazda2 - S,1
2010-06,MAZDA,Mazda2 - S,2
2010-07,MAZDA,Mazda2 - S,6
2010-08,MAZDA,Mazda2 - S,8
2010-09,MAZDA,Mazda2 - S,4
2010-010,MAZDA,Mazda2 - S,6
2010-011,MAZDA,Mazda2 - S,-
2010-012,MAZDA,Mazda2 - S,1
2010-01,MAZDA,Mazda2 - S AT,-
2010-02,MAZDA,Mazda2 - S AT,-
2010-03,MAZDA,Mazda2 - S AT,-
2010-04,MAZDA,Mazda2 - S AT,3
2010-05,MAZDA,Mazda2 - S AT,5
2010-06,MAZDA,Mazda2 - S AT,4
2010-07,MAZDA,Mazda2 - S AT,15
2010-08,MAZDA,Mazda2 - S AT,8
2010-09,MAZDA,Mazda2 - S AT,9
2010-010,MAZDA,Mazda2 - S AT,7
2010-011,MAZDA,Mazda2 - S AT,2
2010-012,MAZDA,Mazda2 - S AT,1
2010-01,MAZDA,Mazda2 - R,-
2010-02,MAZDA,Mazda2 - R,-
2010-03,MAZDA,Mazda2 - R,-
2010-04,MAZDA,Mazda2 - R,5
2010-05,MAZDA,Mazda2 - R,4
2010-06,MAZDA,Mazda2 - R,9
2010-07,MAZDA,Mazda2 - R,8
2010-08,MAZDA,Mazda2 - R,6
2010-09,MAZDA,Mazda2 - R,3
2010-010,MAZDA,Mazda2 - R,7
2010-011,MAZDA,Mazda2 - R,7
2010-012,MAZDA,Mazda2 - R,2
2010-01,MAZDA,Mazda2 - R AT,-
2010-02,MAZDA,Mazda2 - R AT,-
2010-03,MAZDA,Mazda2 - R AT,-
2010-04,MAZDA,Mazda2 - R AT,21
2010-05,MAZDA,Mazda2 - R AT,28
2010-06,MAZDA,Mazda2 - R AT,19
2010-07,MAZDA,Mazda2 - R AT,35
2010-08,MAZDA,Mazda2 - R AT,23
2010-09,MAZDA,Mazda2 - R AT,24
2010-010,MAZDA,Mazda2 - R AT,23
2010-011,MAZDA,Mazda2 - R AT,27
2010-012,MAZDA,Mazda2 - R AT,23
2010-01,PROTON,WIRA Taxi,75
2010-02,PROTON,WIRA Taxi,-
2010-03,PROTON,WIRA Taxi,1
2010-04,PROTON,WIRA Taxi,-
2010-05,PROTON,WIRA Taxi,-
2010-06,PROTON,WIRA Taxi,-
2010-07,PROTON,WIRA Taxi,-
2010-08,PROTON,WIRA Taxi,-
2010-09,PROTON,WIRA Taxi,-
2010-010,PROTON,WIRA Taxi,-
2010-011,PROTON,WIRA Taxi,-
2010-012,PROTON,WIRA Taxi,-
2010-01,PROTON,S a g a MT,41
2010-02,PROTON,S a g a MT,8
2010-03,PROTON,S a g a MT,8
2010-04,PROTON,S a g a MT,12
2010-05,PROTON,S a g a MT,10
2010-06,PROTON,S a g a MT,7
2010-07,PROTON,S a g a MT,10
2010-08,PROTON,S a g a MT,11
2010-09,PROTON,S a g a MT,9
2010-010,PROTON,S a g a MT,22
2010-011,PROTON,S a g a MT,20
2010-012,PROTON,S a g a MT,-
2010-01,PROTON,S a g a,11
2010-02,PROTON,S a g a,8
2010-03,PROTON,S a g a,4
2010-04,PROTON,S a g a,1
2010-05,PROTON,S a g a,5
2010-06,PROTON,S a g a,4
2010-07,PROTON,S a g a,5
2010-08,PROTON,S a g a,22
2010-09,PROTON,S a g a,-
2010-010,PROTON,S a g a,6
2010-011,PROTON,S a g a,-
2010-012,PROTON,S a g a,2
2010-01,SUZUKI,Neo Baleno,3
2010-02,SUZUKI,Neo Baleno,20
2010-03,SUZUKI,Neo Baleno,-
2010-04,SUZUKI,Neo Baleno,-
2010-05,SUZUKI,Neo Baleno,-
2010-06,SUZUKI,Neo Baleno,-
2010-07,SUZUKI,Neo Baleno,5
2010-08,SUZUKI,Neo Baleno,11
2010-09,SUZUKI,Neo Baleno,-
2010-010,SUZUKI,Neo Baleno,1
2010-011,SUZUKI,Neo Baleno,-
2010-012,SUZUKI,Neo Baleno,-
2010-01,SUZUKI,Neo Baleno,8
2010-02,SUZUKI,Neo Baleno,9
2010-03,SUZUKI,Neo Baleno,7
2010-04,SUZUKI,Neo Baleno,4
2010-05,SUZUKI,Neo Baleno,3
2010-06,SUZUKI,Neo Baleno,-
2010-07,SUZUKI,Neo Baleno,2
2010-08,SUZUKI,Neo Baleno,12
2010-09,SUZUKI,Neo Baleno,2
2010-010,SUZUKI,Neo Baleno,-
2010-011,SUZUKI,Neo Baleno,17
2010-012,SUZUKI,Neo Baleno,31
2010-01,TOYOTA,IQ,-
2010-02,TOYOTA,IQ,-
2010-03,TOYOTA,IQ,-
2010-04,TOYOTA,IQ,-
2010-05,TOYOTA,IQ,1
2010-06,TOYOTA,IQ,-
2010-07,TOYOTA,IQ,-
2010-08,TOYOTA,IQ,-
2010-09,TOYOTA,IQ,-
2010-010,TOYOTA,IQ,-
2010-011,TOYOTA,IQ,-
2010-012,TOYOTA,IQ,-
2010-01,TOYOTA,Prius,-
2010-02,TOYOTA,Prius,3
2010-03,TOYOTA,Prius,-
2010-04,TOYOTA,Prius,-
2010-05,TOYOTA,Prius,1
2010-06,TOYOTA,Prius,-
2010-07,TOYOTA,Prius,4
2010-08,TOYOTA,Prius,1
2010-09,TOYOTA,Prius,-
2010-010,TOYOTA,Prius,-
2010-011,TOYOTA,Prius,-
2010-012,TOYOTA,Prius,2
2010-01,TOYOTA,Limo Taxi,55
2010-02,TOYOTA,Limo Taxi,325
2010-03,TOYOTA,Limo Taxi,581
2010-04,TOYOTA,Limo Taxi,681
2010-05,TOYOTA,Limo Taxi,785
2010-06,TOYOTA,Limo Taxi,790
2010-07,TOYOTA,Limo Taxi,958
2010-08,TOYOTA,Limo Taxi,615
2010-09,TOYOTA,Limo Taxi,918
2010-010,TOYOTA,Limo Taxi,816
2010-011,TOYOTA,Limo Taxi,611
2010-012,TOYOTA,Limo Taxi,383
2010-01,TOYOTA,Vios E,38
2010-02,TOYOTA,Vios E,34
2010-03,TOYOTA,Vios E,16
2010-04,TOYOTA,Vios E,31
2010-05,TOYOTA,Vios E,30
2010-06,TOYOTA,Vios E,23
2010-07,TOYOTA,Vios E,16
2010-08,TOYOTA,Vios E,17
2010-09,TOYOTA,Vios E,18
2010-010,TOYOTA,Vios E,20
2010-011,TOYOTA,Vios E,21
2010-012,TOYOTA,Vios E,22
2010-01,TOYOTA,Vios G,150
2010-02,TOYOTA,Vios G,165
2010-03,TOYOTA,Vios G,155
2010-04,TOYOTA,Vios G,207
2010-05,TOYOTA,Vios G,220
2010-06,TOYOTA,Vios G,199
2010-07,TOYOTA,Vios G,199
2010-08,TOYOTA,Vios G,175
2010-09,TOYOTA,Vios G,167
2010-010,TOYOTA,Vios G,184
2010-011,TOYOTA,Vios G,169
2010-012,TOYOTA,Vios G,185
2010-01,TOYOTA,Vios G,101
2010-02,TOYOTA,Vios G,130
2010-03,TOYOTA,Vios G,110
2010-04,TOYOTA,Vios G,182
2010-05,TOYOTA,Vios G,163
2010-06,TOYOTA,Vios G,179
2010-07,TOYOTA,Vios G,138
2010-08,TOYOTA,Vios G,163
2010-09,TOYOTA,Vios G,130
2010-010,TOYOTA,Vios G,197
2010-011,TOYOTA,Vios G,180
2010-012,TOYOTA,Vios G,171
2010-01,AUDI,A4 T  Fsi,3
2010-02,AUDI,A4 T  Fsi,2
2010-03,AUDI,A4 T  Fsi,3
2010-04,AUDI,A4 T  Fsi,2
2010-05,AUDI,A4 T  Fsi,2
2010-06,AUDI,A4 T  Fsi,8
2010-07,AUDI,A4 T  Fsi,6
2010-08,AUDI,A4 T  Fsi,7
2010-09,AUDI,A4 T  Fsi,1
2010-010,AUDI,A4 T  Fsi,5
2010-011,AUDI,A4 T  Fsi,8
2010-012,AUDI,A4 T  Fsi,15
2010-01,AUDI,A6 2.0 Fsi,-
2010-02,AUDI,A6 2.0 Fsi,1
2010-03,AUDI,A6 2.0 Fsi,-
2010-04,AUDI,A6 2.0 Fsi,-
2010-05,AUDI,A6 2.0 Fsi,-
2010-06,AUDI,A6 2.0 Fsi,1
2010-07,AUDI,A6 2.0 Fsi,-
2010-08,AUDI,A6 2.0 Fsi,1
2010-09,AUDI,A6 2.0 Fsi,2
2010-010,AUDI,A6 2.0 Fsi,5
2010-011,AUDI,A6 2.0 Fsi,1
2010-012,AUDI,A6 2.0 Fsi,1
2010-01,AUDI,A6 2.0 Avant,-
2010-02,AUDI,A6 2.0 Avant,-
2010-03,AUDI,A6 2.0 Avant,-
2010-04,AUDI,A6 2.0 Avant,-
2010-05,AUDI,A6 2.0 Avant,-
2010-06,AUDI,A6 2.0 Avant,-
2010-07,AUDI,A6 2.0 Avant,-
2010-08,AUDI,A6 2.0 Avant,-
2010-09,AUDI,A6 2.0 Avant,-
2010-010,AUDI,A6 2.0 Avant,-
2010-011,AUDI,A6 2.0 Avant,-
2010-012,AUDI,A6 2.0 Avant,-
2010-01,AUDI,A6 3.0 Quattro,-
2010-02,AUDI,A6 3.0 Quattro,2
2010-03,AUDI,A6 3.0 Quattro,-
2010-04,AUDI,A6 3.0 Quattro,-
2010-05,AUDI,A6 3.0 Quattro,-
2010-06,AUDI,A6 3.0 Quattro,-
2010-07,AUDI,A6 3.0 Quattro,1
2010-08,AUDI,A6 3.0 Quattro,1
2010-09,AUDI,A6 3.0 Quattro,-
2010-010,AUDI,A6 3.0 Quattro,1
2010-011,AUDI,A6 3.0 Quattro,1
