waktu,brand,tipe,sale
2012-01,CHEVROLET,Kalos LS,23
2012-02,CHEVROLET,Kalos LS,99
2012-03,CHEVROLET,Kalos LS,64
2012-04,CHEVROLET,Kalos LS,64
2012-05,CHEVROLET,Kalos LS,230
2012-06,CHEVROLET,Kalos LS,138
2012-07,CHEVROLET,Kalos LS,72
2012-08,CHEVROLET,Kalos LS,106
2012-09,CHEVROLET,Kalos LS,136
2012-010,CHEVROLET,Kalos LS,29
2012-011,CHEVROLET,Kalos LS,147
2012-012,CHEVROLET,Kalos LS,177
2012-01,CHEVROLET,Kalos LT,-
2012-02,CHEVROLET,Kalos LT,-
2012-03,CHEVROLET,Kalos LT,-
2012-04,CHEVROLET,Kalos LT,-
2012-05,CHEVROLET,Kalos LT,-
2012-06,CHEVROLET,Kalos LT,-
2012-07,CHEVROLET,Kalos LT,-
2012-08,CHEVROLET,Kalos LT,-
2012-09,CHEVROLET,Kalos LT,-
2012-010,CHEVROLET,Kalos LT,-
2012-011,CHEVROLET,Kalos LT,-
2012-012,CHEVROLET,Kalos LT,-
2012-01,CHEVROLET,Kalos LT AT,-
2012-02,CHEVROLET,Kalos LT AT,-
2012-03,CHEVROLET,Kalos LT AT,-
2012-04,CHEVROLET,Kalos LT AT,-
2012-05,CHEVROLET,Kalos LT AT,-
2012-06,CHEVROLET,Kalos LT AT,-
2012-07,CHEVROLET,Kalos LT AT,-
2012-08,CHEVROLET,Kalos LT AT,-
2012-09,CHEVROLET,Kalos LT AT,-
2012-010,CHEVROLET,Kalos LT AT,-
2012-011,CHEVROLET,Kalos LT AT,-
2012-012,CHEVROLET,Kalos LT AT,-
2012-01,GEELY,MK GS,42
2012-02,GEELY,MK GS,-
2012-03,GEELY,MK GS,-
2012-04,GEELY,MK GS,-
2012-05,GEELY,MK GS,1
2012-06,GEELY,MK GS,-
2012-07,GEELY,MK GS,-
2012-08,GEELY,MK GS,71
2012-09,GEELY,MK GS,91
2012-010,GEELY,MK GS,46
2012-011,GEELY,MK GS,50
2012-012,GEELY,MK GS,120
2012-01,GEELY,MK GT,103
2012-02,GEELY,MK GT,1
2012-03,GEELY,MK GT,-
2012-04,GEELY,MK GT,-
2012-05,GEELY,MK GT,1
2012-06,GEELY,MK GT,-
2012-07,GEELY,MK GT,-
2012-08,GEELY,MK GT,1
2012-09,GEELY,MK GT,-
2012-010,GEELY,MK GT,1
2012-011,GEELY,MK GT,1
2012-012,GEELY,MK GT,-
2012-01,HONDA,All New City IVTEC S,-
2012-02,HONDA,All New City IVTEC S,-
2012-03,HONDA,All New City IVTEC S,-
2012-04,HONDA,All New City IVTEC S,-
2012-05,HONDA,All New City IVTEC S,15
2012-06,HONDA,All New City IVTEC S,15
2012-07,HONDA,All New City IVTEC S,6
2012-08,HONDA,All New City IVTEC S,5
2012-09,HONDA,All New City IVTEC S,76
2012-010,HONDA,All New City IVTEC S,3
2012-011,HONDA,All New City IVTEC S,30
2012-012,HONDA,All New City IVTEC S,-
2012-01,HONDA,All New City IVTEC S AT,-
2012-02,HONDA,All New City IVTEC S AT,-
2012-03,HONDA,All New City IVTEC S AT,-
2012-04,HONDA,All New City IVTEC S AT,-
2012-05,HONDA,All New City IVTEC S AT,41
2012-06,HONDA,All New City IVTEC S AT,46
2012-07,HONDA,All New City IVTEC S AT,61
2012-08,HONDA,All New City IVTEC S AT,2
2012-09,HONDA,All New City IVTEC S AT,25
2012-010,HONDA,All New City IVTEC S AT,33
2012-011,HONDA,All New City IVTEC S AT,1
2012-012,HONDA,All New City IVTEC S AT,-
2012-01,HONDA,All New City IVTEC E,-
2012-02,HONDA,All New City IVTEC E,-
