waktu,brand,tipe,sale
2020-01,HONDA,All New  City  IVTEC E AT,25
2020-02,HONDA,All New  City  IVTEC E AT,29
2020-03,HONDA,All New  City  IVTEC E AT,14
2020-04,HONDA,All New  City  IVTEC E AT,5
2020-05,HONDA,All New  City  IVTEC E AT,-
2020-06,HONDA,All New  City  IVTEC E AT,1
2020-07,HONDA,All New  City  IVTEC E AT,5
2020-08,HONDA,All New  City  IVTEC E AT,17
2020-09,HONDA,All New  City  IVTEC E AT,16
2020-010,HONDA,All New  City  IVTEC E AT,17
2020-011,HONDA,All New  City  IVTEC E AT,15
2020-012,HONDA,All New  City  IVTEC E AT,25
2020-01,HONDA,All New  City  IVTEC ES AT,-
2020-02,HONDA,All New  City  IVTEC ES AT,-
2020-03,HONDA,All New  City  IVTEC ES AT,-
2020-04,HONDA,All New  City  IVTEC ES AT,-
2020-05,HONDA,All New  City  IVTEC ES AT,-
2020-06,HONDA,All New  City  IVTEC ES AT,-
2020-07,HONDA,All New  City  IVTEC ES AT,-
2020-08,HONDA,All New  City  IVTEC ES AT,-
2020-09,HONDA,All New  City  IVTEC ES AT,-
2020-010,HONDA,All New  City  IVTEC ES AT,-
2020-011,HONDA,All New  City  IVTEC ES AT,-
2020-012,HONDA,All New  City  IVTEC ES AT,-
2020-01,HONDA,All New  Civic,-
2020-02,HONDA,All New  Civic,111
2020-03,HONDA,All New  Civic,56
2020-04,HONDA,All New  Civic,7
2020-05,HONDA,All New  Civic,-
2020-06,HONDA,All New  Civic,2
2020-07,HONDA,All New  Civic,13
2020-08,HONDA,All New  Civic,32
2020-09,HONDA,All New  Civic,39
2020-010,HONDA,All New  Civic,31
2020-011,HONDA,All New  Civic,27
2020-012,HONDA,All New  Civic,46
2020-01,HONDA,All New  Civic  Prestige,-
2020-02,HONDA,All New  Civic  Prestige,-
2020-03,HONDA,All New  Civic  Prestige,-
2020-04,HONDA,All New  Civic  Prestige,-
2020-05,HONDA,All New  Civic  Prestige,-
2020-06,HONDA,All New  Civic  Prestige,-
2020-07,HONDA,All New  Civic  Prestige,-
2020-08,HONDA,All New  Civic  Prestige,-
2020-09,HONDA,All New  Civic  Prestige,-
2020-010,HONDA,All New  Civic  Prestige,-
2020-011,HONDA,All New  Civic  Prestige,-
2020-012,HONDA,All New  Civic  Prestige,-
2020-01,HYUNDAI - HIM,Excel III,-
2020-02,HYUNDAI - HIM,Excel III,-
2020-03,HYUNDAI - HIM,Excel III,-
2020-04,HYUNDAI - HIM,Excel III,-
2020-05,HYUNDAI - HIM,Excel III,-
2020-06,HYUNDAI - HIM,Excel III,-
2020-07,HYUNDAI - HIM,Excel III,-
2020-08,HYUNDAI - HIM,Excel III,-
2020-09,HYUNDAI - HIM,Excel III,-
2020-010,HYUNDAI - HIM,Excel III,-
2020-011,HYUNDAI - HIM,Excel III,-
2020-012,HYUNDAI - HIM,Excel III,-
2020-01,HYUNDAI - HIM,Ioniq EV,20
2020-02,HYUNDAI - HIM,Ioniq EV,2
2020-03,HYUNDAI - HIM,Ioniq EV,-
2020-04,HYUNDAI - HIM,Ioniq EV,-
2020-05,HYUNDAI - HIM,Ioniq EV,-
2020-06,HYUNDAI - HIM,Ioniq EV,-
2020-07,HYUNDAI - HIM,Ioniq EV,-
2020-08,HYUNDAI - HIM,Ioniq EV,-
2020-09,HYUNDAI - HIM,Ioniq EV,-
2020-010,HYUNDAI - HIM,Ioniq EV,-
2020-011,HYUNDAI - HIM,Ioniq EV,-
2020-012,HYUNDAI - HIM,Ioniq EV,-
2020-01,HYUNDAI - HMID,Ioniq EV  Prime,-
2020-02,HYUNDAI - HMID,Ioniq EV  Prime,-
2020-03,HYUNDAI - HMID,Ioniq EV  Prime,-
2020-04,HYUNDAI - HMID,Ioniq EV  Prime,-
2020-05,HYUNDAI - HMID,Ioniq EV  Prime,-
2020-06,HYUNDAI - HMID,Ioniq EV  Prime,-
2020-07,HYUNDAI - HMID,Ioniq EV  Prime,-
2020-08,HYUNDAI - HMID,Ioniq EV  Prime,-
2020-09,HYUNDAI - HMID,Ioniq EV  Prime,-
2020-010,HYUNDAI - HMID,Ioniq EV  Prime,5
2020-011,HYUNDAI - HMID,Ioniq EV  Prime,4
2020-012,HYUNDAI - HMID,Ioniq EV  Prime,5
2020-01,HYUNDAI - HMID,Ioniq EV  Signature,-
2020-02,HYUNDAI - HMID,Ioniq EV  Signature,-
2020-03,HYUNDAI - HMID,Ioniq EV  Signature,-
2020-04,HYUNDAI - HMID,Ioniq EV  Signature,-
2020-05,HYUNDAI - HMID,Ioniq EV  Signature,-
2020-06,HYUNDAI - HMID,Ioniq EV  Signature,-
2020-07,HYUNDAI - HMID,Ioniq EV  Signature,-
2020-08,HYUNDAI - HMID,Ioniq EV  Signature,-
2020-09,HYUNDAI - HMID,Ioniq EV  Signature,-
2020-010,HYUNDAI - HMID,Ioniq EV  Signature,29
2020-011,HYUNDAI - HMID,Ioniq EV  Signature,11
2020-012,HYUNDAI - HMID,Ioniq EV  Signature,5
2020-01,MERCEDES-BENZ - PC,A  200 Sedan (V177),1
2020-02,MERCEDES-BENZ - PC,A  200 Sedan (V177),9
2020-03,MERCEDES-BENZ - PC,A  200 Sedan (V177),29
2020-04,MERCEDES-BENZ - PC,A  200 Sedan (V177),2
2020-05,MERCEDES-BENZ - PC,A  200 Sedan (V177),-
2020-06,MERCEDES-BENZ - PC,A  200 Sedan (V177),2
2020-07,MERCEDES-BENZ - PC,A  200 Sedan (V177),3
2020-08,MERCEDES-BENZ - PC,A  200 Sedan (V177),7
2020-09,MERCEDES-BENZ - PC,A  200 Sedan (V177),9
2020-010,MERCEDES-BENZ - PC,A  200 Sedan (V177),4
2020-011,MERCEDES-BENZ - PC,A  200 Sedan (V177),13
2020-012,MERCEDES-BENZ - PC,A  200 Sedan (V177),-
2020-01,MERCEDES-BENZ - PC,CLA  200 AMG Line (C118),-
2020-02,MERCEDES-BENZ - PC,CLA  200 AMG Line (C118),-
2020-03,MERCEDES-BENZ - PC,CLA  200 AMG Line (C118),-
2020-04,MERCEDES-BENZ - PC,CLA  200 AMG Line (C118),16
2020-05,MERCEDES-BENZ - PC,CLA  200 AMG Line (C118),29
2020-06,MERCEDES-BENZ - PC,CLA  200 AMG Line (C118),22
2020-07,MERCEDES-BENZ - PC,CLA  200 AMG Line (C118),8
2020-08,MERCEDES-BENZ - PC,CLA  200 AMG Line (C118),20
2020-09,MERCEDES-BENZ - PC,CLA  200 AMG Line (C118),10
2020-010,MERCEDES-BENZ - PC,CLA  200 AMG Line (C118),3
2020-011,MERCEDES-BENZ - PC,CLA  200 AMG Line (C118),1
2020-012,MERCEDES-BENZ - PC,CLA  200 AMG Line (C118),-
2020-01,TOYOTA,Prius,10
2020-02,TOYOTA,Prius,-
2020-03,TOYOTA,Prius,-
2020-04,TOYOTA,Prius,-
2020-05,TOYOTA,Prius,-
2020-06,TOYOTA,Prius,-
2020-07,TOYOTA,Prius,-
2020-08,TOYOTA,Prius,-
2020-09,TOYOTA,Prius,-
2020-010,TOYOTA,Prius,-
2020-011,TOYOTA,Prius,-
2020-012,TOYOTA,Prius,-9
2020-01,TOYOTA,Limo Taxi,-
2020-02,TOYOTA,Limo Taxi,-
2020-03,TOYOTA,Limo Taxi,-
