waktu,brand,tipe,sale
2022-01,HONDA,All New  City,57
2022-02,HONDA,All New  City,101
2022-03,HONDA,All New  City,136
2022-04,HONDA,All New  City,58
2022-05,HONDA,All New  City,34
2022-06,HONDA,All New  City,16
2022-07,HONDA,All New  City,20
2022-08,HONDA,All New  City,73
2022-09,HONDA,All New  City,42
2022-010,HONDA,All New  City,58
2022-011,HONDA,All New  City,22
2022-012,HONDA,All New  City,13
2022-01,HONDA,All New  Civic,80
2022-02,HONDA,All New  Civic,158
2022-03,HONDA,All New  Civic,64
2022-04,HONDA,All New  Civic,57
2022-05,HONDA,All New  Civic,30
2022-06,HONDA,All New  Civic,-
2022-07,HONDA,All New  Civic,87
2022-08,HONDA,All New  Civic,4
2022-09,HONDA,All New  Civic,88
2022-010,HONDA,All New  Civic,1
2022-011,HONDA,All New  Civic,1
2022-012,HONDA,All New  Civic,60
2022-01,HYUNDAI HMID,Ioniq EV  Prime,-
2022-02,HYUNDAI HMID,Ioniq EV  Prime,-
2022-03,HYUNDAI HMID,Ioniq EV  Prime,-
2022-04,HYUNDAI HMID,Ioniq EV  Prime,-
2022-05,HYUNDAI HMID,Ioniq EV  Prime,-
2022-06,HYUNDAI HMID,Ioniq EV  Prime,-
2022-07,HYUNDAI HMID,Ioniq EV  Prime,-
2022-08,HYUNDAI HMID,Ioniq EV  Prime,4
2022-09,HYUNDAI HMID,Ioniq EV  Prime,-
2022-010,HYUNDAI HMID,Ioniq EV  Prime,-
2022-011,HYUNDAI HMID,Ioniq EV  Prime,-
2022-012,HYUNDAI HMID,Ioniq EV  Prime,-
2022-01,HYUNDAI HMID,Ioniq EV  Signature,17
2022-02,HYUNDAI HMID,Ioniq EV  Signature,1
2022-03,HYUNDAI HMID,Ioniq EV  Signature,6
2022-04,HYUNDAI HMID,Ioniq EV  Signature,2
2022-05,HYUNDAI HMID,Ioniq EV  Signature,1
2022-06,HYUNDAI HMID,Ioniq EV  Signature,2
2022-07,HYUNDAI HMID,Ioniq EV  Signature,-
2022-08,HYUNDAI HMID,Ioniq EV  Signature,12
2022-09,HYUNDAI HMID,Ioniq EV  Signature,-
2022-010,HYUNDAI HMID,Ioniq EV  Signature,-
2022-011,HYUNDAI HMID,Ioniq EV  Signature,-
2022-012,HYUNDAI HMID,Ioniq EV  Signature,-
2022-01,HYUNDAI HMID,Genesis  G80 EV,-
2022-02,HYUNDAI HMID,Genesis  G80 EV,-
2022-03,HYUNDAI HMID,Genesis  G80 EV,1
2022-04,HYUNDAI HMID,Genesis  G80 EV,-
2022-05,HYUNDAI HMID,Genesis  G80 EV,-
2022-06,HYUNDAI HMID,Genesis  G80 EV,9
2022-07,HYUNDAI HMID,Genesis  G80 EV,-
2022-08,HYUNDAI HMID,Genesis  G80 EV,-
2022-09,HYUNDAI HMID,Genesis  G80 EV,-
2022-010,HYUNDAI HMID,Genesis  G80 EV,-
2022-011,HYUNDAI HMID,Genesis  G80 EV,-
2022-012,HYUNDAI HMID,Genesis  G80 EV,124
2022-01,MERCEDES BENZ PC,CLA  200 AMG Line (C118),-
2022-02,MERCEDES BENZ PC,CLA  200 AMG Line (C118),-
2022-03,MERCEDES BENZ PC,CLA  200 AMG Line (C118),6
2022-04,MERCEDES BENZ PC,CLA  200 AMG Line (C118),-
2022-05,MERCEDES BENZ PC,CLA  200 AMG Line (C118),17
2022-06,MERCEDES BENZ PC,CLA  200 AMG Line (C118),-
2022-07,MERCEDES BENZ PC,CLA  200 AMG Line (C118),11
2022-08,MERCEDES BENZ PC,CLA  200 AMG Line (C118),28
2022-09,MERCEDES BENZ PC,CLA  200 AMG Line (C118),10
2022-010,MERCEDES BENZ PC,CLA  200 AMG Line (C118),5
2022-011,MERCEDES BENZ PC,CLA  200 AMG Line (C118),-
2022-012,MERCEDES BENZ PC,CLA  200 AMG Line (C118),-
2022-01,MERCEDES BENZ PC,AMG CLA  45 S,-
2022-02,MERCEDES BENZ PC,AMG CLA  45 S,-
2022-03,MERCEDES BENZ PC,AMG CLA  45 S,19
2022-04,MERCEDES BENZ PC,AMG CLA  45 S,2
2022-05,MERCEDES BENZ PC,AMG CLA  45 S,1
2022-06,MERCEDES BENZ PC,AMG CLA  45 S,4
2022-07,MERCEDES BENZ PC,AMG CLA  45 S,7
2022-08,MERCEDES BENZ PC,AMG CLA  45 S,7
2022-09,MERCEDES BENZ PC,AMG CLA  45 S,1
2022-010,MERCEDES BENZ PC,AMG CLA  45 S,2
2022-011,MERCEDES BENZ PC,AMG CLA  45 S,2
2022-012,MERCEDES BENZ PC,AMG CLA  45 S,1
2022-01,MERCEDES BENZ PC,C 200 AVA  Line (W206),-
2022-02,MERCEDES BENZ PC,C 200 AVA  Line (W206),-
2022-03,MERCEDES BENZ PC,C 200 AVA  Line (W206),-
2022-04,MERCEDES BENZ PC,C 200 AVA  Line (W206),-
2022-05,MERCEDES BENZ PC,C 200 AVA  Line (W206),-
2022-06,MERCEDES BENZ PC,C 200 AVA  Line (W206),-
2022-07,MERCEDES BENZ PC,C 200 AVA  Line (W206),58
2022-08,MERCEDES BENZ PC,C 200 AVA  Line (W206),27
2022-09,MERCEDES BENZ PC,C 200 AVA  Line (W206),60
2022-010,MERCEDES BENZ PC,C 200 AVA  Line (W206),11
2022-011,MERCEDES BENZ PC,C 200 AVA  Line (W206),38
2022-012,MERCEDES BENZ PC,C 200 AVA  Line (W206),19
2022-01,MAZDA,New  Mazda 2 Sedan,-
2022-02,MAZDA,New  Mazda 2 Sedan,-
2022-03,MAZDA,New  Mazda 2 Sedan,-
2022-04,MAZDA,New  Mazda 2 Sedan,-
2022-05,MAZDA,New  Mazda 2 Sedan,-
2022-06,MAZDA,New  Mazda 2 Sedan,-
2022-07,MAZDA,New  Mazda 2 Sedan,47
2022-08,MAZDA,New  Mazda 2 Sedan,64
2022-09,MAZDA,New  Mazda 2 Sedan,88
2022-010,MAZDA,New  Mazda 2 Sedan,32
2022-011,MAZDA,New  Mazda 2 Sedan,17
2022-012,MAZDA,New  Mazda 2 Sedan,26
2022-01,MORRIS GARAGE,5 GT Activate 1.5L,-
2022-02,MORRIS GARAGE,5 GT Activate 1.5L,-
2022-03,MORRIS GARAGE,5 GT Activate 1.5L,-
2022-04,MORRIS GARAGE,5 GT Activate 1.5L,-
2022-05,MORRIS GARAGE,5 GT Activate 1.5L,-
2022-06,MORRIS GARAGE,5 GT Activate 1.5L,-
2022-07,MORRIS GARAGE,5 GT Activate 1.5L,-
2022-08,MORRIS GARAGE,5 GT Activate 1.5L,-
2022-09,MORRIS GARAGE,5 GT Activate 1.5L,1
2022-010,MORRIS GARAGE,5 GT Activate 1.5L,3
2022-011,MORRIS GARAGE,5 GT Activate 1.5L,2
2022-012,MORRIS GARAGE,5 GT Activate 1.5L,1
2022-01,MORRIS GARAGE,5 GT Ignite 1.5L,-
2022-02,MORRIS GARAGE,5 GT Ignite 1.5L,-
2022-03,MORRIS GARAGE,5 GT Ignite 1.5L,-
2022-04,MORRIS GARAGE,5 GT Ignite 1.5L,-
2022-05,MORRIS GARAGE,5 GT Ignite 1.5L,-
2022-06,MORRIS GARAGE,5 GT Ignite 1.5L,-
2022-07,MORRIS GARAGE,5 GT Ignite 1.5L,48
2022-08,MORRIS GARAGE,5 GT Ignite 1.5L,72
2022-09,MORRIS GARAGE,5 GT Ignite 1.5L,30
2022-010,MORRIS GARAGE,5 GT Ignite 1.5L,-
2022-011,MORRIS GARAGE,5 GT Ignite 1.5L,-
2022-012,MORRIS GARAGE,5 GT Ignite 1.5L,32
2022-01,MORRIS GARAGE,5 GT Magnify  1.5L,-
2022-02,MORRIS GARAGE,5 GT Magnify  1.5L,-
2022-03,MORRIS GARAGE,5 GT Magnify  1.5L,-
2022-04,MORRIS GARAGE,5 GT Magnify  1.5L,-
2022-05,MORRIS GARAGE,5 GT Magnify  1.5L,-
2022-06,MORRIS GARAGE,5 GT Magnify  1.5L,-
2022-07,MORRIS GARAGE,5 GT Magnify  1.5L,-
2022-08,MORRIS GARAGE,5 GT Magnify  1.5L,-
2022-09,MORRIS GARAGE,5 GT Magnify  1.5L,53
2022-010,MORRIS GARAGE,5 GT Magnify  1.5L,14
2022-011,MORRIS GARAGE,5 GT Magnify  1.5L,42
2022-012,MORRIS GARAGE,5 GT Magnify  1.5L,21
2022-01,TOYOTA,VIOS 1.5 E,-
2022-02,TOYOTA,VIOS 1.5 E,-
2022-03,TOYOTA,VIOS 1.5 E,12
2022-04,TOYOTA,VIOS 1.5 E,3
2022-05,TOYOTA,VIOS 1.5 E,-
2022-06,TOYOTA,VIOS 1.5 E,-
2022-07,TOYOTA,VIOS 1.5 E,-
2022-08,TOYOTA,VIOS 1.5 E,1
2022-09,TOYOTA,VIOS 1.5 E,-
2022-010,TOYOTA,VIOS 1.5 E,-
2022-011,TOYOTA,VIOS 1.5 E,-
2022-012,TOYOTA,VIOS 1.5 E,-
2022-01,TOYOTA,VIOS 1.5 G,4
2022-02,TOYOTA,VIOS 1.5 G,-
2022-03,TOYOTA,VIOS 1.5 G,1
2022-04,TOYOTA,VIOS 1.5 G,10
2022-05,TOYOTA,VIOS 1.5 G,-
2022-06,TOYOTA,VIOS 1.5 G,1
2022-07,TOYOTA,VIOS 1.5 G,-
2022-08,TOYOTA,VIOS 1.5 G,-
2022-09,TOYOTA,VIOS 1.5 G,-
2022-010,TOYOTA,VIOS 1.5 G,-
2022-011,TOYOTA,VIOS 1.5 G,-
2022-012,TOYOTA,VIOS 1.5 G,-
2022-01,TOYOTA,VIOS 1.5 G A/T FMC,-
2022-02,TOYOTA,VIOS 1.5 G A/T FMC,-
2022-03,TOYOTA,VIOS 1.5 G A/T FMC,-
